Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes,,,,,,,,#REF!
125,Derrick Brown,CAR,DT014,DT,DL,351,28.1,,,,,,,,,
126,Calijah Kancey,TB,DT015,DL,DL,278,25.2,,,,,,,,,
127,Nnamdi Madubuike,BAL,DT016,DT,DL,372.7,28.5,,,,,,,,,
128,Milton Williams,NE,DT017,DT,DL,510.1,27.2,DT1 Darkhouse,,,,,,,,
129,Cooper DeJean,PHI,CB002,DB,DB,511.2,23.3,,,,,,,,,
130,Devon Witherspoon,SEA,CB003,DB,DB,377.7,25.4,,,,,,,,,
131,Julian Love,SEA,S025,DB,DB,307,28.2,,,,,,,,,
132,Jaquan Brisker,PIT,S026,DB,DB,326,27.1,,,,,,,,,
133,Dadrion Taylor-Demerson,ARI,S027,DB,DB,999,26.3,,,,,,,,,
134,Paulson Adebo,NYG,CB004,CB,DB,451.3,26.9,,,,,,,,,
135,C.J. Gardner-Johnson,BUF,CB005,DB,DB,999,28.4,,,,,,,,,
136,Minkah Fitzpatrick,NYJ,S028,DB,DB,445.2,29.5,,,,,,,,,
137,Jessie Bates,ATL,S029,DB,DB,320.9,29.6,,,,,,,,,
138,Kevin Byard,NE,S030,DB,DB,337.9,32.8,,,,,,,,,
139,Tyrel Dodson,MIA,LB043,LB,LB,206,27.9,,,,,,,,,
140,Payton Wilson,PIT,LB044,LB,LB,290,26.1,,,,,,,,,
141,Ventrell Miller,JAX,LB045,LB,LB,999,27.3,,,,,,,,,
142,Cody Simon,ARI,LB046,LB,LB,999,22.5,,,,,,,,,
143,Christian Harris,ATL,LB047,LB,LB,525,25.3,Make-or-Break Season,,,,,,,,
144,Dee Winters,DAL,LB048,LB,LB,292,25.6,,,,,,,,,
145,Akeem Davis-Gaither,IND,LB049,LB,LB,999,28.7,,,,,,,,,
146,Josiah Trotter,TB,LB050,LB,LB,181,21.1,,,,,,,,,
147,Demetrius Knight,CIN,LB051,LB,LB,360.9,22.7,,,,,,,,,
148,Eric Wilson,MIN,LB052,LB,LB,999,31.6,,,,,,,,,
149,Drake Thomas,SEA,LB053,LB,LB,999,26.2,,,,,,,,,
150,Jordan Battle,CIN,S031,DB,DB,999,25.4,,,,,,,,,
151,Xavier McKinney,GB,S032,DB,DB,343,26.8,,,,,,,,,
152,Evan Williams,GB,S033,DB,DB,999,24.8,,,,,,,,,
153,Reed Blankenship,HOU,S034,DB,DB,482.2,27.2,,,,,,,,,
154,Jalen Thompson,DAL,S035,DB,DB,451,27.8,,,,,,,,,
155,Grant Delpit,CLE,S036,DB,DB,333,27.7,,,,,,,,,
156,Odafe Oweh,WAS,ED045,LB,"DL, LB",410.5,27.4,,,,,,,,,
157,Mike Green,BAL,ED046,DL,"DL, LB",455.1,22.2,,,,,,,,,
158,Uchenna Nwosu,SEA,ED047,LB,"DL, LB",999,29.4,,,,,,,,,
159,Zaven Collins,ARI,ED048,LB,"DL, LB",463.7,27,,,,,,,,,
160,DeMarcus Lawrence,SEA,ED049,DE,DL,999,34.1,,,,,,,,,
161,Osa Odighizuwa,SF,DT018,DT,DL,999,27.8,,,,,,,,,
162,Jalen Redmond,MIN,DT019,DE,DL,999,27.2,,,,,,,,,
163,Mason Graham,CLE,DT020,DL,DL,999,26.4,,,,,,,,,
164,Dre Greenlaw,SF,LB054,LB,LB,313,29,,,,,,,,,
165,Henry To'oTo'o,HOU,LB055,LB,LB,304,25.4,,,,,,,,,
