Rank,,Player,Total
61,1,Bob Heintz,3
61,1,Kramer Hickok,3
61,1,Tom Hoge,3
61,1,Charles Howell III,3
61,47,Mackenzie Hughes,3
61,47,Si Woo Kim,3
61,1,Jacques Kruyswijk,3
61,1,Matt Kuchar,3
61,47,Min Woo Lee,3
61,1,Alexander Levy,3
61,1,Mac Meissner,3
61,47,Pontus Nyholm,3
61,1,Tomoharu Otsuki,3
61,1,John Pak,3
61,1,Carl Paulson,3
61,1,Andrew Putnam,3
61,1,Doc Redman,3
61,47,Davis Riley,3
61,47,Adam Scott,3
61,1,Bob Shearer,3
61,1,Conrad Shindler,3
61,47,J.J. Spaun,3
61,1,Andre Stolz,3
61,47,Jackson Suber,3
61,1,David Sutherland,3
61,1,Callum Tarren,3
61,47,Nick Taylor,3
61,47,Peter Uihlein,3
61,1,Brendan Valdes,3
61,1,Harold Varner III,3
61,47,Camilo Villegas,3
61,47,Aaron Wise,3
115,7,Mark Anderson,2
115,7,Matthew Anderson,2
115,7,Bobby Bai,2
115,7,Wil Bateman,2
115,7,Sam Bennett,2
115,7,Lucas Bjerregaard,2
115,-,Davis Bryant,2
115,7,Bronson Burgoon,2
115,7,Ben Carr,2
115,-,Cameron Champ,2
115,7,Martin Contini,2
115,-,Ugo Coussaud,2
115,7,Santiago de la Fuente,2
115,7,Wenyi Ding,2
115,-,Hennie Du Plessis,2
115,7,Rhys Enoch,2
115,7,Michael Feagles,2
115,7,Steven Fisk,2
115,7,Nicolo Galletti,2
115,7,Brian Gay,2
115,7,David Gilford,2
115,7,Ian Gilligan,2
115,7,Mike Grob,2
115,-,Nick Hardy,2
115,7,Tom Hearn,2
115,-,Kazuki Higa,2
115,7,Grant Hirschman,2
115,7,Scott Hoch,2
115,-,Rico Hoey,2
115,7,David Howell,2
115,7,Theo Humphrey,2
115,7,Ryo Ishikawa,2
115,7,Riki Kawamoto,2
115,-,Johnny Keefer,2
115,7,Brad Kennedy,2
115,7,Phachara Khongwatmai,2
115,7,Hanbyeol Kim,2
115,-,Jeong Weon Ko,2
115,7,Satoshi Kodaira,2
115,7,Mikko Korhonen,2
115,7,Steve Lewton,2
115,7,Mikael Lindberg,2
115,7,Oliver Lindell,2
115,7,David Lipsky,2
115,-,Luke List,2
115,-,Justin Lower,2
115,-,Ben Martin,2
115,7,Billy Mayfair,2
115,7,Ross McGowan,2
115,7,Blake McShea,2
115,7,Naoto Nakanishi,2
115,7,Lukas Nemecz,2
115,-,Shaun Norris,2
115,7,Craig Parry,2
115,-,Victor Perez,2
115,-,Paul Peterson,2
115,7,Turk Pettit,2
115,7,Chandler Phillips,2
115,7,Alvaro Quiros,2
115,-,Jon Rahm,2
115,-,Chad Ramey,2
115,-,Patrick Reed,2
115,7,Matthew Riedel,2
115,-,Thomas Rosenmueller,2
115,7,Max Rottluff,2
115,-,Kevin Roy,2
115,-,Marcel Schneider,2
115,7,John Schroeder,2
115,7,Charl Schwartzel,2
115,7,Sanghun Shin,2
115,7,Callum Shinkwin,2
115,7,Bob Smith,2
115,-,Jordan Smith,2
115,7,Jacob Solomon,2
115,7,Ross Steelman,2
115,7,Brett Stegmaier,2
115,7,Preston Stout,2
115,-,Andy Sullivan,2
115,-,Michael Thorbjornsen,2
115,-,Alejandro Tosti,2
115,7,Jackson Van Paris,2
115,-,Kristoffer Ventura,2
115,7,Karl Vilips,2
115,-,Nicolai Von Dellingshausen,2
115,7,Jeunghun Wang,2
115,7,Tyler Watts,2
115,7,Lee Westwood,2
115,7,Dale Whitnell,2
