Rank,,Player,Total
81,3,Stuart Appleby,3
81,3,Yongjun Bae,3
81,3,Mark Baldwin,3
81,3,Harrison Endycott,3
81,42,Patrick Fishburn,3
81,3,Patrick Flavin,3
81,3,Oscar Fraustro,3
81,3,Sergio Garcia,3
81,3,Bob Heintz,3
81,3,Kramer Hickok,3
81,3,Charles Howell III,3
81,42,Mark Hubbard,3
81,42,Mackenzie Hughes,3
81,3,Casey Jarvis,3
81,3,Dustin Johnson,3
81,42,Tom Kim,3
81,3,Nathan Kimsey,3
81,3,Jake Knapp,3
81,3,Brooks Koepka,3
81,3,Alexander Levy,3
81,3,Justin Lower,3
81,3,Richard Mansell,3
81,3,Francesco Molinari,3
81,3,Ryutaro Nagano,3
81,42,Rasmus Neergaard-Petersen,3
81,3,Tomoharu Otsuki,3
81,3,John Pak,3
81,3,Carl Paulson,3
81,3,Doc Redman,3
81,3,Bob Shearer,3
81,3,Conrad Shindler,3
81,3,Andre Stolz,3
81,42,Jackson Suber,3
81,3,David Sutherland,3
81,3,Callum Tarren,3
81,3,Brendan Valdes,3
81,3,Harold Varner III,3
81,3,Ren Yonezawa,3
121,2,Mark Anderson,2
121,2,Bobby Bai,2
121,2,Wil Bateman,2
121,2,Sam Bennett,2
121,2,Lucas Bjerregaard,2
121,2,Bronson Burgoon,2
121,2,Ivan Cantero Gutierrez,2
121,2,Ben Carr,2
121,2,Martin Contini,2
121,-,Pierceson Coody,2
121,2,Ugo Coussaud,2
121,2,Santiago de la Fuente,2
121,2,Rhys Enoch,2
121,-,A.J. Ewart,2
121,-,Steven Fisk,2
121,2,Grant Forrest,2
121,2,Nicolo Galletti,2
121,2,Brian Gay,2
121,2,David Gilford,2
121,2,Ian Gilligan,2
121,2,Joel Girrbach,2
121,-,Emiliano Grillo,2
121,2,Mike Grob,2
121,2,Tom Hearn,2
121,-,Garrick Higgo,2
121,2,Grant Hirschman,2
121,2,Scott Hoch,2
121,2,David Howell,2
121,2,Theo Humphrey,2
121,2,Ryo Ishikawa,2
121,-,Jeffrey Kang,2
121,2,Riki Kawamoto,2
121,2,Brad Kennedy,2
121,2,Phachara Khongwatmai,2
121,2,Chan Kim,2
121,2,Hanbyeol Kim,2
121,2,Satoshi Kodaira,2
121,2,Mikko Korhonen,2
121,2,Jacques Kruyswijk,2
121,2,Romain Langasque,2
121,2,Steve Lewton,2
121,2,Shane Lowry,2
121,2,Peter Malnati,2
121,2,Billy Mayfair,2
121,2,Ross McGowan,2
121,2,Blake McShea,2
121,2,Troy Merritt,2
121,2,Naoto Nakanishi,2
121,2,Lukas Nemecz,2
121,2,Niklas Norgaard,2
121,2,Jacob Skov Olesen,2
121,2,Craig Parry,2
121,2,Turk Pettit,2
121,2,David Puig,2
121,2,Alvaro Quiros,2
121,2,Patrick Reed,2
121,2,Matthew Riedel,2
121,-,Patrick Rodgers,2
121,2,Max Rottluff,2
121,2,Antoine Rozner,2
121,-,Adrien Saddier,2
121,2,John Schroeder,2
121,2,Charl Schwartzel,2
121,2,Sanghun Shin,2
121,2,Callum Shinkwin,2
121,2,Bob Smith,2
121,-,Jordan Smith,2
121,2,Sebastian Soderberg,2
121,2,Jacob Solomon,2
121,2,Ross Steelman,2
121,2,Brett Stegmaier,2
121,2,Connor Syme,2
121,2,Jeunghun Wang,2
121,2,Paul Waring,2
121,2,Tyler Watts,2
121,2,Lee Westwood,2
121,2,Dale Whitnell,2
121,2,Danny Willett,2
123,4,Connor Syme,2
123,-,John VanDerLaan,2
123,-,Camilo Villegas,2
123,4,Jeunghun Wang,2
123,4,Paul Waring,2
123,4,Tyler Watts,2
123,4,Lee Westwood,2
123,4,Dale Whitnell,2
123,-,Danny Willett,2
