Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
82,5195306700,rsumrall (9/20),0,626.5,G Scottie Scheffler G Brian Harman G Emiliano Grillo G Rico Hoey G Kris Ventura G Davis Chatfield,,Ryder Cowan,G,0.94%,33.5
82,5195814209,dockman12600 (12/20),0,626.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Casey Jarvis G A.J. Ewart G Zac Blair,,Tyler Duncan,G,0.93%,29
82,5196332288,hzdaniel (11/20),0,626.5,G Scottie Scheffler G Kevin Yu G Emiliano Grillo G Ben Kohles G Kevin Roy G Kevin Streelman,,Jeremy Paul,G,0.92%,23
86,5195303153,Daily_Big_Kahuna (10/20),0,625.5,G Scottie Scheffler G Brian Harman G Michael Kim G Seamus Power G Austin Eckroat G Joel Dahmen,,Chandler Phillips,G,0.90%,132.5
86,5196629707,whoisjohngalt420 (2/20),0,625.5,G Keith Mitchell G Jackson Koivun G Corey Conners G Christiaan Bezuidenhout G Brian Harman G Ben Kohles,,Adam Svensson,G,0.90%,29
88,5195449926,thutja (4/20),0,625,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Austin Smotherman G Davis Chatfield,,Stefano Mazzoli,G,0.90%,26
89,5195043506,Plug3154 (20/20),0,624.5,G Kurt Kitayama G Hideki Matsuyama G Gary Woodland G Emiliano Grillo G Michael Kim G Mackenzie Hughes,,Kris Ventura,G,0.89%,81
89,5195339243,nachochopstix (9/13),0,624.5,G Scottie Scheffler G Ben Kohles G Michael Kim G Zac Blair G Patrick Fishburn G Kevin Roy,,Mark Hubbard,G,0.88%,79
89,5196090801,TheKid2430 (15/20),0,624.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Koivun G Casey Jarvis G Lee Hodges G Kevin Roy,,David Skinns,G,0.86%,23.5
89,5196749593,hemoguy (17/18),0,624.5,G Scottie Scheffler G Ben Kohles G Michael Kim G Austin Eckroat G Kevin Roy G Chandler Phillips,,Hayden Springer,G,0.85%,36.5
93,5195253939,whwalker13 (9/20),0,624,G Hideki Matsuyama G Jackson Koivun G Sudarshan Yellamaraju G Max Greyserman G John Parry G Emiliano Grillo,,Lanto Griffin,G,0.84%,59.5
93,5196131662,Keroppi613 (12/20),0,624,G Kurt Kitayama G Jackson Koivun G Corey Conners G Davis Thompson G Casey Jarvis G Ben Kohles,,Adam Hadwin,G,0.82%,24.5
93,5196262694,Tavius87 (19/20),0,624,G Scottie Scheffler G Brian Harman G Ricky Castillo G Ben Kohles G Kevin Roy G Davis Chatfield,,Brannon Fahrny,G,0.79%,23.5
96,5196332290,hzdaniel (13/20),0,623.5,G Scottie Scheffler G Kevin Yu G Emiliano Grillo G Ben Kohles G Austin Smotherman G Camilo Villegas,,Karl Vilips,G,0.76%,25
97,5196112277,bgwig500 (9/20),0,623,G Maverick McNealy G Hideki Matsuyama G Jackson Koivun G Ricky Castillo G Billy Horschel G Austin Eckroat,,Joe Highsmith,G,0.74%,28.5
97,5196394359,BenByers (2/20),0,623,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Ben Kohles G Mackenzie Hughes G A.J. Ewart,,Zecheng Dou,G,0.69%,95.5
97,5196620387,mack69 (3/20),0,623,G Scottie Scheffler G Brian Harman G John Parry G Michael Kim G Kevin Roy G John VanDerLaan,,Cameron Davis,G,0.69%,23.5
97,5196688400,marwalk82 (8/20),0,623,G Hideki Matsuyama G Jackson Koivun G Gary Woodland G Benjamin James G Ben Kohles G Zac Blair,,Ben Silverman,G,0.67%,32
101,5194723350,sportsfanatic89 (4/20),0,622.5,G Jake Knapp G Jackson Koivun G Corey Conners G Sam Stevens G Brian Harman G Zac Blair,,Chad Ramey,G,0.67%,33
101,5196619666,JaserD (10/20),0,622.5,G Maverick McNealy G Kurt Kitayama G Jackson Koivun G Michael Kim G Zac Blair G Kris Ventura,,Trace Crowe,G,0.67%,65.5
103,5196800727,aformb21 (6/20),0,622,G Hideki Matsuyama G Jackson Koivun G Jordan L. Smith G Christiaan Bezuidenhout G Michael Brennan G Matti Schmid,,Luke Clanton,G,0.66%,29
104,5194729322,drega09 (3/20),0,621.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zachary Bauchou G Zac Blair G Jimmy Stanger,,Gordon Sargent,G,0.65%,40
104,5196220608,rs430414 (4/20),0,621.5,G Scottie Scheffler G Brian Harman G Michael Kim G Denny McCarthy G Kevin Roy G Lanto Griffin,,Davis Riley,G,0.64%,26
104,5196709736,mammola (2/5),0,621.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Casey Jarvis G Ben Kohles G Zac Blair,,Patrick Fishburn,G,0.56%,98
104,5196764605,matt5566 (1/2),0,621.5,G Scottie Scheffler G Brian Harman G Lucas Glover G Denny McCarthy G Seamus Power G Lanto Griffin,,Neal Shipley,G,0.52%,74.5
108,5196864702,JayMacK3 (3/20),0,621,G Hideki Matsuyama G Tom Kim G Gary Woodland G Rasmus Neergaard-Petersen G Emiliano Grillo G Lee Hodges,,Dylan Wu,G,0.50%,28
109,5195112581,Geebir (14/20),0,620.5,G Scottie Scheffler G Casey Jarvis G Ben Kohles G Michael Kim G Zac Blair G Davis Chatfield,,Luke List,G,0.50%,25.5
110,5194651758,mikenimchek,0,620,G Hideki Matsuyama G Jackson Koivun G Corey Conners G Jordan L. Smith G Lucas Glover G Zac Blair,,Nick Dunlap,G,0.45%,29.5
110,5195360567,coachp17 (15/20),0,620,G Hideki Matsuyama G Jake Knapp G Tom Kim G Ricky Castillo G Michael Kim G Denny McCarthy,,Kevin Streelman,G,0.45%,94.5
110,5196058955,cowboys767 (7/20),0,620,G Keith Mitchell G Jake Knapp G Jackson Koivun G Brian Harman G Kevin Yu G Lucas Glover,,Matthieu Pavon,G,0.45%,31.5
110,5196100026,lsulunatik (3/10),0,620,G Maverick McNealy G Tom Kim G Jackson Koivun G Emiliano Grillo G Michael Kim G Austin Eckroat,,Camilo Villegas,G,0.43%,84
110,5196864707,JayMacK3 (8/20),0,620,G Scottie Scheffler G Rasmus Neergaard-Petersen G Casey Jarvis G Seamus Power G Zac Blair G Davis Chatfield,,Garrick Higgo,G,0.43%,24
