Rank,,Player,Total
62,41,Max Homa,3
62,3,Charles Howell III,3
62,3,Ben James,3
62,3,Casey Jarvis,3
62,41,Chan Kim,3
62,41,Ben Kohles,3
62,41,Matt Kuchar,3
62,3,Alexander Levy,3
62,3,Robert MacIntyre,3
62,3,Richard Mansell,3
62,41,Troy Merritt,3
62,3,Francesco Molinari,3
62,41,William Mouw,3
62,3,Ryutaro Nagano,3
62,41,Keita Nakajima,3
62,3,Niklas Nørgaard,3
62,3,Tomoharu Otsuki,3
62,3,John Pak,3
62,3,Carl Paulson,3
62,3,Doc Redman,3
62,3,Bob Shearer,3
62,3,Conrad Shindler,3
62,3,Brandt Snedeker,3
62,41,Jordan Spieth,3
62,3,Andre Stolz,3
62,3,David Sutherland,3
62,3,Callum Tarren,3
62,3,Brendan Valdes,3
62,3,Harold Varner III,3
62,3,Ren Yonezawa,3
62,41,Kevin Yu,3
106,3,Mark Anderson,2
106,3,Matthew Anderson,2
106,3,Bobby Bai,2
106,3,Wil Bateman,2
106,3,Sam Bennett,2
106,3,Akshay Bhatia,2
106,3,Lucas Bjerregaard,2
106,-,Zac Blair,2
106,-,Michael Brennan,2
106,3,Bronson Burgoon,2
106,-,Jonathan Byrd,2
106,3,Ivan Cantero Gutierrez,2
106,3,Ben Carr,2
106,3,Ricky Castillo,2
106,-,Eric Cole,2
106,3,Corey Conners,2
106,3,Martin Contini,2
106,-,Pierceson Coody,2
106,3,Santiago de la Fuente,2
106,-,Adrien Dumont de Chassart,2
106,-,Tyler Duncan,2
106,3,Rhys Enoch,2
106,-,Michael Feagles,2
106,3,Grant Forrest,2
106,-,Rickie Fowler,2
106,3,Nicolo Galletti,2
106,3,Brian Gay,2
106,3,David Gilford,2
106,3,Ian Gilligan,2
106,3,Joel Girrbach,2
106,-,Lucas Glover,2
106,-,Fabián Gómez,2
106,3,Mike Grob,2
106,3,Brian Harman,2
106,3,Tom Hearn,2
106,-,Harry Higgs,2
106,3,Grant Hirschman,2
106,3,Scott Hoch,2
106,-,Tom Hoge,2
106,-,Beau Hossler,2
106,3,David Howell,2
106,-,Mark Hubbard,2
106,3,Theo Humphrey,2
106,3,Ryo Ishikawa,2
106,3,Riki Kawamoto,2
106,3,Brad Kennedy,2
106,3,Phachara Khongwatmai,2
106,3,Hanbyeol Kim,2
106,3,Satoshi Kodaira,2
106,3,Mikko Korhonen,2
106,3,Jacques Kruyswijk,2
106,3,Romain Langasque,2
106,3,Steve Lewton,2
106,3,Billy Mayfair,2
106,3,Ross McGowan,2
106,3,Blake McShea,2
106,-,Mac Meissner,2
106,3,Naoto Nakanishi,2
106,3,Lukas Nemecz,2
106,3,James Nicholas,2
106,3,Joaquin Niemann,2
106,3,Jacob Skov Olesen,2
106,3,Craig Parry,2
106,3,Turk Pettit,2
106,-,Andrew Putnam,2
106,3,Alvaro Quiros,2
106,3,Aaron Rai,2
106,3,Matthew Riedel,2
106,3,Justin Rose,2
106,3,Max Rottluff,2
106,3,Antoine Rozner,2
106,3,Miles Russell,2
106,3,John Schroeder,2
106,3,Charl Schwartzel,2
106,3,Sanghun Shin,2
106,3,Callum Shinkwin,2
106,-,David Skinns,2
106,3,Bob Smith,2
106,3,Sebastian Soderberg,2
106,3,Jacob Solomon,2
106,3,Ross Steelman,2
106,3,Brett Stegmaier,2
106,3,Sam Stevens,2
106,-,Jackson Suber,2
106,3,Jesper Svensson,2
106,3,Connor Syme,2
106,3,Peter Uihlein,2
106,3,Jackson Van Paris,2
106,3,Jeunghun Wang,2
106,3,Tyler Watts,2
106,3,Lee Westwood,2
106,3,Dale Whitnell,2
