Player,Position,Team,Opponent,Salary,% ownership,Notes
Gus Edwards,RB,BAL,SEA,"$5,900",5.80%,
Falcons,DST,ATL,MIN,"$3,700",5.70%,
Browns,DST,CLE,ARI,"$4,200",5.70%,
Texans,DST,HOU,TB,"$3,000",5.40%,
Rams,DST,LA,GB,"$2,600",5.30%,
C.J. Stroud,QB,HOU,TB,"$6,200",5.30%,
Jerome Ford,RB,CLE,ARI,"$5,300",5.20%,
Sam Howell,QB,WAS,NE,"$5,800",5.20%,
Gardner Minshew II,QB,IND,CAR,"$5,200",5.20%,
Daniel Jones,QB,NYG,LV,"$5,600",5.20%,
Derek Carr,QB,NO,CHI,"$5,700",5.10%,
Elijah Moore,WR,CLE,ARI,"$3,900",5.00%,
DK Metcalf,WR,SEA,BAL,"$6,900",4.90%,
Aaron Jones,RB,GB,LA,"$6,200",4.70%,
Chris Godwin,WR,TB,HOU,"$7,000",4.70%,
Jonathan Mingo,WR,CAR,IND,"$3,400",4.50%,
Kyle Pitts,TE,ATL,MIN,"$4,100",4.50%,
Christian Watson,WR,GB,LA,"$4,900",4.50%,
Cole Kmet,TE,CHI,NO,"$3,900",4.20%,
Colts,DST,IND,CAR,"$3,100",4.20%,
Jordan Addison,WR,MIN,ATL,"$6,000",4.10%,
Cardinals,DST,ARI,CLE,"$2,700",4.10%,
Ravens,DST,BAL,SEA,"$3,800",4.00%,
Darius Slayton,WR,NYG,LV,"$3,200",4.00%,
Drake London,WR,ATL,MIN,"$5,500",3.90%,
Bryce Young,QB,CAR,IND,"$5,100",3.80%,
Jakobi Meyers,WR,LV,NYG,"$6,400",3.70%,
Marquise Brown,WR,ARI,CLE,"$5,400",3.60%,
Jordan Love,QB,GB,LA,"$5,500",3.50%,
Jaren Hall,QB,MIN,ATL,"$4,800",3.50%,
Cade Otton,TE,TB,HOU,"$3,000",3.50%,
Raiders,DST,LV,NYG,"$3,600",3.50%,
DeVonta Smith,WR,PHI,DAL,"$7,100",3.30%,
Seahawks,DST,SEA,BAL,"$2,400",3.20%,
Aidan O'Connell,QB,LV,NYG,"$4,500",3.20%,
Kenneth Walker III,RB,SEA,BAL,"$7,000",3.10%,
Daniel Bellinger,TE,NYG,LV,"$2,500",2.90%,
Eagles,DST,PHI,DAL,"$3,400",2.80%,
Taylor Heinicke,QB,ATL,MIN,"$5,000",2.80%,
Commanders,DST,WAS,NE,"$3,200",2.70%,
Jahan Dotson,WR,WAS,NE,"$5,000",2.70%,
Geno Smith,QB,SEA,BAL,"$6,000",2.50%,
P.J. Walker,QB,CLE,ARI,"$4,800",2.40%,
Hunter Henry,TE,NE,WAS,"$3,600",2.30%,
Michael Wilson,WR,ARI,CLE,"$3,500",2.20%,
Darrell Henderson Jr.,RB,LA,GB,"$5,100",2.00%,
Jayden Reed,WR,GB,LA,"$3,600",2.00%,
Jonnu Smith,TE,ATL,MIN,"$3,400",1.90%,
Vikings,DST,MIN,ATL,"$3,300",1.80%,
Brandin Cooks,WR,DAL,PHI,"$4,400",1.80%,
JuJu Smith-Schuster,WR,NE,WAS,"$3,100",1.80%,
Romeo Doubs,WR,GB,LA,"$5,100",1.70%,
Michael Gallup,WR,DAL,PHI,"$3,600",1.60%,
Michael Mayer,TE,LV,NYG,"$2,800",1.60%,
Mike Gesicki,TE,NE,WAS,"$2,600",1.50%,
Dameon Pierce,RB,HOU,TB,"$5,200",1.50%,
K.J. Osborn,WR,MIN,ATL,"$4,600",1.40%,
Bears,DST,CHI,NO,"$2,500",1.30%,
Luke Musgrave,TE,GB,LA,"$3,300",1.30%,
AJ Dillon,RB,GB,LA,"$4,900",1.20%,
Brian Robinson Jr.,RB,WAS,NE,"$5,300",1.20%,
Tyler Higbee,TE,LA,GB,"$3,200",1.20%,
Ezekiel Elliott,RB,NE,WAS,"$4,400",1.10%,
DJ Chark Jr.,WR,CAR,IND,"$3,700",1.10%,
Odell Beckham Jr.,WR,BAL,SEA,"$3,800",1.10%,
Juwan Johnson,TE,NO,CHI,"$2,900",1.10%,
Zack Moss,RB,IND,CAR,"$5,800",1.00%,
Alexander Mattison,RB,MIN,ATL,"$5,400",1.00%,
Justice Hill,RB,BAL,SEA,"$4,600",0.90%,
Rashid Shaheed,WR,NO,CHI,"$4,500",0.80%,
Alec Pierce,WR,IND,CAR,"$3,300",0.80%,
Jaxon Smith-Njigba,WR,SEA,BAL,"$4,300",0.80%,
Rondale Moore,WR,ARI,CLE,"$3,200",0.70%,
Panthers,DST,CAR,IND,"$3,500",0.70%,
Devin Singletary,RB,HOU,TB,"$4,300",0.60%,
Cowboys,DST,DAL,PHI,"$3,900",0.60%,
Matthew Stafford,QB,LA,GB,"$6,300",0.60%,
D'Onta Foreman,RB,CHI,NO,"$5,700",0.60%,
Kenneth Gainwell,RB,PHI,DAL,"$4,500",0.50%,
Brandon Powell,WR,MIN,ATL,"$3,200",0.50%,
Darnell Mooney,WR,CHI,NO,"$3,300",0.50%,
Taysom Hill,TE,NO,CHI,"$4,700",0.50%,
Roschon Johnson,RB,CHI,NO,"$4,500",0.40%,
Tyler Allgeier,RB,ATL,MIN,"$4,700",0.40%,
Tyson Bagent,QB,CHI,NO,"$4,900",0.40%,
Jalin Hyatt,WR,NYG,LV,"$3,000",0.30%,
Buccaneers,DST,TB,HOU,"$4,000",0.30%,
Clayton Tune,QB,ARI,CLE,"$4,400",0.30%,
Kareem Hunt,RB,CLE,ARI,"$5,500",0.30%,
Royce Freeman,RB,LA,GB,"$4,600",0.30%,
Trey Palmer,WR,TB,HOU,"$3,200",0.30%,
Antonio Gibson,RB,WAS,NE,"$4,500",0.20%,
Cam Akers,RB,MIN,ATL,"$4,800",0.20%,
Zach Charbonnet,RB,SEA,BAL,"$4,300",0.20%,
Rashod Bateman,WR,BAL,SEA,"$3,300",0.20%,
Tutu Atwell,WR,LA,GB,"$4,200",0.20%,
