Player,Position,Team,Opponent,Salary,% ownership,Notes
Taysom Hill,TE,NO,ATL,"$4,600",0.50%,
Taylor Heinicke,QB,ATL,NO,"$4,900",0.50%,
Ihmir Smith-Marsette,WR,CAR,TB,"$3,000",0.50%,
Khalil Herbert,RB,CHI,GB,"$5,700",0.50%,
Jameson Williams,WR,DET,MIN,"$3,900",0.50%,
K.J. Osborn,WR,MIN,DET,"$4,100",0.50%,
Trevor Siemian,QB,NYJ,NE,"$4,900",0.50%,
Mecole Hardman Jr.,WR,KC,LAC,"$3,000",0.50%,
Tee Higgins,WR,CIN,CLE,"$6,200",0.50%,
Aidan O'Connell,QB,LV,DEN,"$5,400",0.40%,
Jordan Akins,TE,CLE,CIN,"$2,500",0.40%,
Will Levis,QB,TEN,JAX,"$5,000",0.40%,
Logan Thomas,TE,WAS,DAL,"$3,200",0.40%,
La'Mical Perine,RB,KC,LAC,"$4,400",0.40%,
Tanner Hudson,TE,CIN,CLE,"$3,100",0.40%,
Zach Charbonnet,RB,SEA,ARI,"$5,000",0.40%,
Chase Brown,RB,CIN,CLE,"$4,600",0.30%,
Israel Abanikanda,RB,NYJ,NE,"$4,400",0.30%,
Chris Moore,WR,TEN,JAX,"$3,000",0.30%,
Keelan Doss,WR,LAC,KC,"$3,000",0.30%,
Tyquan Thornton,WR,NE,NYJ,"$3,000",0.30%,
Samaje Perine,RB,DEN,LV,"$4,500",0.30%,
Rondale Moore,WR,ARI,SEA,"$3,900",0.30%,
Vikings,DST,MIN,DET,"$2,700",0.30%,
Kenneth Gainwell,RB,PHI,NYG,"$4,800",0.30%,
Noah Fant,TE,SEA,ARI,"$2,900",0.30%,
Justyn Ross,WR,KC,LAC,"$3,000",0.30%,
Tim Jones,WR,JAX,TEN,"$3,000",0.30%,
Tre Tucker,WR,LV,DEN,"$3,400",0.30%,
Trey Palmer,WR,TB,CAR,"$3,600",0.30%,
Titans,DST,TEN,JAX,"$2,900",0.30%,
Jalin Hyatt,WR,NYG,PHI,"$3,300",0.30%,
Jahan Dotson,WR,WAS,DAL,"$3,800",0.30%,
John Kelly Jr.,RB,CLE,CIN,"$4,000",0.30%,
Kevin Harris,RB,NE,NYJ,"$4,500",0.30%,
Dontayvion Wicks,WR,GB,CHI,"$4,600",0.30%,
Falcons,DST,ATL,NO,"$3,000",0.30%,
Tyler Allgeier,RB,ATL,NO,"$4,800",0.30%,
Michael Gallup,WR,DAL,WAS,"$3,200",0.30%,
Tyrion Davis-Price,RB,SF,LA,"$4,000",0.30%,
Tyler Scott,WR,CHI,GB,"$3,400",0.30%,
Alexander Mattison,RB,MIN,DET,"$5,000",0.30%,
Seahawks,DST,SEA,ARI,"$3,500",0.30%,
Austin Trammell,WR,LA,SF,"$3,000",0.30%,
Austin Hooper,TE,LV,DEN,"$2,700",0.30%,
Treylon Burks,WR,TEN,JAX,"$3,400",0.30%,
Miles Sanders,RB,CAR,TB,"$4,300",0.30%,
Mike Gesicki,TE,NE,NYJ,"$2,900",0.20%,
Marquez Valdes-Scantling,WR,KC,LAC,"$3,000",0.20%,
Jalen Reagor,WR,NE,NYJ,"$3,300",0.20%,
Tyler Johnson,WR,LA,SF,"$3,000",0.20%,
Commanders,DST,WAS,DAL,"$2,200",0.10%,
