PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Hunter Luepke,RB,DAL,LAR,-275,45.50,-6.50,26.00,4000,0.00,0.0,0
Jody Fortson,TE,KC,DEN,-347,47.00,-7.00,27.00,2500,0.00,0.0,0
Peyton Hendershot,TE,DAL,LAR,-275,45.50,-6.50,26.00,2500,0.00,0.0,0
Trey Lance,QB,DAL,LAR,-275,45.50,-6.50,26.00,4000,0.00,0.0,0
Sean McKeon,TE,DAL,LAR,-275,45.50,-6.50,26.00,2500,0.00,0.0,0
Justyn Ross,WR,KC,DEN,-347,47.00,-7.00,27.00,3000,0.00,0.0,0
Cooper Rush,QB,DAL,LAR,-275,45.50,-6.50,26.00,4500,0.00,0.0,0
Nikko Remigio,WR,KC,DEN,-347,47.00,-7.00,27.00,3000,0.00,0.0,0
Nick Mullens,QB,MIN,GB,-126,42.00,-1.50,21.75,4000,0.00,0.0,0
Juwann Winfree,WR,IND,NO,100,43.50,1.00,21.25,3000,0.00,0.0,0
Justin Jefferson,WR,MIN,GB,-126,42.00,-1.50,21.75,3000,0.00,0.0,0
Trevon Wesco,TE,TEN,ATL,118,35.50,2.50,16.50,2500,0.00,0.0,0
Feleipe Franks,TE,ATL,TEN,-142,35.50,-2.50,19.00,2500,0.00,0.0,0
Jashaun Corbin,RB,NYG,NYJ,130,35.50,3.00,16.25,4000,0.00,0.0,0
Gary Brightwell,RB,NYG,NYJ,130,35.50,3.00,16.25,4000,0.00,0.0,0
John FitzPatrick,TE,ATL,TEN,-142,35.50,-2.50,19.00,2500,0.00,0.0,0
Josh Ali,WR,ATL,TEN,-142,35.50,-2.50,19.00,3000,0.00,0.0,0
Chris Myarick,RB,NYG,NYJ,130,35.50,3.00,16.25,4000,0.00,0.0,0
Tommy Sweeney,TE,NYG,NYJ,130,35.50,3.00,16.25,2500,0.00,0.0,0
Ryan Tannehill,QB,TEN,ATL,118,35.50,2.50,16.50,4900,0.00,0.0,0
Daniel Jones,QB,NYG,NYJ,130,35.50,3.00,16.25,5400,0.00,0.0,0
Kevin Rader,TE,TEN,ATL,118,35.50,2.50,16.50,2500,0.00,0.0,0
Bailey Zappe,QB,NE,MIA,352,47.00,9.50,18.75,4500,0.00,0.0,0
Logan Woodside,QB,ATL,TEN,-142,35.50,-2.50,19.00,4000,0.00,0.0,0
Julius Chestnut,RB,TEN,ATL,118,35.50,2.50,16.50,4000,0.00,0.0,0
Hassan Haskins,RB,TEN,ATL,118,35.50,2.50,16.50,4000,0.00,0.0,0
Tre Nixon,WR,NE,MIA,352,47.00,9.50,18.75,3000,0.00,0.0,0
Josh Whyle,TE,TEN,ATL,118,35.50,2.50,16.50,2500,0.00,0.0,0
Kearis Jackson,WR,TEN,ATL,118,35.50,2.50,16.50,3000,0.00,0.0,0
Will Grier,QB,NE,MIA,352,47.00,9.50,18.75,4000,0.00,0.0,0
Colton Dowell,WR,TEN,ATL,118,35.50,2.50,16.50,3000,0.00,0.0,0
Marcus Mariota,QB,PHI,WAS,-327,43.50,-7.00,25.25,4500,0.00,0.0,0
Matthew Slater,WR,NE,MIA,352,47.00,9.50,18.75,3000,0.00,0.0,0
Julian Hill,TE,MIA,NE,-455,47.00,-9.50,28.25,2500,0.00,0.0,0
Avery Williams,RB,ATL,TEN,-142,35.50,-2.50,19.00,4000,0.00,0.0,0
