Player,Position,Team,Opponent,Salary,% ownership,Notes
Treylon Burks,WR,TEN,SEA,"$3,100",2.90%,
Jaylen Waddle,WR,MIA,DAL,"$7,800",2.50%,
Dolphins,DST,MIA,DAL,"$2,700",2.40%,
Dalton Schultz,TE,HOU,CLE,"$4,600",2.40%,
Jared Goff,QB,DET,MIN,"$6,900",2.30%,
Vikings,DST,MIN,DET,"$2,500",2.20%,
Jaguars,DST,JAX,TB,"$2,900",2.10%,
Josh Downs,WR,IND,ATL,"$5,500",1.90%,
Sam LaPorta,TE,DET,MIN,"$6,400",1.80%,
Antonio Gibson,RB,WAS,NYJ,"$5,200",1.80%,
Case Keenum,QB,HOU,CLE,"$4,900",1.70%,
David Montgomery,RB,DET,MIN,"$6,900",1.60%,
DJ Chark Jr.,WR,CAR,GB,"$3,100",1.50%,
Brandin Cooks,WR,DAL,MIA,"$4,900",1.40%,
Ryan Tannehill,QB,TEN,SEA,"$5,000",1.30%,
Jordan Love,QB,GB,CAR,"$6,500",1.30%,
Parker Washington,WR,JAX,TB,"$3,800",1.20%,
Falcons,DST,ATL,IND,"$3,300",1.10%,
Tua Tagovailoa,QB,MIA,DAL,"$7,800",1.00%,
Romeo Doubs,WR,GB,CAR,"$5,300",0.90%,
Packers,DST,GB,CAR,"$3,900",0.90%,
Raheem Mostert,RB,MIA,DAL,"$7,300",0.80%,
Lions,DST,DET,MIN,"$3,500",0.80%,
Cedric Tillman,WR,CLE,HOU,"$3,300",0.80%,
Bryce Young,QB,CAR,GB,"$4,700",0.60%,
Tyler Allgeier,RB,ATL,IND,"$4,600",0.60%,
Texans,DST,HOU,CLE,"$3,600",0.60%,
Sam Howell,QB,WAS,NYJ,"$6,200",0.60%,
Jahan Dotson,WR,WAS,NYJ,"$4,400",0.50%,
D'Onta Foreman,RB,CHI,ARI,"$4,700",0.50%,
Jameson Williams,WR,DET,MIN,"$3,700",0.50%,
Nico Collins,WR,HOU,CLE,"$6,800",0.50%,
Adam Thielen,WR,CAR,GB,"$5,900",0.50%,
Xavier Hutchinson,WR,HOU,CLE,"$3,000",0.50%,
Zach Charbonnet,RB,SEA,TEN,"$5,000",0.50%,
Colts,DST,IND,ATL,"$3,800",0.50%,
Logan Thomas,TE,WAS,NYJ,"$3,500",0.40%,
Josh Reynolds,WR,DET,MIN,"$3,300",0.40%,
Noah Fant,TE,SEA,TEN,"$2,900",0.40%,
Kareem Hunt,RB,CLE,HOU,"$4,800",0.40%,
Greg Dortch,WR,ARI,CHI,"$4,000",0.40%,
Cowboys,DST,DAL,MIA,"$3,000",0.40%,
Alec Pierce,WR,IND,ATL,"$4,000",0.40%,
Robert Woods,WR,HOU,CLE,"$4,100",0.30%,
Durham Smythe,TE,MIA,DAL,"$2,700",0.30%,
Kylen Granson,TE,IND,ATL,"$2,600",0.30%,
Trey Palmer,WR,TB,JAX,"$3,100",0.30%,
Jamal Agnew,WR,JAX,TB,"$3,400",0.30%,
K.J. Osborn,WR,MIN,DET,"$3,900",0.30%,
Rondale Moore,WR,ARI,CHI,"$3,500",0.30%,
Xavier Gipson,WR,NYJ,WAS,"$3,100",0.30%,
Nick Westbrook-Ikhine,WR,TEN,SEA,"$3,400",0.20%,
