Player,Position,Team,Opponent,Salary,% ownership,Notes
A.T. Perry,WR,NO,DET,"$3,300",7.30%,
C.J. Stroud,QB,HOU,DEN,"$8,100",7.30%,
Curtis Samuel,WR,WAS,MIA,"$4,100",7.30%,
Sam Howell,QB,WAS,MIA,"$6,200",7.10%,
Baker Mayfield,QB,TB,CAR,"$5,500",7.10%,
Kyren Williams,RB,LA,CLE,"$7,200",7.00%,
DeAndre Hopkins,WR,TEN,IND,"$6,100",6.90%,
Brandon Aiyuk,WR,SF,PHI,"$7,200",6.70%,
Patriots,DST,NE,LAC,"$2,400",6.50%,
Gardner Minshew II,QB,IND,TEN,"$5,300",6.50%,
Kenny Pickett,QB,PIT,ARI,"$5,100",6.30%,
A.J. Brown,WR,PHI,SF,"$8,800",6.20%,
Bijan Robinson,RB,ATL,NYJ,"$6,700",6.10%,
Colts,DST,IND,TEN,"$3,200",5.90%,
Austin Ekeler,RB,LAC,NE,"$8,300",5.80%,
Chig Okonkwo,TE,TEN,IND,"$3,100",5.70%,
Marvin Mims Jr.,WR,DEN,HOU,"$3,300",5.60%,
Mike Evans,WR,TB,CAR,"$7,700",5.40%,
Jalen Guyton,WR,LAC,NE,"$3,300",5.10%,
Keith Kirkwood,WR,NO,DET,"$3,000",5.00%,
DeVonta Smith,WR,PHI,SF,"$7,300",5.00%,
Puka Nacua,WR,LA,CLE,"$7,000",5.00%,
George Kittle,TE,SF,PHI,"$6,200",4.80%,
Marquise Brown,WR,ARI,PIT,"$5,200",4.70%,
Jonathan Mingo,WR,CAR,TB,"$3,300",4.70%,
David Montgomery,RB,DET,NO,"$6,500",4.50%,
Browns,DST,CLE,LA,"$3,100",4.50%,
Durham Smythe,TE,MIA,WAS,"$2,500",4.40%,
Jared Goff,QB,DET,NO,"$6,500",4.30%,
D'Andre Swift,RB,PHI,SF,"$6,600",4.30%,
Jets,DST,NYJ,ATL,"$3,500",4.00%,
Cooper Kupp,WR,LA,CLE,"$7,800",4.00%,
Garrett Wilson,WR,NYJ,ATL,"$6,000",3.90%,
Rams,DST,LA,CLE,"$3,700",3.90%,
Derek Carr,QB,NO,DET,"$5,600",3.90%,
Lions,DST,DET,NO,"$3,000",3.80%,
Hunter Henry,TE,NE,LAC,"$3,100",3.80%,
DeVante Parker,WR,NE,LAC,"$3,300",3.70%,
James Conner,RB,ARI,PIT,"$5,800",3.60%,
Raheem Mostert,RB,MIA,WAS,"$7,300",3.50%,
Sam LaPorta,TE,DET,NO,"$5,600",3.50%,
Steelers,DST,PIT,ARI,"$3,800",3.40%,
De'Von Achane,RB,MIA,WAS,"$6,900",3.40%,
49ers,DST,SF,PHI,"$3,000",3.30%,
Titans,DST,TEN,IND,"$2,800",3.20%,
Pat Freiermuth,TE,PIT,ARI,"$4,300",3.20%,
Greg Dortch,WR,ARI,PIT,"$3,700",3.10%,
Jameson Williams,WR,DET,NO,"$3,600",3.00%,
Devin Singletary,RB,HOU,DEN,"$5,900",2.90%,
Drake London,WR,ATL,NYJ,"$4,900",2.90%,
Will Levis,QB,TEN,IND,"$5,200",2.90%,
Braxton Berrios,WR,MIA,WAS,"$3,000",2.80%,
JuJu Smith-Schuster,WR,NE,LAC,"$3,200",2.80%,
Tyler Conklin,TE,NYJ,ATL,"$3,000",2.80%,
Chargers,DST,LAC,NE,"$4,000",2.70%,
Trey Palmer,WR,TB,CAR,"$3,200",2.40%,
DJ Chark Jr.,WR,CAR,TB,"$3,200",1.90%,
Justin Herbert,QB,LAC,NE,"$8,000",1.90%,
Jahan Dotson,WR,WAS,MIA,"$4,600",1.80%,
Kyle Pitts,TE,ATL,NYJ,"$3,800",1.80%,
Chuba Hubbard,RB,CAR,TB,"$5,300",1.80%,
Chris Godwin,WR,TB,CAR,"$6,300",1.70%,
Kylen Granson,TE,IND,TEN,"$2,500",1.70%,
Tyler Higbee,TE,LA,CLE,"$3,700",1.70%,
Joe Flacco,QB,CLE,LA,"$4,600",1.60%,
Gerald Everett,TE,LAC,NE,"$3,500",1.60%,
Texans,DST,HOU,DEN,"$3,300",1.60%,
Broncos,DST,DEN,HOU,"$2,700",1.60%,
Commanders,DST,WAS,MIA,"$2,300",1.50%,
Alec Pierce,WR,IND,TEN,"$3,300",1.40%,
Kyler Murray,QB,ARI,PIT,"$7,000",1.40%,
Amari Cooper,WR,CLE,LA,"$5,700",1.30%,
Matthew Stafford,QB,LA,CLE,"$5,900",1.30%,
Taysom Hill,TE,NO,DET,"$5,200",1.30%,
Cardinals,DST,ARI,PIT,"$2,900",1.20%,
Eagles,DST,PHI,SF,"$2,800",1.20%,
Saints,DST,NO,DET,"$2,700",1.10%,
Rondale Moore,WR,ARI,PIT,"$3,400",1.00%,
Bailey Zappe,QB,NE,LAC,"$4,800",1.00%,
Kareem Hunt,RB,CLE,LA,"$4,700",0.90%,
Tyjae Spears,RB,TEN,IND,"$4,400",0.90%,
Brian Robinson Jr.,RB,WAS,MIA,"$6,100",0.80%,
Bryce Young,QB,CAR,TB,"$4,900",0.70%,
Samaje Perine,RB,DEN,HOU,"$4,800",0.70%,
Robert Woods,WR,HOU,DEN,"$3,900",0.70%,
Miles Sanders,RB,CAR,TB,"$4,300",0.60%,
Antonio Gibson,RB,WAS,MIA,"$4,500",0.60%,
Chris Moore,WR,TEN,IND,"$3,100",0.60%,
Desmond Ridder,QB,ATL,NYJ,"$5,000",0.40%,
Tim Boyle,QB,NYJ,ATL,"$4,800",0.30%,
Ezekiel Elliott,RB,NE,LAC,"$4,500",0.30%,
Lynn Bowden Jr.,WR,NO,DET,"$3,000",0.30%,
Nick Westbrook-Ikhine,WR,TEN,IND,"$3,200",0.30%,
Dameon Pierce,RB,HOU,DEN,"$5,100",0.20%,
Tyler Allgeier,RB,ATL,NYJ,"$4,500",0.20%,
Tutu Atwell,WR,LA,CLE,"$3,800",0.20%,
