Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
43,4081655911,planb9687 (3/4),0,201.36002,DST Colts  FLEX Zamir White QB Joe Flacco RB Christian McCaffrey RB Jahmyr Gibbs TE Isaiah Likely WR Davante Adams WR Tyler Lockett WR Joshua Palmer,,Joshua Palmer,WR,6.27%,24.3
44,4080966132,bboven,0,200.85999,DST Dolphins  FLEX David Njoku QB Joe Flacco RB Christian McCaffrey RB Kyren Williams TE Evan Engram WR George Pickens WR Curtis Samuel WR Jaxon Smith-Njigba,,Chig Okonkwo,TE,6.20%,6.6
45,4078875097,blakedaddy111 (1/5),0,200.52,DST Raiders  FLEX Kyren Williams QB Aidan O'Connell RB Christian McCaffrey RB Zamir White TE Isaiah Likely WR Davante Adams WR DK Metcalf WR Hunter Renfrow,,Wan'Dale Robinson,WR,6.00%,6.5
46,4081939309,19murphy82 (7/11),0,200.46,DST Raiders  FLEX Tucker Kraft QB Joe Flacco RB Kyren Williams RB Raheem Mostert TE Isaiah Likely WR Cooper Kupp WR Deebo Samuel WR Curtis Samuel,,Michael Mayer,TE,5.98%,13.9
46,4081955135,19murphy82 (11/11),0,200.46,DST Raiders  FLEX Tucker Kraft QB Joe Flacco RB Kyren Williams RB Raheem Mostert TE Isaiah Likely WR Cooper Kupp WR Deebo Samuel WR Curtis Samuel,,Jordan Addison,WR,5.74%,32.1
48,4080743682,renagade (2/2),0,200.32,DST Vikings  FLEX Curtis Samuel QB Aidan O'Connell RB Christian McCaffrey RB Jahmyr Gibbs TE Noah Fant WR Jaylen Waddle WR Garrett Wilson WR Jordan Addison,,Aidan O'Connell,QB,5.74%,25.92
49,4081770473,rymayer2 (5/20),0,200.26,DST Raiders  FLEX Christian McCaffrey QB Jake Browning RB Kyren Williams RB Ezekiel Elliott TE Trey McBride WR Rashee Rice WR Wan'Dale Robinson WR Demarcus Robinson,,Ameer Abdullah,RB,5.65%,6.5
49,4081770486,rymayer2 (18/20),0,200.26,DST Raiders  FLEX Christian McCaffrey QB Jake Browning RB Kyren Williams RB Ezekiel Elliott TE Trey McBride WR Rashee Rice WR Wan'Dale Robinson WR Demarcus Robinson,,Patriots ,DST,5.54%,7
51,4081574248,skid68 (3/20),0,199.98001,DST Raiders  FLEX David Njoku QB Brock Purdy RB Christian McCaffrey RB Kyren Williams TE Chig Okonkwo WR Deebo Samuel WR Zay Jones WR Demario Douglas,,Drake London,WR,5.41%,4.4
52,4078501082,CoffeeInBed (13/20),0,199.92,DST Raiders  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Zack Moss TE Trey McBride WR Jayden Reed WR Jaxon Smith-Njigba WR Demarcus Robinson,,Courtland Sutton,WR,5.40%,12.1
52,4079756640,TheFFOracle (1/5),0,199.92,DST Raiders  FLEX Kyren Williams QB Matthew Stafford RB Christian McCaffrey RB Zack Moss TE Trey McBride WR Jayden Reed WR Jaxon Smith-Njigba WR Demarcus Robinson,,Jaylen Warren,FLEX,5.05%,11.8
54,4081555554,nasio28 (1/2),0,199.81999,DST Browns  FLEX George Pickens QB Matthew Stafford RB Christian McCaffrey RB Kyren Williams TE Michael Mayer WR Davante Adams WR Curtis Samuel WR Joshua Palmer,,Sam LaPorta,TE,4.95%,28.6
55,4081533619,JHendrixJr (3/3),0,199.78001,DST Panthers  FLEX Sam LaPorta QB Easton Stick RB Christian McCaffrey RB Austin Ekeler TE Isaiah Likely WR Rashee Rice WR Amari Cooper WR Joshua Palmer,,Derrick Henry,RB,4.93%,5
56,4080646653,PhantasyGawd,0,199.76,DST Raiders  FLEX Rachaad White QB Jake Browning RB Christian McCaffrey RB Joe Mixon TE David Njoku WR Jayden Reed WR Curtis Samuel WR Odell Beckham Jr.,,Falcons ,DST,4.91%,7
