Player,Position,Team,Opponent,Salary,% ownership,Notes
Michael Mayer,TE,LV,KC,"$2,800",2.20%,
Kyle Pitts,TE,ATL,NO,"$4,000",2.20%,
Giants,DST,NYG,NE,"$3,500",2.20%,
Colts,DST,IND,TB,"$3,400",2.10%,
Jake Browning,QB,CIN,PIT,"$5,200",2.10%,
Jonathan Mingo,WR,CAR,TEN,"$3,300",2.10%,
Tyjae Spears,RB,TEN,CAR,"$4,400",2.10%,
Kylen Granson,TE,IND,TB,"$2,600",1.90%,
Will Levis,QB,TEN,CAR,"$5,300",1.80%,
Russell Wilson,QB,DEN,CLE,"$5,400",1.80%,
Derek Carr,QB,NO,ATL,"$5,800",1.80%,
Tyler Higbee,TE,LA,ARI,"$3,500",1.70%,
Kenny Pickett,QB,PIT,CIN,"$4,800",1.70%,
James Cook,RB,BUF,PHI,"$6,200",1.60%,
Pat Freiermuth,TE,PIT,CIN,"$2,900",1.50%,
DJ Chark Jr.,WR,CAR,TEN,"$3,200",1.40%,
DeVante Parker,WR,NE,NYG,"$3,000",1.40%,
Jerry Jeudy,WR,DEN,CLE,"$4,900",1.40%,
Amari Cooper,WR,CLE,DEN,"$5,900",1.30%,
Miles Sanders,RB,CAR,TEN,"$4,400",1.20%,
Buccaneers,DST,TB,IND,"$3,300",1.10%,
Marvin Mims,WR,DEN,CLE,"$3,400",1.10%,
Chig Okonkwo,TE,TEN,CAR,"$3,100",1.10%,
Alec Pierce,WR,IND,TB,"$3,200",1.00%,
Aidan O'Connell,QB,LV,KC,"$5,000",1.00%,
Royce Freeman,RB,LA,ARI,"$4,500",0.90%,
Devin Singletary,RB,HOU,JAX,"$6,000",0.90%,
Dorian Thompson-Robinson,QB,CLE,DEN,"$4,900",0.90%,
Saints,DST,NO,ATL,"$3,600",0.80%,
Kareem Hunt,RB,CLE,DEN,"$4,800",0.80%,
Daniel Bellinger,TE,NYG,NE,"$2,900",0.80%,
Mike Gesicki,TE,NE,NYG,"$2,500",0.80%,
Jaguars,DST,JAX,HOU,"$3,000",0.80%,
Ezekiel Elliott,RB,NE,NYG,"$5,000",0.80%,
Raiders,DST,LV,KC,"$2,800",0.80%,
Juwan Johnson,TE,NO,ATL,"$3,000",0.70%,
Tutu Atwell,WR,LA,ARI,"$4,100",0.70%,
Rashee Rice,WR,KC,LV,"$5,500",0.70%,
Mac Jones,QB,NE,NYG,"$5,100",0.60%,
Tyler Allgeier,RB,ATL,NO,"$4,600",0.50%,
Bryce Young,QB,CAR,TEN,"$4,900",0.50%,
Tommy DeVito,QB,NYG,NE,"$5,200",0.50%,
Gabe Davis,WR,BUF,PHI,"$5,300",0.50%,
Jakobi Meyers,WR,LV,KC,"$5,800",0.50%,
Taysom Hill,TE,NO,ATL,"$5,000",0.30%,
Dameon Pierce,RB,HOU,JAX,"$5,500",0.20%,
