Player,Position,Team,Opponent,Salary,% ownership,Notes
Kadarius Toney,WR,KC,LAC,"$3,800",3.20%,
Joshua Dobbs,QB,ARI,SEA,"$5,300",3.20%,
Jonathan Taylor,RB,IND,CLE,"$6,500",3.10%,
Javonte Williams,RB,DEN,GB,"$5,400",3.00%,
Kyle Pitts,TE,ATL,TB,"$4,000",3.00%,
Cardinals,DST,ARI,SEA,"$2,300",3.00%,
Aidan O'Connell,QB,LV,CHI,"$4,700",3.00%,
Gus Edwards,RB,BAL,DET,"$4,800",2.90%,
Jerry Jeudy,WR,DEN,GB,"$5,800",2.70%,
Falcons,DST,ATL,TB,"$2,800",2.70%,
Jayden Reed,WR,GB,DEN,"$3,700",2.60%,
Chargers,DST,LAC,KC,"$2,200",2.50%,
Cole Kmet,TE,CHI,LV,"$4,200",2.20%,
Tutu Atwell,WR,LA,PIT,"$4,300",2.10%,
Dalton Kincaid,TE,BUF,NE,"$3,100",2.00%,
Kareem Hunt,RB,CLE,IND,"$5,000",1.70%,
Gerald Everett,TE,LAC,KC,"$3,800",1.50%,
Justin Herbert,QB,LAC,KC,"$8,000",1.40%,
Jared Goff,QB,DET,BAL,"$6,400",1.40%,
DeVante Parker,WR,NE,BUF,"$3,400",1.30%,
Trey McBride,TE,ARI,SEA,"$2,600",1.30%,
Darius Slayton,WR,NYG,WAS,"$3,700",1.20%,
Packers,DST,GB,DEN,"$3,700",1.20%,
Jahan Dotson,WR,WAS,NYG,"$4,600",1.20%,
Gardner Minshew II,QB,IND,CLE,"$5,200",1.00%,
Tyler Allgeier,RB,ATL,TB,"$4,500",0.90%,
Kylen Granson,TE,IND,CLE,"$3,000",0.90%,
Mike Gesicki,TE,NE,BUF,"$2,600",0.90%,
Jaleel McLaughlin,RB,DEN,GB,"$5,000",0.80%,
Royce Freeman,RB,LA,PIT,"$4,000",0.80%,
Mac Jones,QB,NE,BUF,"$4,900",0.80%,
Adam Trautman,TE,DEN,GB,"$2,600",0.70%,
Rams,DST,LA,PIT,"$3,900",0.70%,
Skyy Moore,WR,KC,LAC,"$3,500",0.70%,
Allen Robinson II,WR,PIT,LA,"$3,600",0.60%,
Trey Palmer,WR,TB,ATL,"$3,600",0.60%,
Colby Parkinson,TE,SEA,ARI,"$2,500",0.60%,
JuJu Smith-Schuster,WR,NE,BUF,"$3,200",0.50%,
Hunter Henry,TE,NE,BUF,"$4,100",0.50%,
Ezekiel Elliott,RB,NE,BUF,"$4,800",0.50%,
Tyson Bagent,QB,CHI,LV,"$4,900",0.50%,
Justice Hill,RB,BAL,DET,"$4,600",0.50%,
Zack Moss,RB,IND,CLE,"$6,200",0.50%,
Josh Reynolds,WR,DET,BAL,"$4,300",0.50%,
AJ Dillon,RB,GB,DEN,"$5,300",0.40%,
Keaontay Ingram,RB,ARI,SEA,"$4,900",0.40%,
Gabe Davis,WR,BUF,NE,"$5,900",0.40%,
Latavius Murray,RB,BUF,NE,"$4,400",0.40%,
Nelson Agholor,WR,BAL,DET,"$3,400",0.40%,
Desmond Ridder,QB,ATL,TB,"$5,200",0.30%,
Darnell Mooney,WR,CHI,LV,"$3,500",0.30%,
Odell Beckham Jr.,WR,BAL,DET,"$3,900",0.30%,
Alec Pierce,WR,IND,CLE,"$3,300",0.20%,
Jalin Hyatt,WR,NYG,WAS,"$3,000",0.20%,
Marvin Mims Jr.,WR,DEN,GB,"$3,600",0.20%,
