Player,Position,Team,Opponent,Salary,% ownership,Notes
Panthers,DST,CAR,NO,"$3,000",1.60%,
Raiders,DST,LV,MIN,"$3,200",1.50%,
Nico Collins,WR,HOU,NYJ,"$7,600",1.40%,
Tee Higgins,WR,CIN,IND,"$5,900",1.40%,
Dalton Kincaid,TE,BUF,KC,"$5,500",1.40%,
Jared Goff,QB,DET,CHI,"$6,400",1.40%,
Broncos,DST,DEN,LAC,"$2,800",1.40%,
Kenneth Walker,RB,SEA,SF,"$5,400",1.30%,
Taysom Hill,TE,NO,CAR,"$5,400",1.20%,
Seahawks,DST,SEA,SF,"$2,400",1.20%,
C.J. Stroud,QB,HOU,NYJ,"$7,600",1.20%,
Travis Etienne Jr.,RB,JAX,CLE,"$7,000",1.10%,
Noah Brown,WR,HOU,NYJ,"$5,000",1.10%,
Derek Carr,QB,NO,CAR,"$5,600",1.00%,
Zach Wilson,QB,NYJ,HOU,"$4,700",0.90%,
Roschon Johnson,RB,CHI,DET,"$4,900",0.90%,
Hunter Renfrow,WR,LV,MIN,"$3,100",0.90%,
Zach Charbonnet,RB,SEA,SF,"$5,400",0.80%,
Alec Pierce,WR,IND,CIN,"$3,700",0.80%,
Marvin Mims Jr.,WR,DEN,LAC,"$3,300",0.80%,
Kareem Hunt,RB,CLE,JAX,"$4,800",0.80%,
Xavier Gipson,WR,NYJ,HOU,"$3,100",0.80%,
DJ Chark Jr.,WR,CAR,NO,"$3,300",0.80%,
K.J. Osborn,WR,MIN,LV,"$4,000",0.80%,
Jameson Williams,WR,DET,CHI,"$3,500",0.70%,
Bryce Young,QB,CAR,NO,"$4,900",0.70%,
Jordan Addison,WR,MIN,LV,"$5,500",0.70%,
Khalil Shakir,WR,BUF,KC,"$3,900",0.60%,
Justin Watson,WR,KC,BUF,"$3,600",0.60%,
Dameon Pierce,RB,HOU,NYJ,"$5,000",0.50%,
Devin Singletary,RB,HOU,NYJ,"$5,700",0.50%,
Ty Chandler,RB,MIN,LV,"$4,600",0.40%,
Buccaneers,DST,TB,ATL,"$3,800",0.40%,
C.J. Beathard,QB,JAX,CLE,"$4,900",0.30%,
Matthew Stafford,QB,LA,BAL,"$6,000",0.30%,
Gus Edwards,RB,BAL,LA,"$5,900",0.30%,
Calvin Ridley,WR,JAX,CLE,"$6,400",0.30%,
