Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
59,3926547616,bigmook73 (2/8),0,253.06,DST Chiefs  FLEX Keenan Allen QB Justin Herbert RB Raheem Mostert RB Jerome Ford TE Taysom Hill WR Justin Jefferson WR Adam Thielen WR Tank Dell,,Dak Prescott,QB,4.57%,15.36
60,3924631695,CamMan23 (3/5),0,252.99997,DST Colts  FLEX Justin Jefferson QB Andy Dalton RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Keenan Allen WR Nico Collins WR Adam Thielen,,Taysom Hill,TE,4.42%,3.1
61,3926653435,MartyIce11 (2/10),0,252.96002,DST Bills  FLEX Raheem Mostert QB Justin Herbert RB Travis Etienne Jr. RB Alexander Mattison TE Taysom Hill WR Keenan Allen WR Mike Williams WR Tank Dell,,Trevor Lawrence,QB,4.38%,15.36
62,3925987119,Steelers1933 (1/4),0,252.89998,DST Texans  FLEX Raheem Mostert QB Andy Dalton RB Kenneth Walker III RB Miles Sanders TE Hunter Henry WR Tyreek Hill WR Keenan Allen WR Adam Thielen,,Isiah Pacheco,RB,4.31%,15.8
63,3923808704,bigmatt88 (4/20),0,252.76001,DST Bills  FLEX Raheem Mostert QB Justin Herbert RB Alexander Mattison RB Zack Moss TE Zach Ertz WR Keenan Allen WR Mike Williams WR Courtland Sutton,,Rashid Shaheed,WR,4.24%,6
64,3923041718,southpanola (1/2),0,252.74002,DST Bills  FLEX Tank Dell QB Kirk Cousins RB Raheem Mostert RB Gus Edwards TE Durham Smythe WR Tyreek Hill WR Keenan Allen WR Amari Cooper,,Tyler Lockett,WR,4.07%,8.4
65,3922056294,jmoney2186 (20/20),0,252.66,DST Bills  FLEX Tank Dell QB Tua Tagovailoa RB Zack Moss RB Jerome Ford TE Travis Kelce WR Tyreek Hill WR Mike Williams WR Adam Thielen,,Skyy Moore,WR,4.04%,8.2
66,3925703085,RonnieB81,0,252.54,DST Commanders  FLEX Tank Dell QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE Hunter Henry WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Braxton Berrios,WR,4.02%,5.3
67,3925181335,ehab (2/2),0,252.52,DST Jets  FLEX Adam Thielen QB Tua Tagovailoa RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Tyreek Hill WR Keenan Allen WR River Cracraft,,Gabe Davis,WR,3.99%,10.3
68,3926208292,jrspringer,0,252.3,DST Patriots  FLEX Keenan Allen QB Geno Smith RB Kenneth Walker III RB Raheem Mostert TE Kyle Pitts WR Justin Jefferson WR Adam Thielen WR Tank Dell,,River Cracraft,WR,3.98%,2.3
69,3920477150,B_money2018 (2/4),0,252.26001,DST Chiefs  FLEX Kenneth Walker III QB Justin Herbert RB Raheem Mostert RB Zack Moss TE Zach Ertz WR Keenan Allen WR Mike Williams WR Tank Dell,,Kyle Pitts,TE,3.90%,8.7
70,3926629425,bdadian (4/20),0,251.95999,DST Browns  FLEX Tank Dell QB Justin Herbert RB Raheem Mostert RB Jerome Ford TE Donald Parham Jr. WR Justin Jefferson WR Keenan Allen WR Courtland Sutton,,AJ Dillon,RB,3.84%,3.3
71,3924688829,SKIPPER0891 (7/20),0,251.93999,DST Bills  FLEX Justin Jefferson QB Kirk Cousins RB Zack Moss RB Jerome Ford TE Sam LaPorta WR Keenan Allen WR Christian Kirk WR Tank Dell,,Tony Jones Jr.,RB,3.75%,9.2
72,3924411471,thelawnmower (8/14),0,251.86002,DST Bills  FLEX Adam Thielen QB Justin Herbert RB Travis Etienne Jr. RB Raheem Mostert TE Dalton Kincaid WR Keenan Allen WR Mike Williams WR Jordan Addison,,Breece Hall,RB,3.74%,3.7
73,3917898790,clutch_city (2/20),0,251.84,DST Cowboys  FLEX Jerome Ford QB Kirk Cousins RB Kenneth Walker III RB Raheem Mostert TE T.J. Hockenson WR Keenan Allen WR Adam Thielen WR Tank Dell,,Jake Ferguson,TE,3.74%,9.8
73,3922492531,MattFroh (7/16),0,251.84,DST Bills  FLEX Christian Kirk QB Kirk Cousins RB Raheem Mostert RB Jerome Ford TE Zach Ertz WR Justin Jefferson WR Keenan Allen WR Tank Dell,,Colts ,DST,3.70%,9
73,3924742363,WarLeagle (4/10),0,251.84,DST Cowboys  FLEX Kenneth Walker III QB Kirk Cousins RB Raheem Mostert RB Jerome Ford TE T.J. Hockenson WR Keenan Allen WR Adam Thielen WR Tank Dell,,Michael Thomas,WR,3.69%,11
76,3924123707,jfrost757 (8/20),0,251.74,DST Bills  FLEX Adam Thielen QB Andy Dalton RB Travis Etienne Jr. RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Tyreek Hill WR Tank Dell,,James Cook,RB,3.66%,13.2
77,3918569216,Birdy2323 (3/3),0,251.66,DST Bills  FLEX Kenneth Walker III QB Justin Herbert RB Travis Etienne Jr. RB Alexander Mattison TE Luke Musgrave WR Keenan Allen WR Amari Cooper WR Adam Thielen,,Chris Olave,WR,3.51%,21.4
78,3919746517,warren24 (1/5),0,251.12,DST Bills  FLEX Keenan Allen QB Tua Tagovailoa RB Raheem Mostert RB Zack Moss TE Travis Kelce WR Courtland Sutton WR Romeo Doubs WR Jayden Reed,,DJ Moore,WR,3.43%,13.1
79,3924858172,rydley2,0,251.06001,DST Bills  FLEX Durham Smythe QB Justin Herbert RB James Cook RB Raheem Mostert TE T.J. Hockenson WR Keenan Allen WR Mike Williams WR Adam Thielen,,Browns ,DST,3.39%,12
80,3921936081,Leopoldi (17/20),0,250.86,DST Bills  FLEX Tank Dell QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE T.J. Hockenson WR Keenan Allen WR Zay Flowers WR Rashid Shaheed,,Elijah Moore,FLEX,3.27%,12.8
81,3925292882,chrisapriltravis (13/20),0,250.76,DST Bills  FLEX Travis Kelce QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Keenan Allen WR Jordan Addison WR Tank Dell,,Amon-Ra St. Brown,WR,3.26%,22.6
82,3923831859,dodgers2019 (17/20),0,250.68001,DST Bills  FLEX Sam LaPorta QB Kirk Cousins RB Raheem Mostert RB Jerome Ford TE T.J. Hockenson WR Justin Jefferson WR Mike Williams WR Tank Dell,,Rhamondre Stevenson,RB,3.04%,7.2
83,3923353581,asevern15 (2/10),0,250.64001,DST Bills  FLEX Tank Dell QB Kirk Cousins RB Travis Etienne Jr. RB Raheem Mostert TE Cole Turner WR Justin Jefferson WR Keenan Allen WR K.J. Osborn,,Derrick Henry,RB,2.99%,2
84,3921688471,deeganvauter16 (16/20),0,250.42,DST Commanders  FLEX Tyreek Hill QB Tua Tagovailoa RB Zack Moss RB De'Von Achane TE Luke Musgrave WR Keenan Allen WR Michael Pittman Jr. WR Tank Dell,,Geno Smith,QB,2.91%,16.44
85,3926225320,dnelson22 (2/20),0,250.36,DST Bills  FLEX Tank Dell QB Tua Tagovailoa RB Raheem Mostert RB Joshua Kelley TE T.J. Hockenson WR Tyreek Hill WR Amari Cooper WR Adam Thielen,,Tyler Allgeier,FLEX,2.81%,4.9
86,3919952361,sdsuchris23 (9/20),0,250.26001,DST Bills  FLEX Keenan Allen QB C.J. Stroud RB Kenneth Walker III RB Raheem Mostert TE Zach Ertz WR Justin Jefferson WR Nico Collins WR Adam Thielen,,Nelson Agholor,WR,2.78%,7.9
87,3925507013,ShepherdZero (9/10),0,249.58,DST Bills  FLEX Dawson Knox QB Kirk Cousins RB Raheem Mostert RB Jerome Ford TE Sam LaPorta WR Justin Jefferson WR Tyreek Hill WR Adam Thielen,,Jaguars ,DST,2.78%,-4
88,3925540531,tlaustin2891,0,249.56,DST Bills  FLEX John Bates QB Tua Tagovailoa RB Kenneth Walker III RB Raheem Mostert TE Noah Fant WR Justin Jefferson WR Tyreek Hill WR Adam Thielen,,Josh Allen,QB,2.78%,22.32
89,3925051892,Adafulmores (8/20),0,249.54,DST Bills  FLEX Justin Jefferson QB Kirk Cousins RB Zack Moss RB Jerome Ford TE Sam LaPorta WR Keenan Allen WR Zay Flowers WR Tank Dell,,Courtland Sutton,WR,2.67%,21.1
90,3926204582,JV05 (6/9),0,249.40001,DST Bills  FLEX Tank Dell QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE Gerald Everett WR Justin Jefferson WR Mike Williams WR Elijah Moore,,Titans ,DST,2.60%,5
90,3927403124,A.E.D__1,0,249.39998,DST Cowboys  FLEX Tank Dell QB Andy Dalton RB Kenneth Walker III RB Raheem Mostert TE Hunter Henry WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Deshaun Watson,QB,2.57%,21.16
92,3926443539,Cal089311 (4/5),0,249.36002,DST Colts  FLEX Raheem Mostert QB Justin Herbert RB Kenneth Walker III RB Jerome Ford TE Durham Smythe WR Tyreek Hill WR Keenan Allen WR Tank Dell,,Ravens ,DST,2.55%,7
93,3927437621,amuch,0,249.24,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Jahmyr Gibbs RB Raheem Mostert TE Taysom Hill WR Justin Jefferson WR Keenan Allen WR Rondale Moore,,Desmond Ridder,QB,2.40%,7.34
94,3926167660,maygi557 (7/9),0,249.22,DST Bills  FLEX T.J. Hockenson QB Jared Goff RB Kenneth Walker III RB Raheem Mostert TE Sam LaPorta WR Amon-Ra St. Brown WR Mike Williams WR Adam Thielen,,Hayden Hurst,TE,2.37%,2.1
95,3923487990,PaulW23 (13/20),0,249.06001,DST Bills  FLEX Alexander Mattison QB Justin Herbert RB Raheem Mostert RB AJ Dillon TE Evan Engram WR Keenan Allen WR Mike Williams WR Tank Dell,,Saints ,DST,2.11%,10
96,3920834375,Jack583040 (2/2),0,249.04001,DST Bills  FLEX Raheem Mostert QB Kirk Cousins RB Tony Pollard RB Kenneth Walker III TE Hunter Henry WR Keenan Allen WR Elijah Moore WR Tank Dell,,Luke Musgrave,TE,2.05%,10.9
97,3924994208,PalbertoV (3/20),0,248.94,DST Bills  FLEX Joshua Kelley QB Kirk Cousins RB Raheem Mostert RB Zack Moss TE Jordan Akins WR Justin Jefferson WR Keenan Allen WR Adam Thielen,,Justin Fields,QB,2.02%,11.66
97,3926225338,dnelson22 (20/20),0,248.94,DST Colts  FLEX Tank Dell QB Kirk Cousins RB Alexander Mattison RB De'Von Achane TE Durham Smythe WR Justin Jefferson WR Keenan Allen WR Mike Williams,,Kendrick Bourne,WR,2.01%,8.6
99,3927183204,Raymonddiclaudio (4/9),0,248.76001,DST Chiefs  FLEX Keenan Allen QB Justin Herbert RB Tony Pollard RB Raheem Mostert TE Zach Ertz WR Mike Williams WR Adam Thielen WR Tank Dell,,Russell Wilson,QB,1.99%,18.24
100,3927379174,klasyck (17/20),0,248.57999,DST Bills  FLEX DJ Moore QB Kirk Cousins RB Tony Pollard RB Raheem Mostert TE Travis Kelce WR Amari Cooper WR Adam Thielen WR Tank Dell,,Jahan Dotson,WR,1.95%,4.1
101,3926692703,Davidstillwell (2/6),0,248.45999,DST Bills  FLEX Adam Thielen QB Justin Herbert RB Raheem Mostert RB Joshua Kelley TE Kyle Pitts WR Justin Jefferson WR Keenan Allen WR Josh Downs,,Romeo Doubs,WR,1.94%,18.3
102,3924043557,DreamPlacebo (8/20),0,248.23999,DST Bills  FLEX Kenneth Walker III QB Kirk Cousins RB Raheem Mostert RB Jerome Ford TE Josh Oliver WR Justin Jefferson WR Keenan Allen WR DeVante Parker,,Cardinals ,DST,1.91%,5
102,3925753450,Packerkid17 (7/20),0,248.23999,DST Bills  FLEX Adam Thielen QB Kirk Cousins RB Travis Etienne Jr. RB Jerome Ford TE Sam LaPorta WR Tyreek Hill WR Keenan Allen WR K.J. Osborn,,Marquise Brown,WR,1.90%,17.1
104,3923849638,MEANSIMBAMACHINE (1/3),0,248.16,DST Patriots  FLEX Michael Thomas QB Justin Herbert RB Kenneth Walker III RB Raheem Mostert TE Gerald Everett WR Keenan Allen WR Mike Williams WR Adam Thielen,,Jonathan Mingo,WR,1.80%,5.1
105,3926074583,CaughtRedHernandez (8/8),0,248.14,DST Browns  FLEX Kenneth Walker III QB Kirk Cousins RB Travis Etienne Jr. RB Raheem Mostert TE Dalton Kincaid WR Keenan Allen WR Amari Cooper WR Adam Thielen,,Dawson Knox,TE,1.80%,2.1
106,3921550052,knows1 (7/20),0,248.12,DST Bills  FLEX Tony Pollard QB Jared Goff RB Raheem Mostert RB Alexander Mattison TE Sam LaPorta WR Justin Jefferson WR Adam Thielen WR Tank Dell,,Josh Downs,WR,1.79%,13.7
