Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Brock Wright,,TE,2500.0,10.0,0.08,,0.0,0.15,0.0,1.15,0.7,1.7,1.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bellinger,,TE,2500.0,10.0,0.02,,0.0,0.03,1.6,1.13,0.0,0.0,,,0.6,1.6,0.7,1.8,0.0,0.0
Ravens,,DST,2500.0,10.0,8.81,8.7,9.4,8.33,7.0,9.0,,11.0,,,5.3,17.0,1.9,7.0,1.1,3.0
Austin Hooper,,TE,2500.0,10.0,0.12,,0.0,0.24,2.6,2.3,1.6,3.9,1.2,3.1,0.8,2.1,0.0,0.0,1.4,4.0
Isaiah Likely,,TE,2500.0,10.0,0.12,,0.0,0.23,0.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.6,1.8
John FitzPatrick,,TE,2500.0,10.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
MyCole Pruitt,,TE,2500.0,10.0,0.0,,0.0,0.0,0.0,1.07,,,1.3,3.2,0.0,0.0,,,0.0,0.0
Tucker Fisk,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Travis Vokolek,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Drew Ogletree,,TE,2500.0,10.0,2.17,,1.8,2.55,3.6,6.5,0.0,0.0,1.3,3.6,5.5,13.8,0.8,2.1,,
Mo Alie-Cox,,TE,2500.0,10.0,0.24,,0.0,0.47,2.6,3.92,,,1.0,2.7,4.2,10.5,0.0,0.0,1.0,2.5
Darrell Daniels,,TE,2500.0,10.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,
Shane Zylstra,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
James Mitchell,Questionable,TE,2500.0,10.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,
Tyler Mabry,,TE,2500.0,10.0,,,,,,,0.0,0.0,,,,,,,,
Jesper Horsted,,TE,2500.0,10.0,0.0,,0.0,0.0,,,,,,,,,,,,
Colby Parkinson,,TE,2500.0,10.0,1.15,0.5,1.4,1.54,3.4,3.4,1.8,4.6,,,0.0,0.0,2.7,6.8,,
Tyler Ott,,TE,2500.0,10.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Charlie Kolar,,TE,2500.0,10.0,0.02,,0.0,0.05,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,
Joel Wilson,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Zach Davidson,IR,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Quintin Morris,Out,TE,2500.0,10.0,0.0,,0.0,0.0,0.0,0.0,3.4,8.5,,,,,,,0.0,0.0
Cole Fotheringham,,TE,2500.0,10.0,,,,,,,,,,,,,,,,
Greg Dulcich,Out,TE,2500.0,10.0,,,,,0.0,0.0,0.5,1.3,0.0,0.0,,,,,,
Chiefs,,DST,2400.0,9.6,7.03,11.6,4.9,4.6,10.0,8.67,,14.0,,,1.2,5.0,2.8,11.0,3.2,10.0
Cardinals,,DST,2300.0,9.2,4.21,3.4,6.3,2.92,4.0,2.0,,5.0,,,-1.4,-3.0,2.2,5.0,1.5,4.0
Chargers,,DST,2200.0,8.8,1.4,2.1,1.7,0.4,8.0,9.0,,8.0,,,4.5,14.0,3.0,8.0,1.4,5.0
Patriots,,DST,2100.0,8.4,4.85,6.3,1.0,7.24,5.0,5.67,,3.0,,,1.0,3.0,2.6,9.0,1.8,5.0
Patrick Taylor,,RB,,,,,,,0.1,0.93,,,0.7,2.7,0.0,0.0,,,0.0,0.1
Ben Mason,,RB,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
Jason Huntley,,RB,,,,,,,,,,,,,,,,,,
Taiwan Jones,,RB,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
Matt Corral,,QB,,,,,,,,,,,,,,,,,,
Zander Horvath,,RB,,,,,,,,,,,,,,,,,,
Greg Bell,,RB,,,,,,,,,,,,,,,,,,
Hassan Hall,,RB,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
Penny Hart,Questionable,WR,,,,,,,,,,,,,,,,,,
C.J. Saunders,,WR,,,,,,,,,,,,,,,,,,
Zay Malone,,WR,,,,,,,,,,,,,,,,,,
Mathew Sexton,,WR,,,,,,,,,,,,,,,,,,
Marquez Callaway,,WR,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Marcell Ateman,,WR,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Ra'Shaun Henry,Questionable,WR,,,,,,,,,,,,,,,,,,
Matt Landers,,WR,,,,,,,,,0.0,0.0,,,,,,,,
Juwann Winfree,,WR,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Mike Strachan,,WR,,,,,,,,,,,,,,,,,,
Cam Sims,,WR,,,,,,,,,,,,,,,,,,
Anthony Schwartz,Questionable,WR,,,,,,,,,,,,,,,,,,
Austin Allen,,TE,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Parker Hesse,Out,TE,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,
John Samuel Shenker,,TE,,,,,,,,,,,,,,,,,,
