Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
AJ Dillon,,RB,5300.0,21.2,1.24,1.0,1.6,1.12,5.3,6.32,,,2.6,13.6,0.2,1.1,0.6,3.3,1.2,7.3
Jimmy Garoppolo,Out,QB,5200.0,20.8,,,,,10.61,11.22,1.9,9.88,2.2,11.72,0.0,0.0,4.6,23.66,1.8,9.5
Gardner Minshew II,,QB,5200.0,20.8,,,,,11.14,8.07,3.3,16.56,,,0.0,0.0,2.6,13.08,2.2,11.14
Joshua Kelley,,RB,5200.0,20.8,0.48,,0.5,0.45,3.9,4.37,0.3,1.4,,,1.2,6.5,0.5,2.7,0.8,3.9
Desmond Ridder,,QB,5200.0,20.8,1.72,1.5,1.7,1.96,15.81,17.03,4.4,22.08,6.0,29.16,1.8,9.24,1.5,7.34,4.5,22.38
Courtland Sutton,,WR,5200.0,20.8,6.46,8.8,6.5,4.08,11.65,11.68,2.8,14.6,0.4,2.3,2.2,11.7,4.1,21.1,2.1,11.6
Najee Harris,,RB,5200.0,20.8,7.51,5.0,7.8,9.74,5.9,7.02,,,0.9,5.0,2.1,11.3,1.2,6.5,0.9,5.3
Jerome Ford,,RB,5100.0,20.4,11.75,16.9,6.5,11.85,19.1,18.57,2.1,11.1,,,1.8,9.5,4.0,19.1,6.5,27.1
Drake London,,WR,5100.0,20.4,7.62,7.6,6.5,8.77,13.24,12.57,5.1,24.5,3.1,14.68,2.5,11.8,1.0,5.1,3.7,18.7
Rachaad White,,RB,5100.0,20.4,13.17,15.9,10.4,13.22,10.8,13.43,1.2,6.8,,,1.9,10.8,1.4,8.2,3.9,21.3
Tyrod Taylor,,QB,5100.0,20.4,,,,,,,2.0,10.4,,,,,,,,
Kenny Pickett,,QB,5000.0,20.0,4.37,5.1,4.3,3.7,11.82,11.65,,,2.5,12.36,0.9,4.46,3.6,18.5,2.2,11.28
Jaylen Warren,,RB,5000.0,20.0,5.53,7.4,2.4,6.8,11.2,10.8,,,2.2,10.9,2.3,11.5,1.7,8.2,2.7,12.6
Darren Waller,,TE,5000.0,20.0,4.25,2.5,5.6,4.65,9.35,10.08,1.8,9.3,3.1,16.6,0.9,5.1,0.9,5.0,2.5,13.6
Jaleel McLaughlin,,RB,5000.0,20.0,1.75,1.8,1.9,1.56,17.9,12.93,1.2,6.2,3.6,17.9,4.8,19.4,0.4,1.5,,
Diontae Johnson,,WR,5000.0,20.0,7.62,10.4,6.5,5.97,,,,,,,,,,,,
Brian Hoyer,,QB,4900.0,19.6,1.96,2.9,1.0,1.97,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0
Tyson Bagent,,QB,4900.0,19.6,1.13,0.9,0.5,1.98,,,,,,,,,,,,
Keaontay Ingram,,RB,4900.0,19.6,1.57,0.4,1.5,2.82,1.85,1.85,1.6,7.1,,,,,0.7,3.1,0.1,0.6
Romeo Doubs,,WR,4900.0,19.6,5.88,7.4,5.4,4.84,11.65,10.8,,,0.3,1.4,3.9,18.5,3.8,18.3,1.0,5.0
Craig Reynolds,Questionable,RB,4900.0,19.6,1.06,,1.1,1.03,1.5,3.55,1.5,6.3,2.5,11.2,0.0,0.0,0.3,1.5,0.4,1.5
Mac Jones,,QB,4900.0,19.6,0.79,0.4,0.6,1.37,8.52,8.3,1.4,6.9,0.3,1.4,0.7,3.7,2.5,13.34,2.8,14.74
D'Onta Foreman,,RB,4800.0,19.2,6.46,12.0,1.1,6.29,0.0,0.0,1.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Palmer,,WR,4800.0,19.2,13.17,15.4,18.3,5.81,10.7,10.2,2.1,10.0,,,2.7,10.7,4.7,15.6,1.3,4.3
Gus Edwards,,RB,4800.0,19.2,2.63,1.9,2.1,3.89,6.0,7.25,1.3,6.3,1.0,4.8,1.3,6.9,1.0,5.1,2.3,12.2
P.J. Walker,,QB,4800.0,19.2,,,,,0.0,0.0,1.4,5.78,,,0.0,0.0,,,,
Emari Demercado,,RB,4800.0,19.2,0.45,,0.6,0.31,12.7,12.7,0.6,2.7,3.0,12.7,,,,,,
Ezekiel Elliott,,RB,4800.0,19.2,1.39,,1.5,1.28,6.0,5.75,2.5,11.9,1.7,7.8,0.8,4.2,1.9,9.7,0.2,1.3
Mitch Trubisky,,QB,4800.0,19.2,,,,,0.0,0.0,,,0.0,0.0,,,,,,
Easton Stick,,QB,4800.0,19.2,,,,,,,,,,,,,,,,
