Player,Team,Pos,Injury,Status,Est. Return
Ryan Connelly,FA,LB,Knee,Out,10/15/2023
Cody Conway,FA,OT,Knee - ACL,Questionable,9/24/2023
Brandin Cooks,DAL,WR,Knee - MCL,Inactive,9/24/2023
Elijah Cooks,JAX,WR,Coach's Decision,Inactive,9/24/2023
Amari Cooper,CLE,WR,Groin,Questionable,9/18/2023
Austin Corbett,CAR,OG,Knee - ACL,PUP-R,10/8/2023
Cody Core,FA,WR,Undisclosed,Questionable,9/24/2023
Matt Corral,NE,QB,Personal,Reserve-Ex,9/24/2023
Chase Cota,FA,WR,Undisclosed,Questionable,9/24/2023
Jeff Cotton,FA,WR,Undisclosed,Questionable,9/24/2023
Nathan Cottrell,FA,RB,Undisclosed,Questionable,9/24/2023
Brenton Cox,GB,LB,Coach's Decision,Inactive,9/24/2023
Kekoa Crawford,FA,WR,Undisclosed,Questionable,9/24/2023
Xavier Crawford,FA,CB,Hamstring,Questionable,9/24/2023
Tyrell Crosby,FA,OT,Back,Questionable,9/24/2023
Charles Cross,SEA,OT,Toe,Inactive,9/24/2023
Keion Crossen,MIA,CB,Undisclosed,IR,2/12/2024
Isaiah Crowell,FA,RB,Achilles,Questionable,9/24/2023
McClendon Curtis,SEA,OG,Coach's Decision,Inactive,9/24/2023
Dominique Dafney,FA,TE,Undisclosed,Questionable,9/24/2023
Dennis Daley,ARI,OT,Ankle,IR,10/8/2023
Tae Daley,FA,S,Undisclosed,Questionable,9/24/2023
Jalen Dalton,FA,DT,Undisclosed,Questionable,9/24/2023
Braeden Daniels,WAS,OT,Shoulder,IR,2/12/2024
Frank Darby,FA,WR,Undisclosed,Questionable,9/24/2023
Christian Darrisaw,MIN,OT,Ankle,Questionable,9/24/2023
Marcus Davenport,MIN,LB,Ankle,Questionable,9/24/2023
Zach Davidson,BUF,TE,Undisclosed,IR,2/12/2024
Carlton Davis,TB,CB,Toe,Inactive,9/24/2023
Cody Davis,NE,S,Knee,PUP-R,10/8/2023
Corey Davis,FA,WR,Personal,Reserve-Ret,2/12/2024
Daewood Davis,FA,WR,Concussion,Questionable,9/24/2023
Jarrad Davis,NYG,LB,Knee,IR,2/12/2024
Kalia Davis,SF,DT,Coach's Decision,Inactive,9/21/2023
Nate Davis,CHI,OG,Personal,Inactive,9/24/2023
Quartney Davis,FA,WR,Shoulder,Questionable,9/24/2023
Shawn Davis,FA,S,Abdomen,Questionable,9/24/2023
Tyler Davis,GB,TE,Knee,IR,2/12/2024
Wyatt Davis,NYG,OG,Ankle,IR,2/12/2024
Tyrion Davis-Price,SF,RB,Coach's Decision,Inactive,9/21/2023
Duke Dawson,FA,CB,Undisclosed,Questionable,9/24/2023
Nakobe Dean,PHI,LB,Foot,IR,10/15/2023
Dylan Deatherage,FA,OT,Undisclosed,Questionable,9/24/2023
Dawson Deaton,CLE,OG,Knee - ACL,IR,2/12/2024
Taylor Decker,DET,OT,Ankle,Inactive,9/24/2023
SirVocea Dennis,TB,LB,Hamstring,Inactive,9/24/2023
Brandon Dillon,WAS,TE,Undisclosed,IR,2/12/2024
J.K. Dobbins,BAL,RB,Achilles,IR,2/12/2024
JoJo Domann,FA,LB,Concussion,Questionable,9/24/2023
Myles Dorn,FA,S,Undisclosed,Questionable,9/24/2023
Khalil Dorsey,DET,CB,Illness,IR,10/15/2023
Kevin Dotson,LAR,OG,Coach's Decision,Inactive,9/25/2023
Andrew Dowell,NO,LB,Knee - ACL,IR,2/12/2024
Colton Dowell,TEN,WR,Coach's Decision,Inactive,9/24/2023
Tommy Doyle,BUF,OT,Knee,IR,2/12/2024
Dakota Dozier,FA,OG,Knee - ACL,Questionable,9/24/2023
Josh Drayden,FA,CB,Undisclosed,Questionable,9/24/2023
Greg Dulcich,DEN,TE,Hamstring,IR,10/12/2023
Ashton Dulin,IND,WR,Knee - ACL,IR,2/12/2024
Yasir Durant,FA,OG,Undisclosed,Questionable,9/24/2023
David Durden,DAL,WR,Knee - ACL,IR,2/12/2024
Payne Durham,TB,TE,Coach's Decision,Inactive,9/24/2023
Nate Ebner,FA,S,Ankle,Questionable,9/24/2023
Trestan Ebner,FA,RB,Concussion,Questionable,9/24/2023
Chase Edmonds,TB,RB,Knee,Questionable,9/25/2023
Chuma Edoga,DAL,OT,Elbow,Questionable,9/24/2023
Sam Ehlinger,IND,QB,Coach's Decision,Inactive,9/24/2023
Duke Ejiofor,FA,LB,Undisclosed,Questionable,9/24/2023
Austin Ekeler,LAC,RB,Ankle,Inactive,9/24/2023
Kaiir Elam,BUF,CB,Coach's Decision,Inactive,9/24/2023
Pat Elflein,ARI,C,Undisclosed,IR,2/12/2024
Tino Ellis,FA,CB,Undisclosed,Questionable,9/24/2023
Noah Elliss,FA,DT,Undisclosed,Questionable,9/24/2023
Ikenna Enechukwu,ATL,LB,Undisclosed,IR,2/12/2024
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,9/24/2023
Tyler Ervin,FA,RB,Foot,Questionable,9/24/2023
Dee Eskridge,SEA,WR,Suspension,Reserve-Sus,10/29/2023
Drew Estrada,FA,WR,Achilles,Questionable,9/24/2023
Travis Etienne,JAX,RB,Undisclosed,Questionable,9/24/2023
Chris Evans,CIN,RB,Hamstring,Inactive,9/25/2023
Zach Evans,LAR,RB,Coach's Decision,Inactive,9/25/2023
Jequez Ezzard,FA,WR,Undisclosed,Questionable,9/24/2023
Brandon Facyson,LV,CB,Shin,IR,10/9/2023
Diego Fagot,FA,LB,Undisclosed,Questionable,9/24/2023
Austin Faoliu,SEA,DT,Knee,PUP-R,10/15/2023
Caleb Farley,TEN,CB,Back,PUP-R,10/8/2023
Neil Farrell,KC,DT,Coach's Decision,Inactive,9/24/2023
