Player,Position,Team,Opponent,Salary,% ownership,Notes
Jahan Dotson,WR,WAS,NYG,"$5,100",2.20%,
De'Von Achane,RB,MIA,LV,"$6,600",2.00%,
Jayden Reed,WR,GB,LAC,"$4,000",1.80%,
Luke Musgrave,TE,GB,LAC,"$3,600",1.70%,
Baker Mayfield,QB,TB,SF,"$5,300",1.60%,
Stefon Diggs,WR,BUF,NYJ,"$9,100",1.60%,
Brandin Cooks,WR,DAL,CAR,"$4,700",1.50%,
Zach Wilson,QB,NYJ,BUF,"$4,800",1.50%,
Josh Reynolds,WR,DET,CHI,"$3,700",1.40%,
Chargers,DST,LAC,GB,"$3,300",1.30%,
Matthew Stafford,QB,LA,SEA,"$6,400",1.30%,
Michael Mayer,TE,LV,MIA,"$2,700",1.30%,
Titans,DST,TEN,JAX,"$2,900",1.20%,
Zach Charbonnet,RB,SEA,LA,"$4,600",1.20%,
Darius Slayton,WR,NYG,WAS,"$3,200",1.20%,
Adam Thielen,WR,CAR,DAL,"$7,500",1.00%,
Chris Godwin,WR,TB,SF,"$6,600",1.00%,
Buccaneers,DST,TB,SF,"$2,700",1.00%,
Tutu Atwell,WR,LA,SEA,"$3,900",1.00%,
George Kittle,TE,SF,TB,"$6,400",0.90%,
Terrace Marshall Jr.,WR,CAR,DAL,"$3,000",0.90%,
Aidan O'Connell,QB,LV,MIA,"$4,900",0.80%,
Kalif Raymond,WR,DET,CHI,"$3,100",0.80%,
Bears,DST,CHI,DET,"$2,400",0.80%,
Will Levis,QB,TEN,JAX,"$5,200",0.80%,
Royce Freeman,RB,LA,SEA,"$4,500",0.80%,
AJ Dillon,RB,GB,LAC,"$4,600",0.70%,
Antonio Gibson,RB,WAS,NYG,"$4,700",0.70%,
Tyjae Spears,RB,TEN,JAX,"$4,600",0.60%,
David Montgomery,RB,DET,CHI,"$6,500",0.60%,
Allen Lazard,WR,NYJ,BUF,"$3,500",0.60%,
Raheem Mostert,RB,MIA,LV,"$6,900",0.60%,
Amari Cooper,WR,CLE,PIT,"$6,200",0.60%,
Durham Smythe,TE,MIA,LV,"$2,600",0.60%,
Khalil Herbert,RB,CHI,DET,"$4,700",0.50%,
Jakobi Meyers,WR,LV,MIA,"$6,100",0.50%,
Nico Collins,WR,HOU,ARI,"$6,700",0.50%,
Bryce Young,QB,CAR,DAL,"$5,100",0.50%,
Gabe Davis,WR,BUF,NYJ,"$5,500",0.50%,
D'Onta Foreman,RB,CHI,DET,"$5,600",0.50%,
DJ Chark Jr.,WR,CAR,DAL,"$3,300",0.40%,
Dorian Thompson-Robinson,QB,CLE,PIT,"$4,500",0.40%,
Kenny Pickett,QB,PIT,CLE,"$4,800",0.40%,
Tommy DeVito,QB,NYG,WAS,"$5,000",0.40%,
Jalen Tolbert,WR,DAL,CAR,"$3,200",0.40%,
Romeo Doubs,WR,GB,LAC,"$5,200",0.40%,
Raiders,DST,LV,MIA,"$2,500",0.40%,
Jameson Williams,WR,DET,CHI,"$3,300",0.30%,
Daniel Bellinger,TE,NYG,WAS,"$3,000",0.30%,
Gerald Everett,TE,LAC,GB,"$3,500",0.30%,
Kareem Hunt,RB,CLE,PIT,"$4,900",0.30%,
George Pickens,WR,PIT,CLE,"$4,900",0.30%,
Latavius Murray,RB,BUF,NYJ,"$4,800",0.20%,
Miles Sanders,RB,CAR,DAL,"$4,600",0.20%,
Rico Dowdle,RB,DAL,CAR,"$4,600",0.20%,
Roschon Johnson,RB,CHI,DET,"$4,400",0.20%,
Chris Moore,WR,TEN,JAX,"$3,000",0.20%,
Dontayvion Wicks,WR,GB,LAC,"$3,300",0.20%,
Michael Gallup,WR,DAL,CAR,"$3,800",0.20%,
Cardinals,DST,ARI,HOU,"$2,900",0.20%,
