Player,Position,Team,Opponent,Salary,% ownership,Notes
Mike Evans,WR,TB,GB,"$7,500",4.00%,
Stefon Diggs,WR,BUF,DAL,"$8,400",4.00%,
Hunter Henry,TE,NE,KC,"$3,200",4.00%,
Davis Allen,TE,LA,WAS,"$3,300",3.90%,
Kyler Murray,QB,ARI,SF,"$6,400",3.70%,
Patrick Mahomes,QB,KC,NE,"$7,800",3.60%,
Tommy DeVito,QB,NYG,NO,"$5,000",3.50%,
Drake London,WR,ATL,CAR,"$5,400",3.40%,
Jahan Dotson,WR,WAS,LA,"$4,700",3.30%,
Cade Otton,TE,TB,GB,"$3,200",3.30%,
Jets,DST,NYJ,MIA,"$2,500",3.30%,
Kyle Pitts,TE,ATL,CAR,"$4,000",3.20%,
Baker Mayfield,QB,TB,GB,"$5,700",3.20%,
Justin Fields,QB,CHI,CLE,"$7,000",3.10%,
Patriots,DST,NE,KC,"$2,300",2.90%,
Will Levis,QB,TEN,HOU,"$5,400",2.40%,
Romeo Doubs,WR,GB,TB,"$5,300",2.30%,
James Conner,RB,ARI,SF,"$5,700",2.30%,
De'Von Achane,RB,MIA,NYJ,"$7,200",2.30%,
Jonnu Smith,TE,ATL,CAR,"$2,800",2.30%,
Tyreek Hill,WR,MIA,NYJ,"$9,900",2.00%,
Giants,DST,NYG,NO,"$2,700",2.00%,
Joe Flacco,QB,CLE,CHI,"$5,500",1.90%,
Tyjae Spears,RB,TEN,HOU,"$4,800",1.80%,
Titans,DST,TEN,HOU,"$3,700",1.70%,
Brevin Jordan,TE,HOU,TEN,"$3,100",1.70%,
Noah Brown,WR,HOU,TEN,"$5,000",1.70%,
Darnell Mooney,WR,CHI,CLE,"$3,400",1.60%,
Cole Kmet,TE,CHI,CLE,"$4,500",1.60%,
Dalton Kincaid,TE,BUF,DAL,"$5,300",1.60%,
Daniel Bellinger,TE,NYG,NO,"$2,600",1.60%,
Raheem Mostert,RB,MIA,NYJ,"$7,100",1.60%,
Greg Dortch,WR,ARI,SF,"$4,100",1.50%,
Trey Palmer,WR,TB,GB,"$3,100",1.50%,
Dawson Knox,TE,BUF,DAL,"$2,700",1.40%,
DeVante Parker,WR,NE,KC,"$3,500",1.40%,
Zach Wilson,QB,NYJ,MIA,"$4,900",1.40%,
Treylon Burks,WR,TEN,HOU,"$3,000",1.30%,
Brandin Cooks,WR,DAL,BUF,"$5,200",1.20%,
Chris Godwin,WR,TB,GB,"$5,900",1.20%,
Buccaneers,DST,TB,GB,"$2,900",1.20%,
Tyquan Thornton,WR,NE,KC,"$3,200",1.20%,
Devin Singletary,RB,HOU,TEN,"$5,400",1.10%,
Texans,DST,HOU,TEN,"$3,400",1.10%,
Juwan Johnson,TE,NO,NYG,"$3,000",1.00%,
Derek Carr,QB,NO,NYG,"$5,800",1.00%,
Davis Mills,QB,HOU,TEN,"$4,900",1.00%,
Nick Westbrook-Ikhine,WR,TEN,HOU,"$3,400",0.70%,
Bears,DST,CHI,CLE,"$3,300",0.70%,
Jaylen Waddle,WR,MIA,NYJ,"$7,400",0.70%,
Desmond Ridder,QB,ATL,CAR,"$5,200",0.70%,
Cardinals,DST,ARI,SF,"$2,200",0.70%,
John Metchie III,WR,HOU,TEN,"$3,200",0.60%,
Brian Robinson Jr.,RB,WAS,LA,"$6,000",0.60%,
Robert Woods,WR,HOU,TEN,"$4,200",0.60%,
Jamaal Williams,RB,NO,NYG,"$4,300",0.60%,
Dalton Schultz,TE,HOU,TEN,"$4,900",0.60%,
D'Onta Foreman,RB,CHI,CLE,"$5,000",0.50%,
Adam Thielen,WR,CAR,ATL,"$6,300",0.50%,
Bryce Young,QB,CAR,ATL,"$4,800",0.50%,
Kareem Hunt,RB,CLE,CHI,"$4,900",0.50%,
Gabe Davis,WR,BUF,DAL,"$5,500",0.50%,
Bailey Zappe,QB,NE,KC,"$5,000",0.50%,
49ers,DST,SF,ARI,"$4,400",0.50%,
Antonio Gibson,RB,WAS,LA,"$5,200",0.40%,
Tua Tagovailoa,QB,MIA,NYJ,"$7,900",0.40%,
Jerick McKinnon,RB,KC,NE,"$5,100",0.40%,
Commanders,DST,WAS,LA,"$2,600",0.40%,
Khalil Shakir,WR,BUF,DAL,"$3,800",0.30%,
DJ Chark Jr.,WR,CAR,ATL,"$3,300",0.30%,
Dameon Pierce,RB,HOU,TEN,"$4,700",0.30%,
Patrick Taylor,RB,GB,TB,"$4,300",0.30%,
Justin Watson,WR,KC,NE,"$3,400",0.30%,
Michael Gallup,WR,DAL,BUF,"$3,300",0.30%,
Cowboys,DST,DAL,BUF,"$3,200",0.30%,
Rondale Moore,WR,ARI,SF,"$3,400",0.20%,
