Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Israel Abanikanda (30808510),Israel Abanikanda,30808510,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,0
RB,Xazavian Valladay (30808512),Xazavian Valladay,30808512,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,0
RB,Nick Bawden (30808514),Nick Bawden,30808514,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,NYJ,0.98
RB,Brandon Bolden (30808516),Brandon Bolden,30808516,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,LV,0
RB,Brittain Brown (30808518),Brittain Brown,30808518,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,LV,0
RB,Austin Walter (30808520),Austin Walter,30808520,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,LV,0
RB,Sincere McCormick (30808522),Sincere McCormick,30808522,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,LV,0
RB,Jakob Johnson (30808524),Jakob Johnson,30808524,RB/FLEX,4000,NYJ@LV 11/12/2023 08:20PM ET,LV,0.28
QB,Ben DiNucci (30808328),Ben DiNucci,30808328,QB,4000,DEN@BUF 11/13/2023 08:15PM ET,DEN,0
QB,Shane Buechele (30808329),Shane Buechele,30808329,QB,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,0
RB,Samaje Perine (30808490),Samaje Perine,30808490,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,DEN,6.68
RB,Dwayne Washington (30808492),Dwayne Washington,30808492,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,DEN,0
RB,Michael Burton (30808494),Michael Burton,30808494,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,DEN,0.45
RB,Tyler Badie (30808496),Tyler Badie,30808496,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,DEN,0
RB,Ty Johnson (30808498),Ty Johnson,30808498,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,0
RB,Damien Harris (30808500),Damien Harris,30808500,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,3.17
RB,Nyheim Hines (30808502),Nyheim Hines,30808502,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,0
RB,Leonard Fournette (30808504),Leonard Fournette,30808504,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,0
RB,Reggie Gilliam (30808506),Reggie Gilliam,30808506,RB/FLEX,4000,DEN@BUF 11/13/2023 08:15PM ET,BUF,0.14
WR,Jauan Jennings (30808798),Jauan Jennings,30808798,WR/FLEX,3900,SF@JAX 11/12/2023 01:00PM ET,SF,4.3
DST,Saints  (30809513),Saints ,30809513,DST,3900,NO@MIN 11/12/2023 01:00PM ET,NO,8.89
TE,Gerald Everett (30809234),Gerald Everett,30809234,TE/FLEX,3900,DET@LAC 11/12/2023 04:05PM ET,LAC,7.16
WR,Curtis Samuel (30808796),Curtis Samuel,30808796,WR/FLEX,3900,WAS@SEA 11/12/2023 04:25PM ET,WAS,11.02
WR,Odell Beckham Jr. (30808804),Odell Beckham Jr.,30808804,WR/FLEX,3800,CLE@BAL 11/12/2023 01:00PM ET,BAL,6.54
WR,Jayden Reed (30808802),Jayden Reed,30808802,WR/FLEX,3800,GB@PIT 11/12/2023 01:00PM ET,GB,9.78
DST,Steelers  (30809514),Steelers ,30809514,DST,3800,GB@PIT 11/12/2023 01:00PM ET,PIT,10
WR,Josh Reynolds (30808800),Josh Reynolds,30808800,WR/FLEX,3800,DET@LAC 11/12/2023 04:05PM ET,DET,9.84
TE,Logan Thomas (30809236),Logan Thomas,30809236,TE/FLEX,3800,WAS@SEA 11/12/2023 04:25PM ET,WAS,10.16
DST,Bills  (30809515),Bills ,30809515,DST,3800,DEN@BUF 11/13/2023 08:15PM ET,BUF,9
WR,Noah Brown (30808808),Noah Brown,30808808,WR/FLEX,3700,HOU@CIN 11/12/2023 01:00PM ET,HOU,12.4
TE,Luke Musgrave (30809238),Luke Musgrave,30809238,TE/FLEX,3700,GB@PIT 11/12/2023 01:00PM ET,GB,7.24
DST,Falcons  (30809516),Falcons ,30809516,DST,3700,ATL@ARI 11/12/2023 04:05PM ET,ATL,5.33
WR,Wan'Dale Robinson (30808806),Wan'Dale Robinson,30808806,WR/FLEX,3700,NYG@DAL 11/12/2023 04:25PM ET,NYG,7.9
TE,Hunter Henry (30809240),Hunter Henry,30809240,TE/FLEX,3600,IND@NE 11/12/2023 09:30AM ET,NE,8.08
WR,Elijah Moore (30808812),Elijah Moore,30808812,WR/FLEX,3600,CLE@BAL 11/12/2023 01:00PM ET,CLE,7.01
DST,49ers  (30809517),49ers ,30809517,DST,3600,SF@JAX 11/12/2023 01:00PM ET,SF,7.12
WR,Treylon Burks (30808810),Treylon Burks,30808810,WR/FLEX,3600,TEN@TB 11/12/2023 01:00PM ET,TEN,4.32
TE,Jonnu Smith (30809242),Jonnu Smith,30809242,TE/FLEX,3600,ATL@ARI 11/12/2023 04:05PM ET,ATL,10.02
WR,DJ Chark Jr. (30808814),DJ Chark Jr.,30808814,WR/FLEX,3500,CAR@CHI 11/09/2023 08:15PM ET,CAR,8.27
DST,Buccaneers  (30809519),Buccaneers ,30809519,DST,3500,TEN@TB 11/12/2023 01:00PM ET,TB,7.62
WR,Michael Wilson (30808818),Michael Wilson,30808818,WR/FLEX,3500,ATL@ARI 11/12/2023 04:05PM ET,ARI,9.64
WR,Mack Hollins (30808820),Mack Hollins,30808820,WR/FLEX,3500,ATL@ARI 11/12/2023 04:05PM ET,ATL,4.63
TE,Trey McBride (30809244),Trey McBride,30809244,TE/FLEX,3500,ATL@ARI 11/12/2023 04:05PM ET,ARI,6.97
WR,Michael Gallup (30808816),Michael Gallup,30808816,WR/FLEX,3500,NYG@DAL 11/12/2023 04:25PM ET,DAL,5.79
WR,Allen Lazard (30808822),Allen Lazard,30808822,WR/FLEX,3500,NYJ@LV 11/12/2023 08:20PM ET,NYJ,6.54
DST,Raiders  (30809518),Raiders ,30809518,DST,3500,NYJ@LV 11/12/2023 08:20PM ET,LV,7
DST,Colts  (30809520),Colts ,30809520,DST,3400,IND@NE 11/12/2023 09:30AM ET,IND,7.44
