full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Travis Etienne,JAX,RB,8,25,25,0.8064516129,81,3.24,0,3.32363341,-0.08363341034,-0.1677688867,0,0,0,0,1,1,0,0,0,0,31,31,6,6,0.1935483871
Derrick Henry,TEN,RB,8,22,22,0.6111111111,101,4.590909091,0,4.446566322,0.1443427687,0.09176472922,0,0,2.545454545,2.045454545,3,1,0,0,0,0,26,26,4,4,0.1538461538
Emari Demercado,ARI,RB,8,20,20,0.6060606061,78,3.9,0,3.982910593,-0.08291059256,-0.3429727142,0,0,2.65,1.25,3,0.5,3,0.75,0,0,21,21,4,4,0.1904761905
Gus Edwards,BAL,RB,8,19,19,0.6551724138,80,4.210526316,3,4.018671354,0.1918549615,0.3063381271,0,0,2.578947368,1.631578947,0,0,0,0,0,0,21,21,2,2,0.09523809524
Alvin Kamara,NO,RB,8,17,17,0.4722222222,59,3.470588235,1,3.957802946,-0.4872147104,-0.1045559831,0,0,3,0.4705882353,0,0,0,0,0,0,22,22,5,5,0.2272727273
Alexander Mattison,MIN,RB,8,16,16,0.5161290323,31,1.9375,0,3.760946149,-1.823446149,-0.3323623064,2,0.125,1.9375,0,2,0.6666666667,1,0.5,0,0,17,17,2,2,0.1176470588
D'Andre Swift,PHI,RB,8,16,16,0.7272727273,57,3.5625,1,4.638836093,-1.076336093,-0.1074146738,0,0,1.875,1.6875,1,1,1,1,0,0,19,19,4,4,0.2105263158
Joe Mixon,CIN,RB,8,16,16,0.5925925926,87,5.4375,1,3.676548239,1.760951761,0.1668224104,1,0.0625,4.1875,1.25,1,1,0,0,0,0,19,19,3,3,0.1578947368
Austin Ekeler,LAC,RB,8,15,15,0.6,29,1.933333333,0,3.47766276,-1.544329426,-0.6938064296,0,0,1.066666667,0.8666666667,0,0,0,0,0,0,23,23,8,8,0.347826087
Chuba Hubbard,CAR,RB,8,15,15,0.625,28,1.866666667,0,2.154709715,-0.2880430486,-0.3647460327,2,0.1333333333,0.6666666667,1.2,0,0,0,0,0,0,17,17,2,2,0.1176470588
Josh Jacobs,LV,RB,8,15,15,0.8333333333,61,4.066666667,1,3.76350365,0.3031630167,0.0185177086,1,0.06666666667,2,2.066666667,1,1,1,1,1,1,19,19,5,5,0.2631578947
James Cook,BUF,RB,8,14,14,0.5384615385,67,4.785714286,0,3.948956377,0.836757909,0.08344969856,0,0,3.142857143,1.642857143,0,0,0,0,0,0,15,15,1,1,0.06666666667
Kareem Hunt,CLE,RB,8,14,14,0.35,55,3.928571429,1,3.375335765,0.553235664,0.1030269333,0,0,2.428571429,1.5,2,0.2857142857,0,0,0,0,15,15,1,1,0.06666666667
Raheem Mostert,MIA,RB,8,13,13,0.5,46,3.538461538,1,4.518359142,-0.9798976036,-0.1218245226,0,0,2.923076923,0.6153846154,0,0,0,0,0,0,13,13,0,0,0
