PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Isaiah Jackson,IND,IND vs. PHI,01/25/2024,W,5,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,2,1,1,-1,5
Jaden Springer,PHI,PHI @ IND,01/25/2024,L,15,8,2,3,66.7,0,0,-,4,4,100,0,2,2,0,0,0,0,0,-3,10.4
Obi Toppin,IND,IND vs. PHI,01/25/2024,W,19,13,6,11,54.5,1,4,25,0,0,-,2,3,5,0,0,1,3,2,-19,19
Danuel House Jr.,PHI,PHI @ IND,01/25/2024,L,19,10,4,6,66.7,0,0,-,2,3,66.7,1,1,2,1,2,1,2,2,-7,20.9
T.J. McConnell,IND,IND vs. PHI,01/25/2024,W,24,8,4,6,66.7,0,0,-,0,0,-,1,3,4,5,2,0,3,4,-4,23.3
Furkan Korkmaz,PHI,PHI @ IND,01/25/2024,L,13,2,1,2,50,0,1,0,0,1,0,0,1,1,2,1,0,0,0,12,9.2
Kendall Brown,IND,IND vs. PHI,01/25/2024,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6,0
Jalen Smith,IND,IND vs. PHI,01/25/2024,W,9,6,3,4,75,0,1,0,0,1,0,1,0,1,0,0,2,0,6,-4,13.2
Tyrese Maxey,PHI,PHI @ IND,01/25/2024,L,29,22,7,17,41.2,1,8,12.5,7,7,100,0,1,1,2,0,1,1,2,-29,28.2
Aaron Nesmith,IND,IND vs. PHI,01/25/2024,W,29,16,6,8,75,3,3,100,1,1,100,1,7,8,3,0,0,1,2,21,29.1
Andrew Nembhard,IND,IND vs. PHI,01/25/2024,W,29,19,8,15,53.3,1,3,33.3,2,2,100,0,2,2,8,1,1,6,3,18,33.4
Pascal Siakam,IND,IND vs. PHI,01/25/2024,W,30,26,9,13,69.2,1,2,50,7,10,70,3,10,13,10,0,0,2,3,30,54.6
Buddy Hield,IND,IND vs. PHI,01/25/2024,W,26,11,4,6,66.7,3,5,60,0,0,-,0,3,3,2,2,0,1,1,23,22.6
