Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Davis Mills,37041444,QB,4200,HOU@KC 12/21/2024 01:00PM ET,HOU,1.58
Josh Johnson,37041441,QB,4200,PIT@BAL 12/21/2024 04:30PM ET,BAL,0.04
Chris Oladokun,37041494,QB,4000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Case Keenum,37041495,QB,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Kedon Slovis,37041496,QB,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Samaje Perine,37041830,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,KC,4.72
Carson Steele,37041832,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,KC,1.51
Clyde Edwards-Helaire,37041834,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Keaontay Ingram,37041836,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Dare Ogunbowale,37041838,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,3.49
British Brooks,37041840,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0.04
Troy Hairston,37041842,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Jawhar Jordan,37041844,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Andrew Beck,37041846,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
J.J. Taylor,37041848,RB/FLEX,4000,HOU@KC 12/21/2024 01:00PM ET,HOU,1.28
Devin Leary,37041492,QB,4000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Kyle Allen,37041493,QB,4000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.76
Rasheen Ali,37041818,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,BAL,1.07
Owen Wright,37041820,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Patrick Ricard,37041822,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,BAL,1.06
Cordarrelle Patterson,37041824,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,PIT,3
Jonathan Ward,37041826,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.55
Aaron Shampklin,37041828,RB/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.57
Diontae Johnson,37042012,WR/FLEX,4000,PIT@BAL 12/21/2024 04:30PM ET,BAL,8.08
Pat Freiermuth,37042510,TE/FLEX,3900,PIT@BAL 12/21/2024 04:30PM ET,PIT,9.37
Calvin Austin III,37042022,WR/FLEX,3800,PIT@BAL 12/21/2024 04:30PM ET,PIT,7.37
Mike Williams,37042030,WR/FLEX,3700,PIT@BAL 12/21/2024 04:30PM ET,PIT,3.19
JuJu Smith-Schuster,37042036,WR/FLEX,3600,HOU@KC 12/21/2024 01:00PM ET,KC,4.63
John Metchie III,37042044,WR/FLEX,3500,HOU@KC 12/21/2024 01:00PM ET,HOU,3.74
Dalton Schultz,37042532,TE/FLEX,3400,HOU@KC 12/21/2024 01:00PM ET,HOU,6.62
Nelson Agholor,37042060,WR/FLEX,3400,PIT@BAL 12/21/2024 04:30PM ET,BAL,3.51
Van Jefferson,37042062,WR/FLEX,3300,PIT@BAL 12/21/2024 04:30PM ET,PIT,3.86
Isaiah Likely,37042534,TE/FLEX,3300,PIT@BAL 12/21/2024 04:30PM ET,BAL,7.78
Ravens,37042841,DST,3300,PIT@BAL 12/21/2024 04:30PM ET,BAL,5.21
Justin Watson,37042078,WR/FLEX,3200,HOU@KC 12/21/2024 01:00PM ET,KC,3.39
Noah Gray,37042546,TE/FLEX,3100,HOU@KC 12/21/2024 01:00PM ET,KC,7.79
Texans,37042846,DST,3100,HOU@KC 12/21/2024 01:00PM ET,HOU,9.07
Tylan Wallace,37042090,WR/FLEX,3100,PIT@BAL 12/21/2024 04:30PM ET,BAL,2.72
Nikko Remigio,37042430,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Hollywood Brown,37042432,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Rashee Rice,37042434,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,17.72
Skyy Moore,37042436,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Mecole Hardman,37042438,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,2.77
Montrell Washington,37042440,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Jaaron Hayek,37042442,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Justyn Ross,37042444,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,0
Tyquan Thornton,37042446,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,KC,1.45
Robert Woods,37042448,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,2.12
Xavier Hutchinson,37042450,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,1.25
Steven Sims,37042452,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,-0.14
Stefon Diggs,37042454,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,15.24
Jared Wayne,37042456,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Xavier Johnson,37042458,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Johnny Johnson III,37042460,WR/FLEX,3000,HOU@KC 12/21/2024 01:00PM ET,HOU,0
Devontez Walker,37042406,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,1.52
Deonte Harty,37042408,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Anthony Miller,37042410,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Dayton Wade,37042412,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Keith Kirkwood,37042414,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Malik Cunningham,37042416,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,BAL,0
Scotty Miller,37042418,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,1.08
Ben Skowronek,37042420,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.92
Roman Wilson,37042422,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0
Brandon Johnson,37042424,WR/FLEX,3000,PIT@BAL 12/21/2024 04:30PM ET,PIT,0.63
