,Player,Position,Team,Opponent,Salary,% ownership
48,Jalen Hurts,QB,PHI,@TB,"$6,700",6.8%
49,Michael Pittman Jr.,WR,IND,LARR,"$5,100",6.8%
50,Juwan Johnson,TE,NO,@BUF,"$4,200",6.7%
51,Travis Kelce,TE,KC,BAL,"$4,800",6.7%
53,Dalton Schultz,TE,HOU,TEN,"$3,300",6.2%
54,DJ Moore,WR,CHI,@LV,"$5,600",6.1%
55,Deebo Samuel Sr.,WR,WAS,@ATL,"$6,000",6.1%
56,Tre Tucker,WR,LV,CHI,"$4,200",6.1%
57,Derrick Henry,RB,BAL,@KC,"$7,200",6.0%
59,Brenton Strange,TE,JAX,@SF,"$3,200",5.9%
61,C.J. Stroud,QB,HOU,TEN,"$5,300",5.5%
62,Daniel Jones,QB,IND,LARR,"$5,600",5.5%
64,David Njoku,TE,CLE,@DET,"$3,800",5.3%
65,Nick Chubb,RB,HOU,TEN,"$5,100",5.2%
66,Sam LaPorta,TE,DET,CLE,"$4,400",5.1%
69,Travis Etienne Jr.,RB,JAX,@SF,"$5,800",4.7%
70,Christian Kirk,WR,HOU,TEN,"$4,400",4.6%
71,Jerry Jeudy,WR,CLE,@DET,"$4,900",4.6%
72,Chig Okonkwo,TE,TEN,@HOU,"$3,500",4.5%
73,Parker Washington,WR,JAX,@SF,"$3,700",4.5%
74,Brock Purdy,QB,SF,JAX,"$6,100",4.4%
75,Emeka Egbuka,WR,TB,PHI,"$6,800",4.4%
76,Matthew Stafford,QB,LAR,IND,"$5,900",4.1%
78,Calvin Ridley,WR,TEN,@HOU,"$4,900",4.1%
79,Dalton Kincaid,TE,BUF,NO,"$4,500",4.0%
80,Trevor Lawrence,QB,JAX,@SF,"$5,200",3.9%
81,Lamar Jackson,QB,BAL,@KC,"$7,500",3.9%
82,Cole Kmet,TE,CHI,@LV,"$3,000",3.9%
83,Josh Downs,WR,IND,LARR,"$4,100",3.9%
84,Zach Ertz,TE,WAS,@ATL,"$4,100",3.9%
85,Jaxson Dart,QB,NYG,LAC,"$4,500",3.8%
86,Dallas Goedert,TE,PHI,@TB,"$3,900",3.8%
87,Xavier Worthy,WR,KC,BAL,"$5,800",3.6%
89,Wan'Dale Robinson,WR,NYG,LAC,"$5,000",3.3%
90,Darnell Mooney,WR,ATL,WAS,"$4,700",3.2%
91,TreVeyon Henderson,RB,NE,CAR,"$5,200",3.2%
92,Khalil Shakir,WR,BUF,NO,"$5,300",3.2%
93,Harold Fannin Jr.,TE,CLE,@DET,"$3,700",3.1%
94,Michael Penix Jr.,QB,ATL,WAS,"$5,100",3.1%
95,Stefon Diggs,WR,NE,CAR,"$4,500",3.1%
98,Mark Andrews,TE,BAL,@KC,"$4,300",3.0%
100,Quinshon Judkins,RB,CLE,@DET,"$5,500",2.8%
101,David Montgomery,RB,DET,CLE,"$5,700",2.7%
102,Keon Coleman,WR,BUF,NO,"$5,600",2.7%
105,Marcus Mariota,QB,WAS,@ATL,"$5,000",2.4%
106,Adonai Mitchell,WR,IND,LARR,"$3,100",2.4%
107,Elic Ayomanor,WR,TEN,@HOU,"$3,900",2.2%
108,Tyquan Thornton,WR,KC,BAL,"$4,000",2.2%
109,Hollywood Brown,WR,KC,BAL,"$5,200",2.2%
110,Sterling Shepard,WR,TB,PHI,"$4,000",2.0%
111,Cedric Tillman,WR,CLE,@DET,"$4,200",2.0%
112,Rashod Bateman,WR,BAL,@KC,"$4,800",1.9%
113,Jake Tonges,TE,SF,JAX,"$3,100",1.9%
115,Bryce Young,QB,CAR,@NE,"$4,900",1.6%
116,Cade Otton,TE,TB,PHI,"$3,400",1.5%
117,Olamide Zaccheaus,WR,CHI,@LV,"$3,600",1.5%
119,Jameson Williams,WR,DET,CLE,"$5,900",1.5%
120,Kayshon Boutte,WR,NE,CAR,"$4,300",1.5%
121,Oronde Gadsden II,TE,LAC,@NYG,"$2,600",1.4%
122,Theo Johnson,TE,NYG,LAC,"$2,900",1.4%
123,Noah Gray,TE,KC,BAL,"$2,700",1.4%
124,Rashid Shaheed,WR,NO,@BUF,"$4,600",1.4%
125,Spencer Rattler,QB,NO,@BUF,"$4,700",1.2%
127,Hunter Renfrow,WR,CAR,@NE,"$3,800",1.2%
128,Travis Hunter,WR,JAX,@SF,"$4,600",1.2%
129,Rhamondre Stevenson,RB,NE,CAR,"$5,100",1.0%
130,Jared Goff,QB,DET,CLE,"$6,400",1.0%
131,Baker Mayfield,QB,TB,PHI,"$6,500",1.0%
132,Joshua Palmer,WR,BUF,NO,"$4,300",1.0%
133,Terry McLaurin,WR,WAS,ATL,"$5,500",1.0%
134,Chris Godwin Jr.,WR,TB,PHI,"$6,000",1.0%
135,Tommy Tremble,TE,CAR,@NE,"$2,700",0.9%
136,Joe Flacco,QB,CLE,@DET,"$4,700",0.8%
138,Tyler Higbee,TE,LAR,IND,"$2,800",0.7%
139,Alec Pierce,WR,IND,LARR,"$4,400",0.6%
140,Kendrick Bourne,WR,SF,JAX,"$3,700",0.6%
141,Austin Hooper,TE,NE,CAR,"$3,000",0.5%
142,Dawson Knox,TE,BUF,NO,"$2,500",0.5%
143,Woody Marks,RB,HOU,TEN,"$4,400",0.5%
145,Isiah Pacheco,RB,KC,BAL,"$5,000",0.5%
146,Jacory Croskey-Merritt,RB,WAS,@ATL,"$5,300",0.5%
147,Kareem Hunt,RB,KC,BAL,"$4,800",0.5%
148,Chris Moore,WR,WAS,@ATL,"$3,000",0.4%
149,Cam Ward,QB,TEN,@HOU,"$4,800",0.4%
150,Justice Hill,RB,BAL,@KC,"$4,700",0.4%
151,Tyler Allgeier,RB,ATL,WAS,"$4,700",0.4%
