week,Player,Salary,Roster Position,%Drafted,FPTS
4,Mike Evans,6600,WR,0.00%,0.0
4,Jamari Thrash,3000,WR,0.00%,0.0
4,Tucker Fisk,2500,TE,0.00%,0.0
4,Robert Tonyan,2500,TE,0.00%,0.0
4,George Kittle,2500,TE,0.00%,0.0
4,Craig Reynolds,4000,RB,0.00%,0.0
4,Chris Manhertz,2500,TE,0.00%,0.0
4,Van Jefferson,3000,WR,0.00%,1.6
4,Skyy Moore,3000,WR,0.00%,0.0
4,Devin Duvernay,3000,WR,0.00%,0.0
4,John Metchie III,3000,WR,0.00%,3.0
4,Stephen Carlson,2500,TE,0.00%,0.0
4,Anthony Gould,3000,WR,0.00%,0.0
4,Isaac Guerendo,4000,FLEX,0.00%,0.0
4,Justin Shorter,3000,WR,0.00%,0.0
4,Jimmy Horn Jr.,3000,WR,0.00%,0.0
4,Zaire Mitchell-Paden,2500,FLEX,0.00%,0.0
4,Ross Dwelley,2500,FLEX,0.00%,0.0
4,Terrance Ferguson,2500,TE,0.00%,0.0
4,Tim Patrick,3000,WR,0.00%,0.9
4,Keaton Mitchell,4200,RB,0.00%,0.0
4,Jack Westover,4000,RB,0.00%,0.0
4,Efton Chism III,3000,WR,0.00%,0.0
4,Dominic Lovett,3000,WR,0.00%,0.0
4,Devin Culp,2500,TE,0.00%,0.0
4,DeAndre Carter,3000,WR,0.00%,0.0
4,Ashton Dulin,3000,WR,0.00%,2.8
4,Colson Yankoff,2500,TE,0.00%,0.0
4,Joshua Simon,2500,FLEX,0.00%,0.0
4,Tyler Goodson,4000,FLEX,0.00%,1.0
4,Charlie Woerner,2500,TE,0.00%,0.0
4,Ameer Abdullah,4000,FLEX,0.00%,0.0
4,Tyrone Tracy Jr.,5000,RB,0.00%,0.0
4,Cade Stover,2500,TE,0.00%,0.0
4,LaJohntay Wester,3000,WR,0.00%,0.0
4,Brittain Brown,4000,RB,0.00%,0.0
4,Amar Johnson,4000,RB,0.00%,0.0
4,Ronnie Rivers,4000,RB,0.00%,0.0
4,Darius Cooper,3000,WR,0.00%,0.0
4,Alex Bachman,3000,WR,0.00%,0.0
4,Kenny Pickett,4000,QB,0.00%,0.0
4,DJ Uiagalelei,4000,QB,0.00%,0.0
4,Scott Matlock,4000,RB,0.00%,1.1
4,Tyson Bagent,4000,QB,0.00%,0.0
4,Trey Lance,4000,QB,0.00%,0.0
4,Reggie Gilliam,4000,RB,0.00%,0.0
4,Patrick Ricard,4000,RB,0.00%,0.0
4,Jarquez Hunter,4000,RB,0.00%,0.0
4,Jimmy Garoppolo,4400,QB,0.00%,0.0
4,Dennis Houston,3000,WR,0.00%,0.0
4,E.J. Jenkins,2500,TE,0.00%,0.0
4,Teagan Quitoriano,2500,TE,0.00%,0.0
4,Brandon Allen,4000,QB,0.00%,0.0
4,Chris Collier,4000,RB,0.00%,0.0
4,Jawhar Jordan,4000,RB,0.00%,0.0
4,Velus Jones Jr.,4000,RB,0.00%,0.0
4,Michael Mayer,2800,TE,0.00%,0.0
4,Tyler Ott,2500,TE,0.00%,0.0
4,Stephen Gosnell,3000,WR,0.00%,0.0
4,Trey Palmer,3000,WR,0.00%,0.0
4,Jameis Winston,4000,QB,0.00%,0.0
4,Xavier Legette,3500,WR,0.00%,0.0
4,Elijah Mitchell,4000,FLEX,0.00%,0.0
4,Najee Harris,4300,RB,0.00%,0.0
4,Brennan Presley,3000,WR,0.00%,0.0
4,Tru Edwards,3000,WR,0.00%,0.0
4,Ja'Corey Brooks,3000,WR,0.00%,0.0
4,Carter Runyon,2500,TE,0.00%,0.0
4,Patrick Herbert,2500,FLEX,0.00%,0.0
4,Gunner Olszewski,3000,WR,0.00%,0.0
4,Jamal Agnew,3000,WR,0.00%,0.0
4,Kyle Allen,4400,QB,0.00%,-0.2
4,Laquon Treadwell,3000,WR,0.00%,0.0
4,Stetson Bennett IV,4000,QB,0.00%,0.0
4,Riley Leonard,4000,QB,0.00%,0.0
4,Case Keenum,4000,QB,0.00%,0.0
4,Dante Miller,4000,RB,0.00%,0.0
4,Anthony Richardson Sr.,4100,QB,0.00%,0.0
4,Jordan Mims,4000,RB,0.00%,0.0
4,Treyton Welch,2500,TE,0.00%,0.0
4,Dillon Gabriel,4200,QB,0.00%,0.0
4,Lan Larison,4000,RB,0.00%,0.0
4,Lucas Scott,4000,RB,0.00%,0.0
4,David Sills V,3000,WR,0.00%,0.0
4,Sean McKeon,2500,FLEX,0.00%,0.0
4,Albert Okwuegbunam Jr.,2500,TE,0.00%,0.0
4,Brayden Willis,2500,TE,0.00%,0.0
4,Easton Stick,4000,QB,0.00%,0.0
4,Raheim Sanders,4000,RB,0.00%,0.0
4,Jahdae Walker,3000,WR,0.00%,0.0
4,Konata Mumpfield,3000,WR,0.00%,0.0
4,Beaux Collins,3000,WR,0.00%,0.0
4,Rasheen Ali,4000,RB,0.00%,0.0
4,Davis Mills,4000,QB,0.00%,0.0
4,Clyde Edwards-Helaire,4000,RB,0.00%,0.0
4,Dalevon Campbell,3000,FLEX,0.00%,0.0
4,Jakob Johnson,2500,TE,0.00%,0.0
4,Miles Boykin,3000,WR,0.00%,0.0
4,Phillip Dorsett II,3000,FLEX,0.00%,0.0
