,Player,Position,Team,Opponent,Salary,% ownership
122,Jalen Coker,WR,CAR,@NO,"$3,900",1.9%
123,Olamide Zaccheaus,WR,CHI,CLE,"$3,300",1.9%
124,Kyle Monangai,RB,CHI,CLE,"$5,200",1.8%
125,Tre Tucker,WR,LV,@PHI,"$4,200",1.8%
126,Tyjae Spears,RB,TEN,@SF,"$4,700",1.8%
127,Bryce Young,QB,CAR,@NO,"$5,100",1.7%
128,Romeo Doubs,WR,GB,@DEN,"$4,700",1.7%
129,Keenan Allen,WR,LAC,@KC,"$4,800",1.7%
130,Rashid Shaheed,WR,SEA,IND,"$4,600",1.7%
131,Tyler Warren,TE,IND,@SEA,"$4,700",1.6%
133,Isaiah Hodgins,WR,NYG,WAS,"$3,400",1.5%
134,Chimere Dike,WR,TEN,@SF,"$4,300",1.5%
135,Devin Singletary,RB,NYG,WAS,"$5,000",1.5%
136,Noah Brown,WR,WAS,@NYG,"$3,200",1.4%
137,Bo Nix,QB,DEN,GB,"$5,900",1.4%
138,Oronde Gadsden II,TE,LAC,@KC,"$4,300",1.4%
139,Jack Bech,WR,LV,@PHI,"$3,200",1.3%
140,Cole Kmet,TE,CHI,CLE,"$2,600",1.3%
142,Jacoby Brissett,QB,ARI,@HOU,"$5,500",1.3%
143,DJ Moore,WR,CHI,CLE,"$5,000",1.3%
144,Rashod Bateman,WR,BAL,@CIN,"$3,400",1.3%
145,Blake Corum,RB,LAR,DET,"$4,800",1.2%
146,Jonathan Taylor,RB,IND,@SEA,"$8,500",1.2%
147,Rhamondre Stevenson,RB,NE,BUF,"$5,100",1.1%
148,Xavier Legette,WR,CAR,@NO,"$3,700",1.0%
149,Quentin Johnston,WR,LAC,@KC,"$4,900",1.0%
151,Ja'Tavion Sanders,TE,CAR,@NO,"$2,500",1.0%
152,Andrei Iosivas,WR,CIN,BAL,"$4,100",0.9%
153,Alec Pierce,WR,IND,@SEA,"$4,900",0.9%
154,Ladd McConkey,WR,LAC,@KC,"$6,400",0.8%
155,Zach Charbonnet,RB,SEA,IND,"$5,100",0.8%
156,Tim Patrick,WR,JAX,NYJ,"$3,700",0.8%
157,Xavier Smith,WR,LAR,DET,"$3,000",0.8%
158,Cam Ward,QB,TEN,@SF,"$4,600",0.7%
159,John Bates,TE,WAS,@NYG,"$2,900",0.7%
160,Darius Slayton,WR,NYG,WAS,"$4,400",0.7%
162,Shedeur Sanders,QB,CLE,@CHI,"$4,700",0.7%
163,Kayshon Boutte,WR,NE,BUF,"$5,000",0.7%
164,Michael Carter,RB,ARI,@HOU,"$4,200",0.6%
166,Justin Herbert,QB,LAC,@KC,"$6,300",0.3%
167,Philip Rivers,QB,IND,@SEA,"$4,900",0.3%
168,Brady Cook,QB,NYJ,@JAX,"$4,300",0.3%
169,Kenny Pickett,QB,LV,@PHI,"$4,500",0.3%
