,Player,Position,Team,Opponent,Salary,% ownership
54,Courtland Sutton,WR,DEN,@LV,"$5,600",5.8%
56,John Metchie III,WR,NYJ,MIA,"$4,500",5.5%
58,Dawson Knox,TE,BUF,CIN,"$2,800",5.5%
59,Deebo Samuel Sr.,WR,WAS,@MIN,"$5,500",5.5%
60,Colston Loveland,TE,CHI,@GB,"$3,200",5.5%
61,Evan Engram,TE,DEN,@LV,"$3,400",5.4%
62,Devaughn Vele,WR,NO,@TB,"$3,700",5.4%
63,J.J. McCarthy,QB,MIN,WAS,"$4,700",5.3%
65,Colby Parkinson,TE,LAR,@ARI,"$3,100",5.2%
66,Tyrod Taylor,QB,NYJ,MIA,"$4,900",5.2%
67,Bo Nix,QB,DEN,@LV,"$6,100",5.1%
69,Sam Darnold,QB,SEA,@ATL,"$5,500",5.1%
70,Jordan Love,QB,GB,CHI,"$5,900",5.0%
71,Lamar Jackson,QB,BAL,PIT,"$6,700",4.9%
73,Jordan Addison,WR,MIN,WAS,"$4,900",4.6%
74,Tyler Shough,QB,NO,@TB,"$4,600",4.5%
75,Pat Bryant,WR,DEN,@LV,"$3,400",4.5%
76,Joe Burrow,QB,CIN,@BUF,"$6,500",4.4%
77,Romeo Doubs,WR,GB,CHI,"$4,900",4.3%
78,Tre Tucker,WR,LV,DEN,"$4,700",4.2%
79,Zach Ertz,TE,WAS,@MIN,"$4,500",4.0%
81,Brian Thomas Jr.,WR,JAX,IND,"$5,900",3.9%
83,Travis Etienne Jr.,RB,JAX,IND,"$6,300",3.7%
84,Gabe Davis,WR,BUF,CIN,"$3,300",3.6%
85,Jaylen Warren,RB,PIT,@BAL,"$6,000",3.6%
86,Luther Burden III,WR,CHI,@GB,"$3,800",3.5%
87,T.J. Hockenson,TE,MIN,WAS,"$3,300",3.5%
88,Mason Taylor,TE,NYJ,MIA,"$3,300",3.4%
89,Daniel Jones,QB,IND,@JAX,"$6,200",3.4%
91,Josh Downs,WR,IND,@JAX,"$4,400",3.2%
92,Geno Smith,QB,LV,DEN,"$4,300",3.2%
94,Devin Neal,RB,NO,@TB,"$5,100",3.1%
95,Isaiah Likely,TE,BAL,PIT,"$3,100",2.8%
96,Cooper Kupp,WR,SEA,@ATL,"$4,100",2.8%
98,Troy Franklin,WR,DEN,@LV,"$5,500",2.8%
99,Malik Washington,WR,MIA,@NYJ,"$4,100",2.6%
100,Darnell Washington,TE,PIT,@BAL,"$2,600",2.6%
101,Darren Waller,TE,MIA,@NYJ,"$3,800",2.6%
102,Dontayvion Wicks,WR,GB,CHI,"$3,900",2.5%
104,Darnell Mooney,WR,ATL,SEA,"$4,800",2.2%
105,Brandin Cooks,WR,BUF,CIN,"$3,200",2.2%
106,Gunnar Helm,TE,TEN,@CLE,"$2,900",2.1%
107,Zonovan Knight,RB,ARI,LAR,"$5,200",2.0%
108,Mike Gesicki,TE,CIN,@BUF,"$3,500",2.0%
109,Kenneth Gainwell,RB,PIT,@BAL,"$5,000",2.0%
110,Elic Ayomanor,WR,TEN,@CLE,"$3,600",2.0%
113,Chris Godwin Jr.,WR,TB,NO,"$5,300",1.9%
114,Jerry Jeudy,WR,CLE,TEN,"$4,200",1.9%
115,Caleb Williams,QB,CHI,@GB,"$5,600",1.8%
116,Rome Odunze,WR,CHI,@GB,"$5,700",1.7%
117,Tua Tagovailoa,QB,MIA,@NYJ,"$5,200",1.6%
119,Kirk Cousins,QB,ATL,SEA,"$4,500",1.6%
120,Rashod Bateman,WR,BAL,PIT,"$3,500",1.5%
121,Greg Dortch,WR,ARI,LAR,"$4,300",1.3%
122,Keon Coleman,WR,BUF,CIN,"$4,000",1.3%
123,D'Andre Swift,RB,CHI,@GB,"$5,900",1.3%
127,Taysom Hill,TE,NO,@TB,"$2,700",1.2%
128,Tony Pollard,RB,TEN,@CLE,"$4,900",1.2%
129,Xavier Smith,WR,LAR,@ARI,"$3,100",1.2%
130,Chris Rodriguez Jr.,RB,WAS,@MIN,"$4,700",1.1%
131,Tyler Lockett,WR,LV,DEN,"$3,500",1.1%
132,Calvin Austin III,WR,PIT,@BAL,"$3,400",1.0%
133,Chimere Dike,WR,TEN,@CLE,"$4,500",1.0%
134,Jalen Nailor,WR,MIN,WAS,"$3,000",0.9%
135,Tez Johnson,WR,TB,NO,"$3,700",0.9%
136,DJ Moore,WR,CHI,@GB,"$4,800",0.9%
137,Shedeur Sanders,QB,CLE,TEN,"$4,400",0.8%
138,Austin Trammell,WR,JAX,IND,"$3,000",0.8%
139,Aaron Rodgers,QB,PIT,@BAL,"$5,100",0.7%
140,Treylon Burks,WR,WAS,@MIN,"$3,200",0.5%
141,Cam Ward,QB,TEN,@CLE,"$4,800",0.4%
