QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Sam Darnold (40307948),Rhamondre Stevenson (40308048),Christian McCaffrey (40308008),Jalen Tolbert (40308344),Jaxon Smith-Njigba (40308236),Puka Nacua (40308232),Hunter Long (40308684),Marvin Harrison Jr. (40308276),Las Vegas Raiders (40308825)
Jordan Love (40307941),Josh Jacobs (40308012),Chase Brown (40308040),Keenan Allen (40308266),Michael Pittman Jr. (40308274),Brian Thomas Jr. (40308248),Tucker Kraft (40308616),Ladd McConkey (40308264),New Orleans Saints (40308834)
Justin Herbert (40307940),Josh Jacobs (40308012),Jonathan Taylor (40308006),Keenan Allen (40308266),Quentin Johnston (40308256),Marvin Harrison Jr. (40308276),Darren Waller (40308622),Harold Fannin Jr. (40308634),Pittsburgh Steelers (40308821)
Justin Herbert (40307940),Javonte Williams (40308020),Hassan Haskins (40308056),Puka Nacua (40308232),Ryan Flournoy (40308338),Tetairoa McMillan (40308252),Trey McBride (40308608),Quinshon Judkins (40308030),New Orleans Saints (40308834)
Trevor Lawrence (40307951),Derrick Henry (40308024),Kyren Williams (40308022),Brian Thomas Jr. (40308248),Jaxon Smith-Njigba (40308236),Quentin Johnston (40308256),Tucker Kraft (40308616),Calvin Ridley (40308286),New Orleans Saints (40308834)
Justin Herbert (40307940),Kyren Williams (40308022),Rico Dowdle (40308036),Keenan Allen (40308266),Jaylen Waddle (40308250),Tetairoa McMillan (40308252),Hunter Henry (40308620),Rachaad White (40308028),Las Vegas Raiders (40308825)
Jordan Love (40307941),Josh Jacobs (40308012),Rachaad White (40308028),Michael Pittman Jr. (40308274),Ladd McConkey (40308264),Zay Flowers (40308254),Tucker Kraft (40308616),Calvin Ridley (40308286),Pittsburgh Steelers (40308821)
Kyler Murray (40307945),Javonte Williams (40308020),Rico Dowdle (40308036),Marvin Harrison Jr. (40308276),Brian Thomas Jr. (40308248),Tetairoa McMillan (40308252),Trey McBride (40308608),Tucker Kraft (40308616),Pittsburgh Steelers (40308821)
Daniel Jones (40307943),Jonathan Taylor (40308006),Rachaad White (40308028),Ladd McConkey (40308264),Quentin Johnston (40308256),Marvin Harrison Jr. (40308276),Tucker Kraft (40308616),Romeo Doubs (40308278),Cleveland Browns (40308833)
Bryce Young (40307953),Ashton Jeanty (40308016),Kyren Williams (40308022),Davante Adams (40308244),Ladd McConkey (40308264),Tetairoa McMillan (40308252),Mark Andrews (40308624),Josh Jacobs (40308012),New Orleans Saints (40308834)
Justin Herbert (40307940),Josh Jacobs (40308012),Derrick Henry (40308024),Jaylen Waddle (40308250),Quentin Johnston (40308256),Brian Thomas Jr. (40308248),Hunter Henry (40308620),Tucker Kraft (40308616),Cleveland Browns (40308833)
Bryce Young (40307953),Christian McCaffrey (40308008),De'Von Achane (40308010),Michael Pittman Jr. (40308274),Tetairoa McMillan (40308252),Ryan Flournoy (40308338),Trey McBride (40308608),Romeo Doubs (40308278),Las Vegas Raiders (40308825)
Kyler Murray (40307945),Javonte Williams (40308020),Jonathan Taylor (40308006),DK Metcalf (40308270),Zay Flowers (40308254),Marvin Harrison Jr. (40308276),Trey McBride (40308608),Tucker Kraft (40308616),New Orleans Saints (40308834)
Trevor Lawrence (40307951),Javonte Williams (40308020),Rico Dowdle (40308036),Keenan Allen (40308266),Michael Pittman Jr. (40308274),Jaxon Smith-Njigba (40308236),Hunter Long (40308684),Puka Nacua (40308232),New Orleans Saints (40308834)
Joe Flacco (40307962),Jonathan Taylor (40308006),Chase Brown (40308040),Davante Adams (40308244),Marvin Harrison Jr. (40308276),Brian Thomas Jr. (40308248),Tucker Kraft (40308616),Ladd McConkey (40308264),Las Vegas Raiders (40308825)
Dak Prescott (40307938),Josh Jacobs (40308012),Ashton Jeanty (40308016),Sterling Shepard (40308328),Zay Flowers (40308254),Tetairoa McMillan (40308252),Trey McBride (40308608),Jake Ferguson (40308610),Cleveland Browns (40308833)
Justin Herbert (40307940),Rico Dowdle (40308036),De'Von Achane (40308010),Keenan Allen (40308266),Davante Adams (40308244),Michael Pittman Jr. (40308274),Tucker Kraft (40308616),Romeo Doubs (40308278),New Orleans Saints (40308834)
