,Player,Position,Team,Opponent,Salary,% ownership
31,Calvin Austin III,WR,PIT,CIN,"$4,000",9.3%
32,DK Metcalf,WR,PIT,CIN,"$5,700",9.1%
34,Aaron Rodgers,QB,PIT,CIN,"$5,400",8.4%
35,Josh Allen,QB,BUF,TB,"$7,000",8.0%
36,Zay Flowers,WR,BAL,@CLE,"$6,400",8.0%
37,Justin Herbert,QB,LAC,@JAX,"$6,300",7.7%
38,Ladd McConkey,WR,LAC,@JAX,"$6,500",7.6%
39,Cade Otton,TE,TB,@BUF,"$4,200",7.4%
40,James Cook III,RB,BUF,TB,"$7,300",7.3%
41,Parker Washington,WR,JAX,LAC,"$5,100",7.1%
43,Dalton Schultz,TE,HOU,@TEN,"$3,900",6.9%
44,Theo Johnson,TE,NYG,GB,"$4,100",6.9%
46,Tee Higgins,WR,CIN,@PIT,"$6,000",6.8%
47,T.J. Hockenson,TE,MIN,CHI,"$3,000",6.7%
48,Joe Flacco,QB,CIN,@PIT,"$5,500",6.5%
49,Tetairoa McMillan,WR,CAR,@ATL,"$5,600",6.5%
50,D'Andre Swift,RB,CHI,@MIN,"$5,800",6.4%
51,Darnell Mooney,WR,ATL,CAR,"$3,700",6.1%
52,Quentin Johnston,WR,LAC,@JAX,"$5,000",6.0%
53,Xavier Worthy,WR,KC,@DEN,"$4,900",6.0%
54,Mark Andrews,TE,BAL,@CLE,"$3,500",6.0%
55,Derrick Henry,RB,BAL,@CLE,"$6,600",6.0%
56,Jonnu Smith,TE,PIT,CIN,"$2,900",5.9%
57,Patrick Mahomes,QB,KC,@DEN,"$6,800",5.7%
58,Rome Odunze,WR,CHI,@MIN,"$6,200",5.6%
59,Jordan Addison,WR,MIN,CHI,"$5,500",5.4%
61,Greg Dortch,WR,ARI,SF,"$3,300",5.2%
62,Woody Marks,RB,HOU,@TEN,"$5,400",5.2%
64,Michael Penix Jr.,QB,ATL,CAR,"$4,700",4.7%
66,Keon Coleman,WR,BUF,TB,"$4,500",4.5%
67,Brock Purdy,QB,SF,@ARI,"$5,800",4.3%
68,Harold Fannin Jr.,TE,CLE,BAL,"$3,800",4.2%
69,Caleb Williams,QB,CHI,@MIN,"$5,900",4.2%
70,Davante Adams,WR,LAR,SEA,"$7,700",4.2%
71,Matthew Stafford,QB,LAR,SEA,"$6,600",4.1%
72,Olamide Zaccheaus,WR,CHI,@MIN,"$3,300",4.1%
75,Travis Kelce,TE,KC,@DEN,"$4,800",3.9%
76,Tez Johnson,WR,TB,@BUF,"$4,700",3.8%
77,Lamar Jackson,QB,BAL,@CLE,"$6,900",3.7%
78,Jakobi Meyers,WR,JAX,LAC,"$4,600",3.7%
80,Pat Freiermuth,TE,PIT,CIN,"$3,200",3.4%
81,Davis Mills,QB,HOU,@TEN,"$4,500",3.3%
82,Troy Franklin,WR,DEN,KC,"$5,400",3.3%
83,Quinshon Judkins,RB,CLE,BAL,"$6,400",3.2%
84,Sam Darnold,QB,SEA,LAR,"$5,700",3.1%
87,Jameis Winston,QB,NYG,GB,"$4,600",2.9%
88,Trevor Lawrence,QB,JAX,LAC,"$5,100",2.9%
89,Jerry Jeudy,WR,CLE,BAL,"$4,400",2.9%
90,Rachaad White,RB,TB,@BUF,"$6,200",2.9%
91,Kyren Williams,RB,LAR,SEA,"$6,900",2.9%
92,Keenan Allen,WR,LAC,@JAX,"$5,300",2.9%
94,Darius Slayton,WR,NYG,GB,"$4,800",2.8%
96,Tyrone Tracy Jr.,RB,NYG,GB,"$5,600",2.7%
98,Andre Baccellia,WR,ARI,SF,"$3,000",2.6%
99,Jordan Love,QB,GB,@NYG,"$6,000",2.6%
100,Kenneth Gainwell,RB,PIT,CIN,"$4,100",2.5%
101,Dontayvion Wicks,WR,GB,@NYG,"$4,000",2.5%
104,Dawson Knox,TE,BUF,TB,"$3,300",2.4%
107,Courtland Sutton,WR,DEN,KC,"$5,900",2.1%
109,Colston Loveland,TE,CHI,@MIN,"$3,600",2.0%
110,Michael Carter,RB,ARI,SF,"$4,000",2.0%
111,Jalen Nailor,WR,MIN,CHI,"$3,500",1.9%
112,Tyler Higbee,TE,LAR,SEA,"$2,700",1.8%
113,Evan Engram,TE,DEN,KC,"$3,500",1.8%
114,Christian Watson,WR,GB,@NYG,"$4,400",1.7%
115,DJ Moore,WR,CHI,@MIN,"$5,200",1.7%
116,Baker Mayfield,QB,TB,@BUF,"$6,400",1.7%
117,Isaiah Likely,TE,BAL,@CLE,"$3,000",1.6%
119,Kareem Hunt,RB,KC,@DEN,"$5,200",1.6%
120,Elic Ayomanor,WR,TEN,HOU,"$3,900",1.6%
121,Chimere Dike,WR,TEN,HOU,"$4,100",1.5%
122,AJ Barner,TE,SEA,LAR,"$3,100",1.5%
123,Noah Fant,TE,CIN,@PIT,"$3,200",1.5%
124,Jalen Coker,WR,CAR,@ATL,"$3,100",1.4%
125,Luke Musgrave,TE,GB,@NYG,"$3,700",1.4%
126,Kenneth Walker III,RB,SEA,LAR,"$5,100",1.3%
127,David Njoku,TE,CLE,BAL,"$3,300",1.3%
128,Emari Demercado,RB,ARI,SF,"$4,500",1.2%
129,Bo Nix,QB,DEN,KC,"$6,100",1.0%
130,Dillon Gabriel,QB,CLE,BAL,"$4,200",1.0%
131,Darnell Washington,TE,PIT,CIN,"$2,700",0.9%
132,Cedric Tillman,WR,CLE,BAL,"$3,400",0.9%
133,Kendrick Bourne,WR,SF,@ARI,"$4,300",0.8%
134,Cooper Kupp,WR,SEA,LAR,"$4,100",0.8%
135,Tyjae Spears,RB,TEN,HOU,"$4,900",0.7%
136,Bryce Young,QB,CAR,@ATL,"$4,800",0.7%
137,Zach Charbonnet,RB,SEA,LAR,"$5,100",0.7%
138,Kyle Monangai,RB,CHI,@MIN,"$5,300",0.7%
139,Tyler Allgeier,RB,ATL,CAR,"$4,800",0.7%
140,Calvin Ridley,WR,TEN,HOU,"$4,700",0.7%
141,Rashid Shaheed,WR,SEA,LAR,"$4,900",0.6%
142,Tony Pollard,RB,TEN,HOU,"$5,300",0.5%
143,Cam Ward,QB,TEN,HOU,"$4,300",0.4%
