,Player,Position,Team,Opponent,Salary,% ownership
48,Quinshon Judkins,RB,CLE,@LV,"$6,000",7.0%
49,David Montgomery,RB,DET,NYG,"$5,300",6.9%
50,Javonte Williams,RB,DAL,PHI,"$6,500",6.9%
51,Trevor Lawrence,QB,JAX,@ARI,"$5,100",6.8%
52,Luther Burden III,WR,CHI,PIT,"$3,600",6.5%
53,Xavier Worthy,WR,KC,IND,"$4,700",6.5%
54,Aaron Jones Sr.,RB,MIN,@GB,"$5,700",6.4%
55,Jaxson Dart,QB,NYG,@DET,"$5,600",6.4%
56,Breece Hall,RB,NYJ,@BAL,"$6,100",6.3%
57,Zonovan Knight,RB,ARI,JAX,"$4,900",6.3%
58,Noah Fant,TE,CIN,NE,"$3,100",6.2%
59,Michael Pittman Jr.,WR,IND,@KC,"$6,000",5.8%
60,Christian Watson,WR,GB,MIN,"$4,600",5.7%
61,Theo Johnson,TE,NYG,@DET,"$4,100",5.5%
62,TreVeyon Henderson,RB,NE,@CIN,"$6,700",5.4%
63,Sam Darnold,QB,SEA,@TEN,"$5,400",5.4%
64,Jaylen Warren,RB,PIT,@CHI,"$6,600",5.1%
65,Tyler Warren,TE,IND,@KC,"$5,500",4.9%
67,AJ Barner,TE,SEA,@TEN,"$3,300",4.6%
68,Darnell Mooney,WR,ATL,@NO,"$4,800",4.6%
70,Caleb Williams,QB,CHI,PIT,"$5,700",4.3%
71,Andrei Iosivas,WR,CIN,NE,"$4,100",4.2%
72,Mack Hollins,WR,NE,@CIN,"$4,200",4.0%
73,Isaiah Hodgins,WR,NYG,@DET,"$3,300",3.8%
75,Justin Jefferson,WR,MIN,@GB,"$7,400",3.6%
76,Rome Odunze,WR,CHI,PIT,"$6,100",3.5%
78,Daniel Jones,QB,IND,@KC,"$6,200",3.2%
79,Isaiah Likely,TE,BAL,NYJ,"$2,800",3.1%
80,Joe Burrow,QB,CIN,NE,"$6,500",3.1%
83,Harold Fannin Jr.,TE,CLE,@LV,"$3,600",2.8%
84,Jonathan Taylor,RB,IND,@KC,"$10,000",2.7%
85,Jerry Jeudy,WR,CLE,@LV,"$4,100",2.7%
87,Juwan Johnson,TE,NO,ATL,"$4,000",2.7%
91,Brian Thomas Jr.,WR,JAX,@ARI,"$6,200",2.5%
92,Jordan Love,QB,GB,MIN,"$5,800",2.5%
95,Tre Tucker,WR,LV,CLE,"$5,100",2.4%
96,Dak Prescott,QB,DAL,PHI,"$6,400",2.3%
97,KhaDarel Hodge,WR,ATL,@NO,"$3,000",2.3%
99,Colston Loveland,TE,CHI,PIT,"$3,500",2.2%
100,Mason Taylor,TE,NYJ,@BAL,"$3,400",2.2%
101,Geno Smith,QB,LV,CLE,"$4,500",2.2%
102,Devaughn Vele,WR,NO,ATL,"$3,200",2.1%
103,Brock Wright,TE,DET,NYG,"$3,000",2.1%
104,Tyler Shough,QB,NO,ATL,"$4,400",2.1%
106,DeAndre Hopkins,WR,BAL,NYJ,"$3,300",2.0%
107,Cooper Kupp,WR,SEA,@TEN,"$4,000",1.9%
109,Van Jefferson,WR,TEN,SEA,"$3,600",1.9%
110,Rhamondre Stevenson,RB,NE,@CIN,"$5,200",1.9%
111,Josh Downs,WR,IND,@KC,"$4,500",1.8%
112,Jake Ferguson,TE,DAL,PHI,"$5,300",1.7%
113,DJ Moore,WR,CHI,PIT,"$4,900",1.7%
114,Parker Washington,WR,JAX,@ARI,"$5,200",1.6%
115,Mason Rudolph,QB,PIT,@CHI,"$4,700",1.6%
116,Adonai Mitchell,WR,NYJ,@BAL,"$3,200",1.5%
117,Michael Mayer,TE,LV,CLE,"$3,000",1.4%
119,Bhayshul Tuten,RB,JAX,@ARI,"$4,600",1.3%
120,Jordan Addison,WR,MIN,@GB,"$5,400",1.3%
122,Darnell Washington,TE,PIT,@CHI,"$2,800",1.2%
123,Tanner Hudson,TE,CIN,NE,"$2,500",1.2%
124,John Metchie III,WR,NYJ,@BAL,"$3,300",1.2%
125,Tyjae Spears,RB,TEN,SEA,"$4,700",1.2%
126,Greg Dortch,WR,ARI,JAX,"$4,300",1.2%
127,Cole Kmet,TE,CHI,PIT,"$2,500",1.1%
128,Zach Charbonnet,RB,SEA,@TEN,"$4,900",1.1%
129,Kenneth Gainwell,RB,PIT,@CHI,"$5,500",1.0%
130,Jalin Hyatt,WR,NYG,@DET,"$3,100",1.0%
131,Jonnu Smith,TE,PIT,@CHI,"$2,900",1.0%
132,Gunnar Helm,TE,TEN,SEA,"$2,700",1.0%
133,Rashid Shaheed,WR,SEA,@TEN,"$4,600",1.0%
134,Tyrone Tracy Jr.,RB,NYG,@DET,"$5,800",0.9%
135,Tony Pollard,RB,TEN,SEA,"$5,000",0.9%
136,Tyrod Taylor,QB,NYJ,@BAL,"$4,300",0.9%
137,Roman Wilson,WR,PIT,@CHI,"$3,000",0.9%
138,Kirk Cousins,QB,ATL,@NO,"$4,400",0.9%
139,T.J. Hockenson,TE,MIN,@GB,"$3,300",0.8%
140,Dontayvion Wicks,WR,GB,MIN,"$3,500",0.8%
141,J.J. McCarthy,QB,MIN,@GB,"$5,000",0.7%
142,Tyler Lockett,WR,LV,CLE,"$3,500",0.7%
143,Michael Carter,RB,ARI,JAX,"$4,400",0.6%
144,David Njoku,TE,CLE,@LV,"$3,100",0.6%
145,Shedeur Sanders,QB,CLE,@LV,"$4,200",0.4%
146,Cam Ward,QB,TEN,SEA,"$4,500",0.3%
