Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,RJ Harvey (40235808),RJ Harvey,40235808,RB/FLEX,4500,DEN@PHI 10/05/2025 01:00PM ET,DEN,5.3
WR,DeAndre Hopkins (40236046),DeAndre Hopkins,40236046,WR/FLEX,4400,HOU@BAL 10/05/2025 01:00PM ET,BAL,7.05
WR,Alec Pierce (40236044),Alec Pierce,40236044,WR/FLEX,4400,LV@IND 10/05/2025 01:00PM ET,IND,8.7
RB,Kendre Miller (40235812),Kendre Miller,40235812,RB/FLEX,4400,NYG@NO 10/05/2025 01:00PM ET,NO,5.62
RB,Tyjae Spears (40235814),Tyjae Spears,40235814,RB/FLEX,4400,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Cooper Rush (40235702),Cooper Rush,40235702,QB,4300,HOU@BAL 10/05/2025 01:00PM ET,BAL,0.84
QB,Tyler Huntley (40235703),Tyler Huntley,40235703,QB,4300,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
WR,Christian Kirk (40236050),Christian Kirk,40236050,WR/FLEX,4300,HOU@BAL 10/05/2025 01:00PM ET,HOU,5.25
RB,Jaylen Wright (40235816),Jaylen Wright,40235816,RB/FLEX,4300,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Rico Dowdle (40235818),Rico Dowdle,40235818,RB/FLEX,4300,MIA@CAR 10/05/2025 01:00PM ET,CAR,5.32
QB,Tyler Shough (40235704),Tyler Shough,40235704,QB,4300,NYG@NO 10/05/2025 01:00PM ET,NO,0
WR,Darius Slayton (40236048),Darius Slayton,40236048,WR/FLEX,4300,NYG@NO 10/05/2025 01:00PM ET,NYG,5.62
QB,Andy Dalton (40235705),Andy Dalton,40235705,QB,4200,MIA@CAR 10/05/2025 01:00PM ET,CAR,3.11
WR,Jalen Coker (40236052),Jalen Coker,40236052,WR/FLEX,4200,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
RB,Raheem Mostert (40235820),Raheem Mostert,40235820,RB/FLEX,4200,LV@IND 10/05/2025 01:00PM ET,LV,8.3
RB,Miles Sanders (40235822),Miles Sanders,40235822,RB/FLEX,4200,DAL@NYJ 10/05/2025 01:00PM ET,DAL,6.92
QB,Jarrett Stidham (40235706),Jarrett Stidham,40235706,QB,4200,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
TE,Sam LaPorta (40236360),Sam LaPorta,40236360,TE/FLEX,4200,DET@CIN 10/05/2025 04:25PM ET,DET,8.42
WR,Josh Downs (40236054),Josh Downs,40236054,WR/FLEX,4100,LV@IND 10/05/2025 01:00PM ET,IND,6.52
TE,Dallas Goedert (40236362),Dallas Goedert,40236362,TE/FLEX,4100,DEN@PHI 10/05/2025 01:00PM ET,PHI,13.8
WR,Elic Ayomanor (40236056),Elic Ayomanor,40236056,WR/FLEX,4100,TEN@ARI 10/05/2025 04:05PM ET,TEN,9.78
RB,Samaje Perine (40235826),Samaje Perine,40235826,RB/FLEX,4100,DET@CIN 10/05/2025 04:25PM ET,CIN,1.23
RB,Chris Rodriguez Jr. (40235824),Chris Rodriguez Jr.,40235824,RB/FLEX,4100,WAS@LAC 10/05/2025 04:25PM ET,WAS,4.9
QB,Davis Mills (40235744),Davis Mills,40235744,QB,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
QB,Graham Mertz (40235745),Graham Mertz,40235745,QB,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
RB,Keaton Mitchell (40235832),Keaton Mitchell,40235832,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Rasheen Ali (40235962),Rasheen Ali,40235962,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0.12
RB,Lucas Scott (40235964),Lucas Scott,40235964,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Patrick Ricard (40235966),Patrick Ricard,40235966,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Dare Ogunbowale (40235968),Dare Ogunbowale,40235968,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0.9
