,Player,Position,Team,Opponent,Salary,% ownership
45,Emeka Egbuka,WR,TB,@SEA,"$6,900",7.8%
46,Sam LaPorta,TE,DET,@CIN,"$4,200",7.4%
47,Wan'Dale Robinson,WR,NYG,@NO,"$5,300",7.3%
48,Chris Godwin Jr.,WR,TB,@SEA,"$5,900",7.1%
49,Juwan Johnson,TE,NO,NYG,"$3,900",6.8%
50,Courtland Sutton,WR,DEN,@PHI,"$6,000",6.4%
51,Dak Prescott,QB,DAL,@NYJ,"$6,000",6.2%
52,Jameson Williams,WR,DET,@CIN,"$4,900",5.6%
53,Jalen Hurts,QB,PHI,DEN,"$6,800",5.4%
54,Chase Brown,RB,CIN,DET,"$6,100",5.3%
56,Jayden Daniels,QB,WAS,@LAC,"$7,000",5.0%
60,Jaxson Dart,QB,NYG,@NO,"$5,300",4.0%
61,DeVonta Smith,WR,PHI,DEN,"$5,000",4.0%
62,Sam Darnold,QB,SEA,TB,"$5,100",3.9%
63,Geno Smith,QB,LV,@IND,"$5,400",3.8%
64,Michael Carter,RB,ARI,TEN,"$4,000",3.6%
65,David Montgomery,RB,DET,@CIN,"$5,200",3.4%
66,Troy Franklin,WR,DEN,@PHI,"$4,000",3.4%
68,KaVontae Turpin,WR,DAL,@NYJ,"$3,500",3.3%
70,Jared Goff,QB,DET,@CIN,"$6,500",3.3%
71,Emari Demercado,RB,ARI,TEN,"$4,700",3.3%
72,Spencer Rattler,QB,NO,NYG,"$4,800",3.3%
74,Bryce Young,QB,CAR,MIA,"$4,700",3.1%
75,Woody Marks,RB,HOU,@BAL,"$5,400",3.1%
76,C.J. Stroud,QB,HOU,@BAL,"$5,200",3.1%
77,Cooper Kupp,WR,SEA,TB,"$4,600",3.0%
78,Oronde Gadsden II,TE,LAC,WAS,"$2,700",3.0%
80,Tre Tucker,WR,LV,@IND,"$4,700",3.0%
82,Mason Taylor,TE,NYJ,DAL,"$2,800",2.9%
83,Dalton Schultz,TE,HOU,@BAL,"$3,600",2.9%
84,Bo Nix,QB,DEN,@PHI,"$5,700",2.8%
85,Darius Slayton,WR,NYG,@NO,"$4,300",2.8%
87,Jake Browning,QB,CIN,DET,"$4,900",2.8%
88,Tee Higgins,WR,CIN,DET,"$5,900",2.7%
89,Baker Mayfield,QB,TB,@SEA,"$6,300",2.6%
91,Malik Washington,WR,MIA,@CAR,"$3,900",2.6%
93,Darren Waller,TE,MIA,@CAR,"$3,500",2.4%
96,Kenneth Walker III,RB,SEA,TB,"$6,300",2.4%
97,Rashid Shaheed,WR,NO,NYG,"$4,500",2.4%
98,Tommy Tremble,TE,CAR,MIA,"$2,900",2.4%
99,Dallas Goedert,TE,PHI,DEN,"$4,100",2.3%
100,Elic Ayomanor,WR,TEN,@ARI,"$4,100",2.2%
101,Jalen Tolbert,WR,DAL,@NYJ,"$3,600",2.0%
102,Tua Tagovailoa,QB,MIA,@CAR,"$5,500",1.9%
103,Josh Downs,WR,IND,LV,"$4,100",1.8%
104,Chig Okonkwo,TE,TEN,@ARI,"$3,300",1.7%
105,Christian Kirk,WR,HOU,@BAL,"$4,300",1.4%
106,Theo Johnson,TE,NYG,@NO,"$3,400",1.4%
108,J.K. Dobbins,RB,DEN,@PHI,"$5,500",1.3%
109,Mark Andrews,TE,BAL,HOU,"$4,000",1.3%
110,Calvin Ridley,WR,TEN,@ARI,"$4,800",1.3%
111,Brycen Tremayne,WR,CAR,MIA,"$3,100",1.2%
113,Chris Moore,WR,WAS,@LAC,"$3,000",0.9%
114,Cooper Rush,QB,BAL,HOU,"$4,300",0.9%
115,Alec Pierce,WR,IND,LV,"$4,400",0.8%
116,Michael Wilson,WR,ARI,TEN,"$3,300",0.8%
117,Hunter Renfrow,WR,CAR,MIA,"$3,700",0.8%
118,RJ Harvey,RB,DEN,@PHI,"$4,500",0.7%
119,Nick Chubb,RB,HOU,@BAL,"$5,200",0.7%
120,Evan Engram,TE,DEN,@PHI,"$3,700",0.7%
121,Marvin Mims Jr.,WR,DEN,@PHI,"$3,800",0.6%
122,Zach Charbonnet,RB,SEA,TB,"$5,300",0.6%
123,Sterling Shepard,WR,TB,@SEA,"$3,900",0.6%
124,Cam Ward,QB,TEN,@ARI,"$4,600",0.4%
125,Adonai Mitchell,WR,IND,LV,"$3,600",0.4%
126,Rashod Bateman,WR,BAL,HOU,"$4,500",0.4%
127,Jacory Croskey-Merritt,RB,WAS,@LAC,"$5,100",0.4%
128,Justice Hill,RB,BAL,HOU,"$5,000",0.3%
