,Player,Position,Team,Opponent,Salary,% ownership
68,Quinshon Judkins,RB,CLE,@NE,"$6,500",4.4%
70,Jauan Jennings,WR,SF,@HOU,"$4,600",4.2%
72,George Pickens,WR,DAL,@DEN,"$7,100",4.0%
73,DJ Moore,WR,CHI,@BAL,"$5,300",4.0%
74,Michael Penix Jr.,QB,ATL,MIA,"$4,900",3.9%
75,Josh Allen,QB,BUF,@CAR,"$7,500",3.8%
76,Tez Johnson,WR,TB,@NO,"$4,300",3.8%
78,Noah Fant,TE,CIN,NYJ,"$3,200",3.8%
80,Cam Skattebo,RB,NYG,@PHI,"$6,600",3.6%
81,Theo Johnson,TE,NYG,@PHI,"$3,700",3.6%
83,Drake Maye,QB,NE,CLE,"$6,200",3.5%
84,Sterling Shepard,WR,TB,@NO,"$4,500",3.4%
86,Dalton Kincaid,TE,BUF,@CAR,"$4,300",3.1%
87,Josh Reynolds,WR,NYJ,@CIN,"$3,900",3.1%
88,Chimere Dike,WR,TEN,@IND,"$3,400",3.1%
89,Tyrod Taylor,QB,NYJ,@CIN,"$4,500",3.1%
90,Keon Coleman,WR,BUF,@CAR,"$5,000",2.9%
91,Colston Loveland,TE,CHI,@BAL,"$3,000",2.9%
94,Malik Washington,WR,MIA,@ATL,"$3,700",2.6%
95,Jaxson Dart,QB,NYG,@PHI,"$5,500",2.5%
97,Darnell Mooney,WR,ATL,MIA,"$4,400",2.3%
99,Woody Marks,RB,HOU,SF,"$5,100",2.2%
100,Chig Okonkwo,TE,TEN,@IND,"$3,200",2.1%
101,Evan Engram,TE,DEN,DAL,"$4,100",2.0%
102,Dak Prescott,QB,DAL,@DEN,"$6,500",1.9%
103,Van Jefferson,WR,TEN,@IND,"$3,300",1.9%
104,Harold Fannin Jr.,TE,CLE,@NE,"$4,400",1.8%
105,Jake Ferguson,TE,DAL,@DEN,"$6,000",1.8%
106,Rashod Bateman,WR,BAL,CHI,"$4,100",1.6%
107,Jayden Higgins,WR,HOU,SF,"$3,500",1.6%
109,Kendrick Bourne,WR,SF,@HOU,"$5,100",1.4%
110,Rico Dowdle,RB,CAR,BUF,"$6,300",1.2%
111,Xavier Legette,WR,CAR,BUF,"$4,000",1.1%
112,Jaylin Noel,WR,HOU,SF,"$3,500",1.1%
113,Chuba Hubbard,RB,CAR,BUF,"$5,300",1.0%
114,Mac Jones,QB,SF,@HOU,"$5,300",1.0%
115,Tony Pollard,RB,TEN,@IND,"$5,200",1.0%
116,Andy Dalton,QB,CAR,BUF,"$4,500",0.9%
117,Kayshon Boutte,WR,NE,CLE,"$4,800",0.9%
118,Tyjae Spears,RB,TEN,@IND,"$4,700",0.8%
119,Xavier Hutchinson,WR,HOU,SF,"$3,700",0.8%
120,Tua Tagovailoa,QB,MIA,@ATL,"$4,800",0.7%
121,Daniel Bellinger,TE,NYG,@PHI,"$2,700",0.6%
122,Jalen Coker,WR,CAR,BUF,"$3,800",0.6%
123,Luther Burden III,WR,CHI,@BAL,"$3,800",0.6%
124,Cam Ward,QB,TEN,@IND,"$4,600",0.6%
125,Dillon Gabriel,QB,CLE,@NE,"$4,200",0.6%
126,Nick Chubb,RB,HOU,SF,"$5,000",0.4%
127,Tyler Allgeier,RB,ATL,MIA,"$4,800",0.4%
