Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes
205,AJ Barner,SEA,TE23,TE,TE,163.2,,
206,Jaylin Noel,HOU,WR96,WR,WR,213.3,,
207,Ty Johnson,BUF,RB79,RB,RB,215.8,,
208,Jaydon Blue,DAL,RB59,RB,RB,200.3,,
209,Darius Slayton,NYG,WR101,WR,WR,214.7,,
210,Keenan Allen,FA,WR111,WR,WR,215.5,,
211,Mike Washington,LV,RB57,RB,RB,191.6,,
212,Dontayvion Wicks,PHI,WR75,WR,WR,181.5,,
213,MarShawn Lloyd,GB,RB58,RB,RB,192.1,,
214,Devaughn Vele,NO,WR98,WR,WR,214.6,,
215,Najee Harris,FA,RB82,RB,RB,215.9,,
216,Evan Engram,DEN,TE34,TE,TE,211.2,,
217,Mack Hollins,NE,WR126,WR,WR,215.9,,
218,Nicholas Singleton,TEN,RB62,RB,RB,207.5,,
219,Dawson Knox,BUF,TE37,TE,TE,215.4,,
220,Chris Brooks,GB,RB78,RB,RB,215.8,,
221,Jahan Dotson,ATL,WR106,WR,WR,215.2,,
222,Michael Mayer,LV,TE38,TE,TE,215.5,,
223,Kalif Raymond,CHI,WR128,WR,WR,215.9,,
224,Demond Claiborne,MIN,RB68,RB,RB,213.8,,
225,Christian Kirk,SF,WR93,WR,WR,211.9,,
226,KaVontae Turpin,DAL,WR135,WR,WR,215.9,,
227,Malachi Fields,NYG,WR88,WR,WR,210.6,,
228,Marvin Mims Jr.,DEN,WR112,WR,WR,215.6,,
229,Kendrick Bourne,ARI,WR117,WR,WR,215.7,,
230,David Njoku,LAC,TE29,TE,TE,195.4,,
231,Tyquan Thornton,KC,WR83,WR,WR,203.3,,
232,Joshua Palmer,BUF,WR133,WR,WR,215.9,,
233,Caleb Douglas,MIA,WR113,WR,WR,215.6,,
234,Brandon Aiyuk,SF,WR80,WR,WR,199.7,,
235,Chris Brazzell,CAR,WR97,WR,WR,214.2,,
236,Chris Bell,MIA,WR90,WR,WR,210.9,,
237,Cole Kmet,CHI,TE53,TE,TE,216,,
238,Darnell Mooney,NYG,WR84,WR,WR,206,,
239,Emanuel Wilson,SEA,RB77,RB,RB,215.6,,
240,Malik Washington,MIA,WR69,WR,WR,166.6,,
241,Darnell Washington,PIT,TE36,TE,TE,214.9,,
242,Ja'Tavion Sanders,CAR,TE45,TE,TE,215.7,,
243,Elijah Arroyo,SEA,TE46,TE,TE,215.7,,
244,Kimani Vidal,LAC,RB70,RB,RB,214.6,,
245,Geno Smith,NYJ,QB29,QB,QB,198.7,,
246,Jaylen Wright,MIA,RB72,RB,RB,215.2,,
247,Dyami Brown,WAS,,WR,WR,-,,
248,Treylon Burks,WAS,WR108,WR,WR,215.4,,
249,Noah Gray,KC,TE47,TE,TE,215.8,,
250,Seth McGowan,IND,RB80,RB,RB,215.8,,
251,Keon Coleman,BUF,WR78,WR,WR,190.5,,
252,George Holani,SEA,RB63,RB,RB,208,,
253,Chimere Dike,TEN,WR107,WR,WR,215.3,,
254,Elijah Sarratt,BAL,WR88,WR,WR,210.6,,
255,Theo Johnson,NYG,TE40,TE,TE,215.5,,
256,Tyler Higbee,LAR,TE51,TE,TE,215.9,,
257,Ted Hurst,TB,WR81,WR,WR,200.5,,
258,Eli Stowers,PHI,TE33,TE,TE,208,,
259,Elic Ayomanor,TEN,WR124,WR,WR,215.9,,
260,Jacoby Brissett,ARI,QB28,QB,QB,193.8,,
261,Cyrus Allen,KC,WR121,WR,WR,215.8,,
262,Brenen Thompson,LAC,WR127,WR,WR,215.9,,
263,Mason Taylor,NYJ,,TE,TE,-,,
264,Ja'Kobi Lane,BAL,WR104,WR,WR,215,,
265,Trevor Etienne,CAR,,RB,RB,-,,
266,Malik Benson,LV,WR131,WR,WR,215.9,,
267,Isaac Guerendo,SF,,RB,RB,-,,
268,Emari Demercado,KC,RB87,RB,RB,216,,
269,Isaiah Davis,NYJ,RB83,RB,RB,215.9,,
270,Noah Fant,NO,,TE,TE,-,,
271,Troy Franklin,DEN,WR79,WR,WR,199.6,,
272,James Conner,ARI,RB69,RB,RB,214.2,,
273,Jack Bech,LV,WR100,WR,WR,214.7,,
274,Brashard Smith,KC,,RB,RB,-,,
275,Will Shipley,PHI,,RB,RB,-,,
276,DeMario Douglas,NE,WR122,WR,WR,215.8,,
277,Tez Johnson,TB,WR119,WR,WR,215.7,,
278,Phil Mafah,DAL,,RB,RB,-,,
279,Erick All,CIN,TE44,TE,TE,215.7,,
280,Tommy Tremble,CAR,TE53,TE,TE,216,,
281,Luke Schoonmaker,DAL,,TE,TE,-,,
282,Skyler Bell,BUF,WR99,WR,WR,214.6,,
283,Zavion Thomas,CHI,WR103,WR,WR,214.8,,
284,Tutu Atwell,MIA,WR115,WR,WR,215.6,,
285,Jahdae Walker,CHI,WR128,WR,WR,215.9,,
286,Olamide Zaccheaus,ATL,WR141,WR,WR,216,,
287,Tory Horton,SEA,WR92,WR,WR,211.3,,
288,Isaiah Bond,CLE,,WR,WR,-,,
290,Jalen Tolbert,MIA,WR102,WR,WR,214.8,,
291,Nick Westbrook-Ikhine,IND,WR138,WR,WR,216,,
292,Kyle Williams,NE,WR109,WR,WR,215.4,,
293,Jawhar Jordan,HOU,,RB,RB,-,,
294,Josh Oliver,MIN,,TE,TE,-,,
296,LeQuint Allen,JAX,RB74,RB,RB,215.4,,
297,Xavier Legette,CAR,WR133,WR,WR,215.9,,
298,Reggie Virgil,ARI,,WR,WR,-,,
299,Zach Ertz,FA,,TE,TE,-,,
300,Colbie Young,CIN,,WR,WR,-,,
