"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"88","Khalil Shakir (BUF)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"89","Randall Cobb (NYJ)","0","3","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.6%"
"90","Allen Lazard (NYJ)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","24.6%"
"91","Xavier Gipson (NYJ)","0","0","0","0","0","0","0","1","18","0","0","1","1.8","1.8","0.1%"
"92","DeVante Parker (NE)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","3.2%"
"93","Tyquan Thornton (NE)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","1.1%"
"94","Chris Moore (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"95","David Bell (CLE)","1","3","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"96","Olamide Zaccheaus (PHI)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"97","Xavier Hutchinson (HOU)","0","0","0","0","0","0","0","2","15","0","0","1","1.5","1.5","0.1%"
"98","Marvin Jones Jr. (DET)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","1.4%"
"99","Scott Miller (ATL)","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"100","Deebo Samuel (SF)","0","1","0","0","0","0","0","2","11","0","0","1","1.1","1.1","99.2%"
"101","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Dyami Brown (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"104","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Shi Smith (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Amari Rodgers (IND)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
