RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
83,Terrance Ferguson,LAR,TE,1,HOU,0,0,,0,0,0,,,0,0,,0,0,0,0.0
84,Jack Stoll,NO,TE,1,ARI,0,0,,0,0,0,,,0,0,,0,0,0,0.0
85,Travis Vokolek,ARI,TE,1,NO,0,0,,0,0,0,,,0,0,,0,0,0,0.0
86,Moliki Matavao,NO,TE,1,ARI,0,0,,0,0,0,,,0,0,,0,0,0,0.0
87,Eric Saubert,SEA,TE,1,SF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
88,Stone Smartt,NYJ,TE,1,PIT,0,0,,0,0,0,,,0,0,,0,0,0,0.0
89,Ben Yurosek,MIN,TE,1,CHI,0,0,,0,0,0,,,0,0,,0,0,0,0.0
90,Zaire Mitchell-Paden,BAL,TE,1,BUF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
91,David Martin-Robinson,TEN,TE,1,DEN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
92,Patrick Murtagh,DEN,TE,1,TEN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
93,Brevyn Spann-Ford,DAL,TE,1,PHI,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
94,Tanner Hudson,CIN,TE,1,CLE,0,0,,0,0,0,,,0,0,,0,0,0,0.0
95,Charlie Kolar,BAL,TE,1,BUF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
96,Darnell Washington,PIT,TE,1,NYJ,0,0,,0,0,0,,,0,0,,0,0,0,0.0
97,Connor Heyward,PIT,TE,1,NYJ,0,0,,0,0,0,,,0,0,,0,0,0,0.0
98,Drew Ogletree,IND,TE,1,MIA,0,0,,0,0,0,,,0,0,,0,0,0,0.0
99,Durham Smythe,CHI,TE,1,MIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
100,Colby Parkinson,LAR,TE,1,HOU,2,2,100.0,-6,0,1,-3.0,-3.0,0,0,,0,1,1,-0.6
1,Tucker Kraft,GB,TE,2,WAS,7,6,85.7,124,1,57,17.7,20.7,0,0,,0,0,0,24.4
2,Zach Ertz,WAS,TE,2,GB,8,6,75.0,64,1,20,8.0,10.7,0,0,,0,0,0,18.4
3,Jake Ferguson,DAL,TE,2,NYG,12,9,75.0,78,0,19,6.5,8.7,0,0,,0,0,0,16.8
4,Juwan Johnson,NO,TE,2,SF,9,5,55.6,49,1,18,5.4,9.8,0,0,,0,0,0,15.9
5,Trey McBride,ARI,TE,2,CAR,7,6,85.7,78,0,31,11.1,13.0,0,0,,0,0,0,13.8
6,Ja'Tavion Sanders,CAR,TE,2,ARI,9,7,77.8,54,0,12,6.0,7.7,0,0,,0,0,0,12.4
7,Tyler Warren,IND,TE,2,DEN,7,4,57.1,79,0,41,11.3,19.8,1,0,0.0,0,0,0,11.9
8,Brock Wright,DET,TE,2,CHI,3,3,100.0,28,1,12,9.3,9.3,0,0,,0,0,0,11.8
