RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
96,Hunter Renfrow,CAR,WR,3,ATL,4,2,50.0,6,0,5,1.5,3.0,0,0,,0,0,0,2.6
97,Tim Patrick,JAX,WR,3,HOU,1,1,100.0,16,0,16,16.0,16.0,0,0,,0,0,0,2.6
98,Tee Higgins,CIN,WR,3,MIN,2,1,50.0,15,0,15,7.5,15.0,0,0,,0,0,0,2.5
99,DeAndre Hopkins,BAL,WR,3,DET,2,1,50.0,13,0,13,6.5,13.0,0,0,,0,0,0,2.3
100,Arian Smith,NYJ,WR,3,TB,2,2,100.0,2,0,6,1.0,1.0,0,0,,0,0,0,2.2
1,Puka Nacua,LAR,WR,4,IND,15,13,86.7,170,1,31,11.3,13.1,0,0,,0,0,0,36.0
2,George Pickens,DAL,WR,4,GB,11,8,72.7,134,2,28,12.2,16.8,0,0,,0,0,0,33.4
3,Romeo Doubs,GB,WR,4,DAL,8,6,75.0,58,3,18,7.2,9.7,0,0,,0,0,0,29.8
4,Amon-Ra St. Brown,DET,WR,4,CLE,7,7,100.0,70,2,25,10.0,10.0,0,0,,0,0,0,26.0
5,Drake London,ATL,WR,4,WAS,10,8,80.0,110,1,43,11.0,13.8,0,0,,0,0,0,25.0
6,Quentin Johnston,LAC,WR,4,NYG,13,8,61.5,98,1,36,7.5,12.2,0,0,,0,0,0,23.8
7,DK Metcalf,PIT,WR,4,MIN,5,5,100.0,126,1,80,25.2,25.2,0,0,,0,0,0,23.6
8,Justin Jefferson,MIN,WR,4,PIT,11,10,90.9,126,0,29,11.5,12.6,0,0,,0,0,0,22.6
9,Marvin Mims Jr.,DEN,WR,4,CIN,6,6,100.0,69,0,28,11.5,11.5,1,16,16.0,1,0,0,20.5
10,Garrett Wilson,NYJ,WR,4,MIA,8,6,75.0,82,1,23,10.2,13.7,0,0,,0,0,0,20.2
11,Deebo Samuel Sr.,WAS,WR,4,ATL,6,6,100.0,72,1,24,12.0,12.0,3,9,3.0,0,1,0,20.1
12,Emeka Egbuka,TB,WR,4,PHI,10,4,40.0,101,1,77,10.1,25.2,1,0,0.0,0,0,0,20.1
13,Courtland Sutton,DEN,WR,4,CIN,6,5,83.3,81,1,22,13.5,16.2,0,0,,0,0,0,19.1
14,Marvin Harrison Jr.,ARI,WR,4,SEA,10,6,60.0,66,1,18,6.6,11.0,0,0,,0,0,0,18.6
15,Khalil Shakir,BUF,WR,4,NO,5,5,100.0,69,1,43,13.8,13.8,0,0,,0,0,0,17.9
16,Xavier Worthy,KC,WR,4,BAL,8,5,62.5,83,0,37,10.4,16.6,2,38,19.0,0,0,0,17.1
17,Rome Odunze,CHI,WR,4,LV,8,4,50.0,69,1,27,8.6,17.2,0,0,,0,0,0,16.9
18,Stefon Diggs,NE,WR,4,CAR,7,6,85.7,101,0,33,14.4,16.8,0,0,,0,0,0,16.1
19,Tutu Atwell,LAR,WR,4,IND,2,1,50.0,88,1,88,44.0,88.0,0,0,,0,0,0,15.8
20,Davante Adams,LAR,WR,4,IND,6,4,66.7,56,1,25,9.3,14.0,0,0,,0,0,0,15.6
21,Jordan Addison,MIN,WR,4,PIT,8,4,50.0,114,0,81,14.2,28.5,0,0,,0,0,0,15.4
22,Michael Pittman Jr.,IND,WR,4,LAR,10,5,50.0,41,1,17,4.1,8.2,0,0,,0,0,0,15.1
23,Zay Flowers,BAL,WR,4,KC,8,7,87.5,74,0,21,9.2,10.6,0,0,,0,0,0,14.4
24,JuJu Smith-Schuster,KC,WR,4,BAL,6,4,66.7,36,1,12,6.0,9.0,0,0,,0,0,0,13.6
25,Jaxon Smith-Njigba,SEA,WR,4,ARI,5,4,80.0,79,0,36,15.8,19.8,3,11,3.7,0,0,0,13.0
26,Marquise Brown,KC,WR,4,BAL,5,3,60.0,38,1,18,7.6,12.7,0,0,,0,0,0,12.8
27,Tyreek Hill,MIA,WR,4,NYJ,6,6,100.0,67,0,28,11.2,11.2,0,0,,0,0,0,12.7
28,Adonai Mitchell,IND,WR,4,LAR,4,3,75.0,96,0,75,24.0,32.0,0,0,,0,1,0,12.6
29,Nico Collins,HOU,WR,4,TEN,6,4,66.7,79,0,37,13.2,19.8,0,0,,0,0,0,11.9
30,Matthew Golden,GB,WR,4,DAL,6,5,83.3,58,0,46,9.7,11.6,1,5,5.0,0,0,0,11.3
31,Brian Thomas Jr.,JAX,WR,4,SF,7,5,71.4,49,0,14,7.0,9.8,1,7,7.0,0,0,0,10.6
32,Tetairoa McMillan,CAR,WR,4,NE,8,4,50.0,62,0,22,7.8,15.5,0,0,,0,0,0,10.2
33,Luke McCaffrey,WAS,WR,4,ATL,3,2,66.7,21,1,16,7.0,10.5,0,0,,0,0,0,10.1
34,Jalen Tolbert,DAL,WR,4,GB,6,4,66.7,61,0,34,10.2,15.2,0,0,,0,0,0,10.1
35,Troy Franklin,DEN,WR,4,CIN,8,4,50.0,55,0,23,6.9,13.8,0,0,,0,0,0,9.5
36,Jayden Higgins,HOU,WR,4,TEN,1,1,100.0,24,1,24,24.0,24.0,0,0,,0,0,0,9.4
37,Jalen Nailor,MIN,WR,4,PIT,4,1,25.0,2,1,2,0.5,2.0,0,0,,0,0,0,9.2
38,Rashid Shaheed,NO,WR,4,BUF,5,4,80.0,47,0,15,9.4,11.8,2,5,2.5,0,0,0,9.2
39,Olamide Zaccheaus,CHI,WR,4,LV,6,5,83.3,41,0,13,6.8,8.2,0,0,,0,0,0,9.1
40,Chris Olave,NO,WR,4,BUF,6,3,50.0,20,1,10,3.3,6.7,0,0,,0,0,0,9.0
41,Isaiah Bond,CLE,WR,4,DET,6,3,50.0,58,0,35,9.7,19.3,0,0,,0,0,0,8.8
42,Keenan Allen,LAC,WR,4,NYG,7,5,71.4,37,0,10,5.3,7.4,0,0,,0,0,0,8.7
43,Ricky Pearsall,SF,WR,4,JAX,5,4,80.0,46,0,31,9.2,11.5,0,0,,0,0,0,8.6
44,Tyquan Thornton,KC,WR,4,BAL,2,1,50.0,11,1,11,5.5,11.0,0,0,,0,0,0,8.1
45,Greg Dortch,ARI,WR,4,SEA,5,4,80.0,35,0,15,7.0,8.8,1,4,4.0,0,0,0,7.9
46,Jaylen Waddle,MIA,WR,4,NYJ,6,3,50.0,48,0,25,8.0,16.0,0,0,,0,0,0,7.8
47,DJ Moore,CHI,WR,4,LV,5,4,80.0,38,0,17,7.6,9.5,0,0,,0,0,0,7.8
48,Jerry Jeudy,CLE,WR,4,DET,9,3,33.3,48,0,33,5.3,16.0,0,0,,0,0,0,7.8
49,Keon Coleman,BUF,WR,4,NO,4,3,75.0,45,0,20,11.2,15.0,0,0,,0,0,0,7.5
50,Mack Hollins,NE,WR,4,CAR,1,1,100.0,4,1,4,4.0,4.0,0,0,,0,0,0,7.4
51,Darius Slayton,NYG,WR,4,LAC,4,3,75.0,44,0,18,11.0,14.7,0,0,,0,0,0,7.4
52,Ja'Marr Chase,CIN,WR,4,DEN,8,5,62.5,23,0,10,2.9,4.6,0,0,,0,0,0,7.3
53,Travis Hunter,JAX,WR,4,SF,5,3,60.0,42,0,28,8.4,14.0,0,0,,0,1,0,7.2
54,Jakobi Meyers,LV,WR,4,CHI,7,4,57.1,30,0,10,4.3,7.5,0,0,,0,0,0,7.0
55,Cooper Kupp,SEA,WR,4,ARI,5,4,80.0,26,0,11,5.2,6.5,0,0,,0,0,0,6.6
56,Brycen Tremayne,CAR,WR,4,NE,4,3,75.0,36,0,24,9.0,12.0,0,0,,0,1,0,6.6
57,Elic Ayomanor,TEN,WR,4,HOU,7,2,28.6,44,0,33,6.3,22.0,0,0,,0,0,0,6.4
58,Jauan Jennings,SF,WR,4,JAX,4,2,50.0,24,0,14,6.0,12.0,0,0,,0,0,0,6.4
59,Josh Downs,IND,WR,4,LAR,5,4,80.0,24,0,8,4.8,6.0,0,0,,0,0,0,6.4
60,KaVontae Turpin,DAL,WR,4,GB,4,3,75.0,30,0,15,7.5,10.0,1,4,4.0,0,0,0,6.4
