Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
195,Cooper Kupp,SEA,WR,208.7,8.05,,
196,Zachariah Branch,ATL,WR,187.5,0,,
197,Kaelon Black,SF,RB,225.9,0,,
198,Mike Washington,LV,RB,206.7,0,,
199,Mike Gesicki,CIN,TE,215.7,5.89,,
200,Pat Bryant,DEN,WR,208,5.49,,
201,MarShawn Lloyd,GB,RB,196.2,0,,
202,Tank Dell,HOU,WR,201.3,0,,
203,Braelon Allen,NYJ,RB,198.4,3.83,,
204,Nicholas Singleton,TEN,RB,213.8,0,,
205,Chris Brooks,GB,RB,231.1,2.28,,
206,Najee Harris,LAC,RB,300,3.87,,
207,Colby Parkinson,LAR,TE,209.4,9.35,,
208,AJ Barner,SEA,TE,188.3,8.31,,
209,Rashod Bateman,BAL,WR,208.8,4.26,,
210,Demond Claiborne,MIN,RB,220.4,0,,
211,Geno Smith,NYJ,QB,180.1,11.59,,
212,Jaylin Noel,HOU,WR,212.5,3.6,,
213,Darnell Mooney,NYG,WR,194.5,5.49,,
214,Keenan Allen,LAC,WR,224.7,10.46,,
215,Dontayvion Wicks,PHI,WR,186.2,5.83,,
216,Evan Engram,DEN,TE,220.4,6.02,,
217,Isaiah Davis,NYJ,RB,229,4.45,,
218,Kayshon Boutte,NE,WR,212.7,8.66,,
219,Devaughn Vele,NO,WR,226.4,6.03,,
220,Kimani Vidal,LAC,RB,201.4,8.93,,
221,Darius Slayton,NYG,WR,231.3,7.06,,
222,Michael Mayer,LV,TE,226.8,6.15,,
223,Jacoby Brissett,ARI,QB,177.1,16.25,,
224,Dawson Knox,BUF,TE,230.8,6.44,,
225,Emanuel Wilson,SEA,RB,230.2,5.27,,
226,Jahan Dotson,ATL,WR,230,3.14,,
227,Andrei Iosivas,CIN,WR,231.6,5.99,,
228,Jaylen Wright,MIA,RB,227.1,5.36,,
229,George Holani,SEA,RB,210.9,2.65,,
230,Kalif Raymond,CHI,WR,300,4.45,,
231,Marvin Mims,DEN,WR,229.8,7.44,,
232,Malachi Fields,NYG,WR,226.5,0,,
233,Kendrick Bourne,ARI,WR,232.3,6.14,,
234,David Njoku,LAC,TE,214.8,7.85,,
235,Seth McGowan,IND,RB,300,0,,
236,Caleb Douglas,MIA,WR,232.5,0,,
237,KaVontae Turpin,DAL,WR,300,5.63,,
238,Malik Washington,MIA,WR,167.6,6.86,,
239,Chris Brazzell,CAR,WR,229.9,0,,
240,Chris Bell,MIA,WR,223.7,0,,
241,Joshua Palmer,BUF,WR,300,4.36,,
242,Brandon Aiyuk,SF,WR,226.6,0,,
243,DeMario Douglas,NE,WR,300,5.91,,
244,Tyquan Thornton,KC,WR,218.3,6.73,,
245,Darnell Washington,PIT,TE,228.4,4.89,,
246,Cole Kmet,CHI,TE,300,5.05,,
247,Ja'Tavion Sanders,CAR,TE,231,4.5,,
248,Emari Demercado,KC,RB,233.6,4.86,,
249,Trevor Etienne,CAR,RB,300,0.56,,
250,James Conner,ARI,RB,220.7,11.1,,
251,Elijah Arroyo,SEA,TE,300,2.84,,
252,Noah Gray,KC,TE,300,2.77,,
253,Brashard Smith,KC,RB,300,3.72,,
254,Keon Coleman,BUF,WR,203.9,7.67,,
255,Isaac Guerendo,SF,RB,300,0,,
256,Dyami Brown,WAS,WR,300,4.52,,
257,Theo Johnson,NYG,TE,228.9,8.52,,
258,Treylon Burks,WAS,WR,300,3.63,,
259,Chimere Dike,TEN,WR,230.8,7.42,,
260,Will Shipley,PHI,RB,300,1.27,,
261,Ted Hurst,TB,WR,206.6,0,,
262,Elijah Sarratt,BAL,WR,219.4,0,,
263,Mack Hollins,NE,WR,230.5,8.64,,
264,Tyler Higbee,LAR,TE,300,6.42,,
265,Christian Kirk,SF,WR,214.2,6.88,,
266,Eli Stowers,PHI,TE,226.6,0,,
267,Mason Taylor,NYJ,TE,226,6.84,,
268,Elic Ayomanor,TEN,WR,232.9,7.28,,
269,Phil Mafah,DAL,RB,300,10.9,,
270,Brenen Thompson,LAC,WR,231.3,0,,
271,LeQuint Allen,JAX,RB,226.2,1.59,,
272,Cyrus Allen,KC,WR,300,0,,
273,Ja'Kobi Lane,BAL,WR,227.6,0,,
274,Tahj Brooks,CIN,RB,300,0.71,,
275,Malik Benson,LV,WR,300,0,,
276,Troy Franklin,DEN,WR,220.2,10.42,,
277,Pierre Strong,GB,RB,300,0,,
278,Jawhar Jordan,HOU,RB,300,7.43,,
279,Noah Fant,NO,TE,300,5.75,,
280,Jack Bech,LV,WR,229.2,3.26,,
281,Erick All,CIN,TE,232.3,0,,
282,Tory Horton,SEA,WR,228.8,8.14,,
283,Tez Johnson,TB,WR,300,5.78,,
284,Eli Heidenreich,PIT,RB,227.1,0,,
285,Terrell Jennings,NE,RB,300,2.53,,
286,Tommy Tremble,CAR,TE,300,4.06,,
287,Kendre Miller,NO,RB,300,4.76,,
288,Malik Davis,DAL,RB,300,4.51,,
289,Devin Neal,NO,RB,300,6.67,,
290,Luke Schoonmaker,DAL,TE,300,1.94,,
291,Devin Singletary,NYG,RB,300,6.4,,
292,Skyler Bell,BUF,WR,231.6,0,,
293,Olamide Zaccheaus,ATL,WR,300,5.91,,
294,Zavion Thomas,CHI,WR,231.1,0,,
295,Ollie Gordon,MIA,RB,300,3.38,,
296,Jalen Tolbert,MIA,WR,228.8,3.86,,
297,Tua Tagovailoa,ATL,QB,193.6,11.48,,
298,Tutu Atwell,MIA,WR,300,3.47,,
299,Jahdae Walker,CHI,WR,300,6.68,,
300,Isaiah Bond,CLE,WR,300,3.65,,
301,Kirk Cousins,LV,QB,215.4,10.35,,
302,Deshaun Watson,CLE,QB,219.4,0,,
303,Shedeur Sanders,CLE,QB,221.7,10.61,,
304,Michael Penix,ATL,QB,222.9,13.36,,
305,Charlie Kolar,LAC,TE,226.1,3.02,,
305,Adam Randall,BAL,RB,227.3,0,,
305,Tyreek Hill,FA,WR,227.3,13.38,,
305,Jake Tonges,SF,TE,227.8,9.51,,
305,Bryce Lance,NO,WR,228.1,0,,
305,J.J. McCarthy,MIN,QB,229.2,12.54,,
305,Luke McCaffrey,WAS,WR,229.5,5.7,,
305,Carson Beck,ARI,QB,229.8,0,,
305,Devontez Walker,BAL,WR,230.5,5.37,,
305,Xavier Legette,CAR,WR,231.5,5.69,,
305,Marquise Brown,PHI,WR,236.1,8.61,,
305,Justin Fields,KC,QB,300,15.85,,
305,Jameis Winston,NYG,QB,300,14.43,,
305,Carson Wentz,MIN,QB,300,14.07,,
305,Marcus Mariota,WAS,QB,300,12.55,,
305,Davis Mills,HOU,QB,300,11.43,,
305,Joe Flacco,CIN,QB,300,11.28,,
305,Spencer Rattler,NO,QB,300,11.02,,
305,Mac Jones,SF,QB,300,10.91,,
305,Philip Rivers,IND,QB,300,10.39,,
305,Ronnie Bell,NO,WR,300,10.3,,
305,Tyrod Taylor,GB,QB,300,9.91,,
305,Darren Waller,MIA,TE,300,9.86,,
305,Jake Browning,TB,QB,300,9.75,,
305,Zach Ertz,WAS,TE,300,9.72,,
305,Brittain Brown,CHI,RB,300,9.7,,
305,Audric Estime,NO,RB,300,9.62,,
305,Trey Benson,ARI,RB,300,8.85,,
305,Theo Wease,MIA,WR,300,8.63,,
305,Albert Okwuegbunam,LV,TE,300,8.6,,
305,Kareem Hunt,KC,RB,300,8.55,,
305,Russell Wilson,NYG,QB,300,8.31,,
305,Quinn Ewers,MIA,QB,300,8.29,,
305,Josh Johnson,CIN,QB,300,8.13,,
305,Tyler Huntley,BAL,QB,300,8.03,,
305,Mitchell Trubisky,TEN,QB,300,7.78,,
305,Zonovan Knight,ARI,RB,300,7.74,,
305,Michael Carter,TEN,RB,300,7.62,,
305,Dillon Gabriel,CLE,QB,300,7.01,,
305,Miles Sanders,DAL,RB,300,6.68,,
305,Kevin Austin,NO,WR,300,6.6,,
305,Austin Ekeler,WAS,RB,300,6.55,,
305,Sterling Shepard,TB,WR,300,6.31,,
305,Greg Dortch,DET,WR,300,6.26,,
305,Xavier Hutchinson,HOU,WR,300,6.14,,
