RK	NAME	TEAM	POS	WK	OPP	TGTS	REC	CATCH%	RECEIVING_YDS	RECEIVING_TD	LONG	YDS/TGT	YDS/REC	RUSHING_ATT	RUSHING_YDS	RUSHING_AVG	RUSHING_TD	FUMBLES	FUMBLES_LOST	FPTS
82	Davis Allen	LAR	TE	4	CHI	0	0		0	0	0			0	0		0	0	0	0
83	Gerald Everett	CHI	TE	4	LAR	0	0		0	0	0			0	0		0	0	0	0
84	Greg Dulcich	DEN	TE	4	NYJ	1	0	0	0	0	0	0		0	0		0	0	0	0
85	Adam Trautman	DEN	TE	4	NYJ	0	0		0	0	0			0	0		0	0	0	0
86	Brenden Bates	NYJ	TE	4	DEN	0	0		0	0	0			0	0		0	0	0	0
87	Mark Andrews	BAL	TE	4	BUF	1	0	0	0	0	0	0		0	0		0	0	0	0
88	Quintin Morris	BUF	TE	4	BAL	0	0		0	0	0			0	0		0	0	0	0
89	Charlie Kolar	BAL	TE	4	BUF	0	0		0	0	0			0	0		0	0	0	0
90	Jonnu Smith	MIA	TE	4	TEN	1	0	0	0	0	0	0		0	0		0	0	0	0
91	Nick Vannett	TEN	TE	4	MIA	0	0		0	0	0			0	0		0	0	0	0
92	Durham Smythe	MIA	TE	4	TEN	0	0		0	0	0			0	0		0	0	0	0
93	Julian Hill	MIA	TE	4	TEN	0	0		0	0	0			0	0		0	0	0	0
94	Luke Schoonmaker	DAL	TE	4	NYG	0	0		0	0	0			0	0		0	0	0	0
95	Chris Manhertz	NYG	TE	4	DAL	0	0		0	0	0			0	0		0	0	0	0
96	Brevyn Spann-Ford	DAL	TE	4	NYG	0	0		0	0	0			0	0		0	0	0	0
97	Daniel Bellinger	NYG	TE	4	DAL	0	0		0	0	0			0	0		0	0	0	0
98	Kyle Pitts	ATL	TE	4	NO	3	0	0	0	0	0	0		0	0		0	0	0	0
99	Foster Moreau	NO	TE	4	ATL	0	0		0	0	0			0	0		0	0	0	0
100	Ross Dwelley	ATL	TE	4	NO	0	0		0	0	0			0	0		0	0	0	0
1	Tucker Kraft	GB	TE	5	LAR	5	4	80	88	2	66	17.6	22	0	0		0	0	0	24.8
2	Brock Bowers	LV	TE	5	DEN	12	8	66.7	97	1	57	8.1	12.1	0	0		0	0	0	23.7
3	George Kittle	SF	TE	5	ARI	12	8	66.7	64	1	15	5.3	8	0	0		0	0	0	20.4
4	Isaiah Likely	BAL	TE	5	CIN	3	3	100	13	2	6	4.3	4.3	0	0		0	0	0	16.3
5	Travis Kelce	KC	TE	5	NO	10	9	90	70	0	21	7	7.8	0	0		0	0	0	16
6	Kyle Pitts	ATL	TE	5	TB	8	7	87.5	88	0	32	11	12.6	0	0		0	0	0	15.8
7	Charlie Kolar	BAL	TE	5	CIN	4	3	75	64	1	55	16	21.3	1	2	2	0	0	0	15.6
8	Jake Ferguson	DAL	TE	5	PIT	7	6	85.7	70	0	27	10	11.7	0	0		0	0	0	13
9	Brenton Strange	JAX	TE	5	IND	4	4	100	24	1	12	6	6	0	0		0	0	0	12.4
10	Colby Parkinson	LAR	TE	5	GB	13	7	53.8	52	0	9	4	7.4	0	0		0	0	0	12.2
11	Mo Alie-Cox	IND	TE	5	JAX	4	2	50	37	1	19	9.2	18.5	0	0		0	0	0	11.7
12	Tyler Conklin	NYJ	TE	5	MIN	9	6	66.7	55	0	25	6.1	9.2	0	0		0	0	0	11.5
13	Trey McBride	ARI	TE	5	SF	9	6	66.7	53	0	22	5.9	8.8	0	0		0	0	0	11.3
