PHI,9,JAC,Home
PHI,10,DAL,Away
PHI,11,WAS,Home
PHI,12,LAR,Away
PHI,13,BAL,Away
PHI,14,CAR,Home
PHI,15,PIT,Home
PHI,16,WAS,Away
PHI,17,DAL,Home
PHI,18,NYG,Home
PIT,1,ATL,Away
PIT,2,DEN,Away
PIT,3,LAC,Home
PIT,4,IND,Away
PIT,5,DAL,Home
PIT,6,LV,Away
PIT,7,NYJ,Home
PIT,8,NYG,Home
PIT,9,BYE,Home
PIT,10,WAS,Away
PIT,11,BAL,Home
PIT,12,CLE,Away
PIT,13,CIN,Away
PIT,14,CLE,Home
PIT,15,PHI,Away
PIT,16,BAL,Away
PIT,17,KC,Home
PIT,18,CIN,Home
SEA,1,DEN,Home
SEA,2,NE,Away
SEA,3,MIA,Home
SEA,4,DET,Away
SEA,5,NYG,Home
SEA,6,SF,Home
SEA,7,ATL,Away
SEA,8,BUF,Home
SEA,9,LAR,Home
SEA,10,BYE,Home
SEA,11,SF,Away
SEA,12,ARI,Home
SEA,13,NYJ,Away
SEA,14,ARI,Away
SEA,15,GB,Home
SEA,16,MIN,Home
SEA,17,CHI,Away
SEA,18,LAR,Away
SF,1,NYJ,Home
SF,2,MIN,Away
SF,3,LAR,Away
SF,4,NE,Home
SF,5,ARI,Home
SF,6,SEA,Away
SF,7,KC,Home
SF,8,DAL,Home
SF,9,BYE,Home
SF,10,TB,Away
SF,11,SEA,Home
SF,12,GB,Away
SF,13,BUF,Away
SF,14,CHI,Home
SF,15,LAR,Home
SF,16,MIA,Away
SF,17,DET,Home
SF,18,ARI,Away
TB,1,WAS,Home
TB,2,DET,Away
TB,3,DEN,Home
TB,4,PHI,Home
TB,5,ATL,Away
TB,6,NO,Away
TB,7,BAL,Home
TB,8,ATL,Home
TB,9,KC,Away
TB,10,SF,Home
TB,11,BYE,Home
TB,12,NYG,Away
TB,13,CAR,Away
TB,14,LV,Home
TB,15,LAC,Away
TB,16,DAL,Away
TB,17,CAR,Home
TB,18,NO,Home
TEN,1,CHI,Away
TEN,2,NYJ,Home
TEN,3,GB,Home
TEN,4,MIA,Away
TEN,5,BYE,Home
TEN,6,IND,Home
TEN,7,BUF,Away
TEN,8,DET,Away
TEN,9,NE,Home
TEN,10,LAC,Away
TEN,11,MIN,Home
TEN,12,HOU,Away
TEN,13,WAS,Away
TEN,14,JAC,Home
TEN,15,CIN,Home
TEN,16,IND,Away
TEN,17,JAC,Away
TEN,18,HOU,Home
WAS,1,TB,Away
WAS,2,NYG,Home
WAS,3,CIN,Away
WAS,4,ARI,Away
WAS,5,CLE,Home
WAS,6,BAL,Away
WAS,7,CAR,Home
WAS,8,CHI,Home
WAS,9,NYG,Away
WAS,10,PIT,Home
WAS,11,PHI,Away
WAS,12,DAL,Home
WAS,13,TEN,Home
WAS,14,BYE,Home
WAS,15,NO,Away
WAS,16,PHI,Home
WAS,17,ATL,Home
WAS,18,DAL,Away
