Rank,Rank_Overall,Rank_Superflex,"Full Name","Team Abbrev",Position,"Fantasy Points Per Game","Best Ball Points Added",ADP,id
78,78,94,"Tony Pollard",TEN,RB,13.1,111.7,91.5,46af6d96-b1c6-420e-8267-e45b7ee6bed2
79,79,16,"Joe Burrow",CIN,QB,15.3,21.7,73.6,13b9e9b0-7b2f-4a53-9772-7a2b029a0cec
80,80,96,"Jaxon Smith-Njigba",SEA,WR,8.8,34.0,79.2,71aa400e-7eab-465e-bf0a-1c1f7f407306
81,81,97,"Rhamondre Stevenson",NE,RB,12.1,73.7,77.5,1775916e-71ef-4b95-beb7-cc387b7d0a26
82,82,17,"Kyler Murray",ARI,QB,18.9,13.7,77.9,bf247202-99b8-442a-9164-7e7b88e3c39c
83,83,98,"D'Andre Swift",CHI,RB,12.5,102.4,83.8,59e3addb-e2f7-4d24-8852-eaa61c397dd7
84,84,100,"Brock Bowers",LV,TE,-,-,100.6,f5867da2-a5d7-46e0-8c3d-87d8f5679ac3
85,85,101,"Jake Ferguson",DAL,TE,10.4,40.3,86.4,21b4aa19-67f2-4f75-9580-e7de8402ec95
86,86,102,"Christian Watson",GB,WR,11.3,39.3,85,c404a688-5ff2-4ede-a1bd-1e52bd000052
87,87,104,"Keon Coleman",BUF,WR,-,-,71.1,6d7c0fe8-34ac-4c6c-a7ab-3aba41078fc0
88,88,105,"Jaylen Warren",PIT,RB,11.6,81.9,92.2,f92ed8de-d86d-4837-9230-7ed84bdaf0f3
89,89,106,"Brian Thomas Jr.",JAX,WR,-,-,73.7,e596066b-2a14-4ac2-9b2c-84422febdf32
90,90,107,"Tyler Lockett",SEA,WR,11.9,82.1,106.9,d29d0594-1f4b-4108-8592-046e49e5257f
91,91,19,"Dak Prescott",DAL,QB,20.7,81.1,86.4,820e0944-20ba-491d-94a0-9c367bb95d2a
92,92,108,"David Njoku",CLE,TE,12.6,66.0,98.2,3346891b-8250-442e-be54-4ffc467140f0
93,93,109,"Courtland Sutton",DEN,WR,11.9,80.1,102.1,63578ada-4ed4-4316-9f8a-e9aabc341a12
94,94,110,"Jonathon Brooks",CAR,RB,-,-,90.5,d4aff586-ebb1-48b4-9046-92ced891b82e
95,95,112,"Zamir White",LV,RB,4.3,33.7,81.2,1eaa53eb-1685-436a-92f1-5108e9060916
96,96,113,"Javonte Williams",DEN,RB,11.2,76.8,105,4cdb965b-ad70-4a6d-9ab5-2d106a11b98f
97,97,21,"Jordan Love",GB,QB,19.4,44.2,89.5,9edea840-1092-4867-b6ce-7cf21b5a10b0
98,98,114,"James Conner",ARI,RB,15.5,116.1,93.5,94b09be0-23a5-46fd-9484-7aa994983d13
99,99,116,"Raheem Mostert",MIA,RB,17.8,168.4,94.9,313f9102-552e-42bb-9de8-8cdd09f9f400
